#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
PRW05766.1	554065.XP_005846083.1	1.75e-97	291.0	COG0681@1|root,KOG1568@2759|Eukaryota,37JFD@33090|Viridiplantae,34N8F@3041|Chlorophyta	3041|Chlorophyta	OU	Peptidase S24 S26A S26B S26C family protein	-	-	-	-	-	-	-	-	-	-	-	-	-
PRW05767.1	554065.XP_005846090.1	2.7e-191	566.0	2CMRH@1|root,2QRKD@2759|Eukaryota,37HTZ@33090|Viridiplantae,34HZH@3041|Chlorophyta	3041|Chlorophyta	H	Arginine methyltransferase involved in the assembly or stability of mitochondrial NADH ubiquinone oxidoreductase complex (complex I)	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_28
PRW05768.1	554065.XP_005845957.1	0.0	1363.0	COG5290@1|root,KOG1920@2759|Eukaryota,37KAG@33090|Viridiplantae,34GRC@3041|Chlorophyta	3041|Chlorophyta	K	Acts as subunit of the RNA polymerase II elongator complex, which is a histone acetyltransferase component of the RNA polymerase II (Pol II) holoenzyme and is involved in transcriptional elongation	-	-	-	ko:K11373	-	-	-	-	ko00000,ko03016,ko03036	-	-	-	IKI3
PRW05770.1	554065.XP_005846081.1	0.0	1281.0	KOG2280@1|root,KOG2280@2759|Eukaryota,37ZGS@33090|Viridiplantae,34P6Y@3041|Chlorophyta	3041|Chlorophyta	U	Vps16, C-terminal region	-	-	-	ko:K20180	ko04138,map04138	-	-	-	ko00000,ko00001,ko04131	-	-	-	Vps16_C,Vps16_N
PRW05771.1	554065.XP_005849976.1	1.53e-301	868.0	COG5594@1|root,KOG1134@2759|Eukaryota,37YVG@33090|Viridiplantae,34JWJ@3041|Chlorophyta	3041|Chlorophyta	S	Late exocytosis, associated with Golgi transport	-	-	-	ko:K21989	-	-	-	-	ko00000,ko02000	-	-	-	RSN1_7TM,RSN1_TM
PRW05773.1	248742.XP_005650469.1	1.95e-20	90.1	2EYDS@1|root,2SZXB@2759|Eukaryota,382EF@33090|Viridiplantae,34NDQ@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRW05774.1	554065.XP_005846076.1	8.52e-235	698.0	COG5265@1|root,KOG0057@2759|Eukaryota,37TNC@33090|Viridiplantae,34JQX@3041|Chlorophyta	3041|Chlorophyta	Q	ABC transporter transmembrane region	-	-	-	-	-	-	-	-	-	-	-	-	ABC_membrane,ABC_tran
PRW05775.1	554065.XP_005846076.1	4.9e-239	709.0	COG5265@1|root,KOG0057@2759|Eukaryota,37TNC@33090|Viridiplantae,34JQX@3041|Chlorophyta	3041|Chlorophyta	Q	ABC transporter transmembrane region	-	-	-	-	-	-	-	-	-	-	-	-	ABC_membrane,ABC_tran
PRW05776.1	554065.XP_005845958.1	6.97e-181	509.0	COG0667@1|root,KOG1576@2759|Eukaryota,37KK2@33090|Viridiplantae,34IEE@3041|Chlorophyta	3041|Chlorophyta	C	Aldo/keto reductase family	-	-	1.1.1.122,1.1.1.316	ko:K00064,ko:K17744	ko00051,ko00053,ko01100,ko01110,ko01120,map00051,map00053,map01100,map01110,map01120	M00114	R07675,R08926	RC00066,RC00161	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldo_ket_red
PRW05777.1	554065.XP_005846073.1	1.16e-134	397.0	KOG0764@1|root,KOG0764@2759|Eukaryota,37PPM@33090|Viridiplantae,34HRS@3041|Chlorophyta	3041|Chlorophyta	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	-	-	-	ko:K15115	-	-	-	-	ko00000,ko02000	2.A.29.10.1,2.A.29.10.2,2.A.29.10.3,2.A.29.10.5	-	-	Mito_carr
PRW05784.1	554065.XP_005845973.1	6.07e-264	739.0	COG0513@1|root,KOG0331@2759|Eukaryota,37KU0@33090|Viridiplantae,34H8F@3041|Chlorophyta	3041|Chlorophyta	A	DEAD-like helicases superfamily	-	-	-	-	-	-	-	-	-	-	-	-	DEAD,Helicase_C
PRW05785.1	554065.XP_005846072.1	0.0	878.0	COG0541@1|root,KOG0780@2759|Eukaryota,37QZ8@33090|Viridiplantae,34GVD@3041|Chlorophyta	3041|Chlorophyta	U	Binds to the signal sequence of presecretory protein when they emerge from the ribosomes and transfers them to TRAM (translocating chain-associating membrane protein)	-	-	3.6.5.4	ko:K03106	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko01000,ko02044	3.A.5.1,3.A.5.2,3.A.5.7,3.A.5.8,3.A.5.9	-	-	SRP54,SRP54_N,SRP_SPB
PRW05786.1	554065.XP_005845954.1	8.99e-204	566.0	COG1310@1|root,KOG1555@2759|Eukaryota,37PAP@33090|Viridiplantae,34GW7@3041|Chlorophyta	3041|Chlorophyta	O	Maintenance of mitochondrial structure and function	-	-	-	ko:K03030	ko03050,ko05169,map03050,map05169	M00341	-	-	ko00000,ko00001,ko00002,ko01002,ko03051,ko04121	-	-	-	JAB,MitMem_reg
PRW05787.1	554065.XP_005845941.1	2.78e-66	208.0	COG0526@1|root,KOG0907@2759|Eukaryota,37UH3@33090|Viridiplantae,34MPB@3041|Chlorophyta	3041|Chlorophyta	O	Thioredoxin	-	-	-	ko:K03671	ko04621,ko05418,map04621,map05418	-	-	-	ko00000,ko00001,ko03110	-	-	-	Thioredoxin
PRW05788.1	554065.XP_005846084.1	5.07e-246	741.0	KOG1929@1|root,KOG1929@2759|Eukaryota,37PPH@33090|Viridiplantae,34IVR@3041|Chlorophyta	3041|Chlorophyta	L	twin BRCT domain	-	-	-	ko:K10728	ko03440,map03440	-	-	-	ko00000,ko00001,ko03032,ko03400	-	-	-	PTCB-BRCT
PRW05791.1	554065.XP_005845942.1	9.6e-289	870.0	KOG1166@1|root,KOG1166@2759|Eukaryota,37SVN@33090|Viridiplantae,34K28@3041|Chlorophyta	3041|Chlorophyta	D	Mad3/BUB1 hoMad3/BUB1 homology region 1	-	-	2.7.11.1	ko:K02178	ko04110,ko04111,ko04113,ko04114,ko04914,map04110,map04111,map04113,map04114,map04914	-	-	-	ko00000,ko00001,ko01000,ko01001,ko03036	-	-	-	Mad3_BUB1_I,Pkinase
PRW05792.1	554065.XP_005845944.1	0.0	1137.0	COG0166@1|root,KOG2446@2759|Eukaryota,37IKD@33090|Viridiplantae,34HBI@3041|Chlorophyta	3041|Chlorophyta	G	Belongs to the GPI family	-	-	5.3.1.9	ko:K01810	ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200	M00001,M00004,M00114	R02739,R02740,R03321	RC00376,RC00563	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	PGI
PRW05793.1	554065.XP_005845944.1	0.0	1131.0	COG0166@1|root,KOG2446@2759|Eukaryota,37IKD@33090|Viridiplantae,34HBI@3041|Chlorophyta	3041|Chlorophyta	G	Belongs to the GPI family	-	-	5.3.1.9	ko:K01810	ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200	M00001,M00004,M00114	R02739,R02740,R03321	RC00376,RC00563	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	PGI
PRW05794.1	554065.XP_005845944.1	0.0	1137.0	COG0166@1|root,KOG2446@2759|Eukaryota,37IKD@33090|Viridiplantae,34HBI@3041|Chlorophyta	3041|Chlorophyta	G	Belongs to the GPI family	-	-	5.3.1.9	ko:K01810	ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200	M00001,M00004,M00114	R02739,R02740,R03321	RC00376,RC00563	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	PGI
PRW05796.1	554065.XP_005845951.1	5.68e-31	115.0	2ESID@1|root,2SV39@2759|Eukaryota,381EG@33090|Viridiplantae,34MV3@3041|Chlorophyta	3041|Chlorophyta	S	Protein of unknown function (DUF1232)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1232
PRW05797.1	554065.XP_005845956.1	3.2e-54	169.0	COG1958@1|root,KOG1774@2759|Eukaryota,37V9J@33090|Viridiplantae,34I7H@3041|Chlorophyta	3041|Chlorophyta	A	snRNP Sm proteins	-	-	-	ko:K11097	ko03040,map03040	M00351,M00352,M00354,M00355,M00398	-	-	ko00000,ko00001,ko00002,ko03032,ko03041	-	-	-	LSM
PRW05798.1	554065.XP_005845960.1	1.44e-228	717.0	KOG0118@1|root,KOG0118@2759|Eukaryota,383WR@33090|Viridiplantae,34MPA@3041|Chlorophyta	3041|Chlorophyta	A	SPOC domain	-	-	-	-	-	-	-	-	-	-	-	-	RRM_1,SPOC
PRW05799.1	554065.XP_005846102.1	0.0	1359.0	2C7IV@1|root,2QPUA@2759|Eukaryota,37KJ5@33090|Viridiplantae,34KNY@3041|Chlorophyta	3041|Chlorophyta	S	B-block binding subunit of TFIIIC	-	-	-	ko:K15199	-	-	-	-	ko00000,ko03021	-	-	-	B-block_TFIIIC
PRW05800.1	554065.XP_005846102.1	0.0	1378.0	2C7IV@1|root,2QPUA@2759|Eukaryota,37KJ5@33090|Viridiplantae,34KNY@3041|Chlorophyta	3041|Chlorophyta	S	B-block binding subunit of TFIIIC	-	-	-	ko:K15199	-	-	-	-	ko00000,ko03021	-	-	-	B-block_TFIIIC
PRW05803.1	554065.XP_005847437.1	3.12e-247	706.0	COG3961@1|root,KOG1184@2759|Eukaryota,37IDM@33090|Viridiplantae,34KBT@3041|Chlorophyta	33090|Viridiplantae	EH	Belongs to the TPP enzyme family	PDC2	GO:0001666,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0008150,GO:0009628,GO:0016020,GO:0016829,GO:0016830,GO:0016831,GO:0034059,GO:0036293,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0070482	4.1.1.1	ko:K01568	ko00010,ko01100,ko01110,ko01130,map00010,map01100,map01110,map01130	-	R00014,R00755	RC00027,RC00375,RC02744	ko00000,ko00001,ko01000	-	-	-	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N
PRW05805.1	554065.XP_005845951.1	7.6e-54	175.0	2ESID@1|root,2SV39@2759|Eukaryota,381EG@33090|Viridiplantae,34MV3@3041|Chlorophyta	3041|Chlorophyta	S	Protein of unknown function (DUF1232)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1232
PRW05807.1	554065.XP_005845940.1	3.48e-204	626.0	KOG2412@1|root,KOG2412@2759|Eukaryota,37NRH@33090|Viridiplantae,34I0S@3041|Chlorophyta	3041|Chlorophyta	A	GLE1-like protein	-	-	-	ko:K18723	-	-	-	-	ko00000,ko03019	1.I.1	-	-	GLE1
PRW05808.1	554065.XP_005846089.1	3.69e-89	268.0	2C9HH@1|root,2RXY3@2759|Eukaryota,37TTY@33090|Viridiplantae,34NWC@3041|Chlorophyta	3041|Chlorophyta	U	COPI associated protein	-	-	-	-	-	-	-	-	-	-	-	-	COPI_assoc
PRW05810.1	554065.XP_005847364.1	1.56e-284	813.0	COG1405@1|root,KOG1598@2759|Eukaryota,37RGF@33090|Viridiplantae,34HVR@3041|Chlorophyta	3041|Chlorophyta	K	Brf1-like TBP-binding domain	-	-	-	ko:K15196	-	-	-	-	ko00000,ko03021	-	-	-	BRF1,TFIIB
PRW05812.1	554065.XP_005849772.1	2.8e-154	442.0	COG3491@1|root,KOG0143@2759|Eukaryota,37JSZ@33090|Viridiplantae,34JVU@3041|Chlorophyta	3041|Chlorophyta	Q	Belongs to the iron ascorbate-dependent oxidoreductase family	-	-	-	-	-	-	-	-	-	-	-	-	2OG-FeII_Oxy,DIOX_N
PRW05813.1	554065.XP_005850219.1	7.51e-74	234.0	COG0802@1|root,2S3MQ@2759|Eukaryota,37X3P@33090|Viridiplantae,34INJ@3041|Chlorophyta	3041|Chlorophyta	S	Threonylcarbamoyl adenosine biosynthesis protein TsaE	-	-	-	-	-	-	-	-	-	-	-	-	TsaE
PRW05814.1	3075.A0A087SBN9	6.55e-55	189.0	COG2051@1|root,COG4886@1|root,KOG0619@2759|Eukaryota,KOG1779@2759|Eukaryota,37V9A@33090|Viridiplantae,34IC0@3041|Chlorophyta	3041|Chlorophyta	J	ribosomal protein S27	-	-	-	ko:K02978	ko03010,map03010	M00177,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S27e
PRW05815.1	3075.A0A087SBN9	4.34e-54	189.0	COG2051@1|root,COG4886@1|root,KOG0619@2759|Eukaryota,KOG1779@2759|Eukaryota,37V9A@33090|Viridiplantae,34IC0@3041|Chlorophyta	3041|Chlorophyta	J	ribosomal protein S27	-	-	-	ko:K02978	ko03010,map03010	M00177,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S27e
PRW05816.1	554065.XP_005850216.1	0.0	926.0	COG0515@1|root,KOG0192@2759|Eukaryota,37N3E@33090|Viridiplantae,34GPM@3041|Chlorophyta	3041|Chlorophyta	T	Protein tyrosine kinase	-	-	-	-	-	-	-	-	-	-	-	-	Pkinase_Tyr
PRW05817.1	554065.XP_005847362.1	2.68e-306	843.0	COG0459@1|root,KOG0360@2759|Eukaryota,37KY6@33090|Viridiplantae,34H6S@3041|Chlorophyta	3041|Chlorophyta	O	assists the folding of proteins upon ATP hydrolysis	-	-	-	ko:K09493	-	-	-	-	ko00000,ko03036,ko03110,ko04147	-	-	-	Cpn60_TCP1
PRW05818.1	3075.A0A087SJV4	0.0	1085.0	COG0065@1|root,COG0846@1|root,KOG0454@2759|Eukaryota,KOG1905@2759|Eukaryota,37IEV@33090|Viridiplantae,34K42@3041|Chlorophyta	3041|Chlorophyta	E	large subunit	-	-	4.2.1.33,4.2.1.35	ko:K01702,ko:K01703	ko00290,ko00660,ko00966,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map00966,map01100,map01110,map01210,map01230	M00432,M00535	R03896,R03898,R03968,R04001,R08620,R08624,R08628,R08634,R08641,R08645,R10170	RC00497,RC00976,RC00977,RC01041,RC01046,RC03072	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Aconitase,Aconitase_C
PRW05819.1	554065.XP_005850468.1	3.11e-62	192.0	COG2097@1|root,KOG0893@2759|Eukaryota,37UE5@33090|Viridiplantae,34MCH@3041|Chlorophyta	3041|Chlorophyta	J	Ribosomal protein L31	RPL31	-	-	ko:K02910	ko03010,map03010	M00177,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L31e
PRW05820.1	3075.A0A087SBN7	2.75e-79	258.0	28UNB@1|root,2QSBE@2759|Eukaryota,37HJD@33090|Viridiplantae,34KJ7@3041|Chlorophyta	3041|Chlorophyta	K	Contains 2 Pathogenesis-related transcriptional factor and ERF domains (IPR001471 TF_ERF). Pathogenesis-related genes transcriptional activator binds to the GCC-box pathogenesis-related promoter element and activates the plant's defense genes	-	-	-	ko:K09284	-	-	-	-	ko00000,ko03000	-	-	-	AP2
PRW05822.1	554065.XP_005850459.1	1.43e-75	228.0	KOG3061@1|root,KOG3061@2759|Eukaryota,37U04@33090|Viridiplantae,34MPN@3041|Chlorophyta	3041|Chlorophyta	O	Proteasome maturation factor UMP1	-	-	-	ko:K11599	ko03050,map03050	-	-	-	ko00000,ko00001,ko03051	-	-	-	UMP1
PRW05823.1	554065.XP_005850459.1	1.49e-75	228.0	KOG3061@1|root,KOG3061@2759|Eukaryota,37U04@33090|Viridiplantae,34MPN@3041|Chlorophyta	3041|Chlorophyta	O	Proteasome maturation factor UMP1	-	-	-	ko:K11599	ko03050,map03050	-	-	-	ko00000,ko00001,ko03051	-	-	-	UMP1
PRW05824.1	554065.XP_005850203.1	5.25e-132	378.0	COG0847@1|root,KOG2248@2759|Eukaryota,37ZGY@33090|Viridiplantae,34JFJ@3041|Chlorophyta	3041|Chlorophyta	L	Exonuclease	-	-	-	ko:K18327	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	RNase_T
PRW05828.1	554065.XP_005850223.1	0.0	1105.0	KOG1104@1|root,KOG1104@2759|Eukaryota,37RHW@33090|Viridiplantae,34ID5@3041|Chlorophyta	3041|Chlorophyta	A	MIF4G like	-	-	-	ko:K12882	ko03013,ko03015,ko03040,map03013,map03015,map03040	M00399	-	-	ko00000,ko00001,ko00002,ko03019,ko03041	-	-	-	MIF4G,MIF4G_like,MIF4G_like_2
PRW05829.1	554065.XP_005850223.1	0.0	1105.0	KOG1104@1|root,KOG1104@2759|Eukaryota,37RHW@33090|Viridiplantae,34ID5@3041|Chlorophyta	3041|Chlorophyta	A	MIF4G like	-	-	-	ko:K12882	ko03013,ko03015,ko03040,map03013,map03015,map03040	M00399	-	-	ko00000,ko00001,ko00002,ko03019,ko03041	-	-	-	MIF4G,MIF4G_like,MIF4G_like_2
PRW05831.1	554065.XP_005847222.1	1.42e-93	273.0	KOG0896@1|root,KOG0896@2759|Eukaryota,37WH8@33090|Viridiplantae,34P9P@3041|Chlorophyta	3041|Chlorophyta	O	Ubiquitin-conjugating enzyme E2, catalytic domain homologues	-	-	-	ko:K10704	ko04624,map04624	-	-	-	ko00000,ko00001,ko03400	-	-	-	UQ_con
PRW05833.1	554065.XP_005850457.1	0.0	1153.0	COG2217@1|root,KOG0207@2759|Eukaryota,37KEY@33090|Viridiplantae,34GPZ@3041|Chlorophyta	3041|Chlorophyta	P	P-type ATPase	-	-	3.6.3.4	ko:K01533	-	-	R00086	RC00002	ko00000,ko01000	3.A.3.5	-	-	E1-E2_ATPase,HMA,Hydrolase
PRW05834.1	554065.XP_005850470.1	7.8e-256	736.0	COG1597@1|root,KOG4640@1|root,KOG1116@2759|Eukaryota,KOG4640@2759|Eukaryota,37N8V@33090|Viridiplantae,34I7W@3041|Chlorophyta	3041|Chlorophyta	DO	Anaphase-promoting complex, cyclosome, subunit 4	-	-	-	ko:K03351	ko04110,ko04111,ko04113,ko04114,ko04120,ko04914,ko05166,map04110,map04111,map04113,map04114,map04120,map04914,map05166	M00389	-	-	ko00000,ko00001,ko00002,ko03036,ko04121	-	-	-	ANAPC4,ANAPC4_WD40
PRW05836.1	554065.XP_005850214.1	0.0	991.0	COG2252@1|root,2QQ5E@2759|Eukaryota,37KKT@33090|Viridiplantae,34JQR@3041|Chlorophyta	33090|Viridiplantae	S	Permease family	-	-	-	ko:K06901	-	-	-	-	ko00000,ko02000	2.A.1.40	-	-	Xan_ur_permease
PRW05837.1	554065.XP_005850466.1	0.0	2298.0	COG5022@1|root,KOG0160@2759|Eukaryota,37MUF@33090|Viridiplantae,34GWI@3041|Chlorophyta	3041|Chlorophyta	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family	-	-	-	ko:K10357	-	-	-	-	ko00000,ko03019,ko03029,ko04131,ko04812	-	-	-	DIL,IQ,Myosin_N,Myosin_head
PRW05838.1	554065.XP_005850466.1	0.0	2301.0	COG5022@1|root,KOG0160@2759|Eukaryota,37MUF@33090|Viridiplantae,34GWI@3041|Chlorophyta	3041|Chlorophyta	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family	-	-	-	ko:K10357	-	-	-	-	ko00000,ko03019,ko03029,ko04131,ko04812	-	-	-	DIL,IQ,Myosin_N,Myosin_head
PRW05839.1	554065.XP_005850209.1	5.28e-216	603.0	COG0151@1|root,KOG0237@2759|Eukaryota,37QAB@33090|Viridiplantae,34ISC@3041|Chlorophyta	3041|Chlorophyta	F	AIR synthase related protein, C-terminal domain	-	-	6.3.3.1	ko:K01933	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04208	RC01100	ko00000,ko00001,ko00002,ko01000	-	-	-	AIRS,AIRS_C
PRW05841.1	554065.XP_005850473.1	1.47e-138	415.0	COG5574@1|root,KOG0317@2759|Eukaryota,37HFR@33090|Viridiplantae,34IHY@3041|Chlorophyta	3041|Chlorophyta	O	Pex2 / Pex12 amino terminal region	-	-	-	ko:K13346	ko04146,map04146	-	-	-	ko00000,ko00001,ko04121	3.A.20.1	-	-	Pex2_Pex12,zf-C3HC4_3,zf-RING_2
PRW05842.1	3075.A0A087SBP8	2.7e-160	475.0	COG5184@1|root,KOG1426@2759|Eukaryota,37M6U@33090|Viridiplantae,34I8H@3041|Chlorophyta	3041|Chlorophyta	DZ	Regulator of chromosome condensation (RCC1) repeat	-	-	-	-	-	-	-	-	-	-	-	-	RCC1
PRW05844.1	554065.XP_005850467.1	7.01e-83	246.0	COG2163@1|root,KOG3418@2759|Eukaryota,37TR0@33090|Viridiplantae,34HQV@3041|Chlorophyta	3041|Chlorophyta	J	Ribosomal protein L27	RPL27	-	-	ko:K02901	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	KOW,Ribosomal_L27e
PRW05846.1	554065.XP_005847365.1	0.0	1224.0	COG1287@1|root,KOG2292@2759|Eukaryota,37MH5@33090|Viridiplantae,34P7F@3041|Chlorophyta	3041|Chlorophyta	O	Oligosaccharyl transferase STT3 subunit	-	-	2.4.99.18	ko:K07151	ko00510,ko00513,ko01100,ko04141,map00510,map00513,map01100,map04141	M00072	R04216,R05976	RC00005,RC00482	ko00000,ko00001,ko00002,ko01000,ko01003	-	GT66	-	STT3
PRW05847.1	554065.XP_005850205.1	2.28e-135	407.0	KOG0272@1|root,KOG0272@2759|Eukaryota,37HYM@33090|Viridiplantae,34JFC@3041|Chlorophyta	3041|Chlorophyta	A	pre-mRNA processing factor 4 (PRP4) like	-	-	-	ko:K12662	ko03040,map03040	M00354	-	-	ko00000,ko00001,ko00002,ko03041	-	-	-	PRP4,WD40
PRW05850.1	554065.XP_005844709.1	1.57e-114	366.0	KOG1982@1|root,KOG1982@2759|Eukaryota,37N0I@33090|Viridiplantae,34IE8@3041|Chlorophyta	3041|Chlorophyta	L	RAI1 like PD-(D/E)XK nuclease	-	-	-	ko:K14845	-	-	-	-	ko00000,ko03009,ko03021	-	-	-	RAI1
PRW05851.1	554065.XP_005850212.1	2.59e-245	710.0	KOG1327@1|root,KOG1327@2759|Eukaryota,37MKV@33090|Viridiplantae,34J60@3041|Chlorophyta	3041|Chlorophyta	T	Copine	-	-	-	-	-	-	-	-	-	-	-	-	C2,Copine
PRW05852.1	554065.XP_005850208.1	0.0	1509.0	COG0474@1|root,KOG0206@2759|Eukaryota,37IA9@33090|Viridiplantae,34H2Y@3041|Chlorophyta	3041|Chlorophyta	P	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily	-	-	3.6.3.1	ko:K14802	-	-	-	-	ko00000,ko01000,ko03009	3.A.3.8	-	-	Hydrolase,PhoLip_ATPase_C
PRW05854.1	554065.XP_005847223.1	0.0	1413.0	KOG1525@1|root,KOG1525@2759|Eukaryota,3827P@33090|Viridiplantae,34PEQ@3041|Chlorophyta	3041|Chlorophyta	D	C-5 cytosine-specific DNA methylase	-	-	-	-	-	-	-	-	-	-	-	-	DNA_methylase
PRW05855.1	3055.EDO98281	1.46e-40	142.0	2AH3C@1|root,2S9WY@2759|Eukaryota,37WUV@33090|Viridiplantae,34IJB@3041|Chlorophyta	3041|Chlorophyta	S	Domain of unknown function (DUF3067)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3067
PRW05856.1	554065.XP_005850218.1	0.0	1043.0	KOG1164@1|root,KOG1164@2759|Eukaryota,37NP2@33090|Viridiplantae,34K4Z@3041|Chlorophyta	3041|Chlorophyta	T	serine threonine protein kinase	-	-	-	-	-	-	-	-	-	-	-	-	Pkinase
