#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
XP_005842581.1	554065.XP_005842581.1	1.91e-66	201.0	COG0086@1|root,KOG0261@2759|Eukaryota,37JQB@33090|Viridiplantae,34K2Z@3041|Chlorophyta	3041|Chlorophyta	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	-	-	2.7.7.6	ko:K03018	ko00230,ko00240,ko01100,ko03020,ko04623,ko05169,map00230,map00240,map01100,map03020,map04623,map05169	M00181	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021	-	-	-	RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5
XP_005842583.1	554065.XP_005842583.1	2.38e-86	254.0	COG0008@1|root,KOG1149@2759|Eukaryota,37PZT@33090|Viridiplantae,34GSD@3041|Chlorophyta	3041|Chlorophyta	J	Belongs to the class-I aminoacyl-tRNA synthetase family	-	-	6.1.1.17	ko:K01885	ko00860,ko00970,ko01100,ko01110,ko01120,map00860,map00970,map01100,map01110,map01120	M00121,M00359,M00360	R05578	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko02048,ko03016	-	-	-	tRNA-synt_1c
XP_005842588.1	554065.XP_005844796.1	2.63e-35	127.0	COG3491@1|root,KOG0143@2759|Eukaryota,37JSZ@33090|Viridiplantae,34JVU@3041|Chlorophyta	3041|Chlorophyta	Q	Belongs to the iron ascorbate-dependent oxidoreductase family	-	-	-	-	-	-	-	-	-	-	-	-	2OG-FeII_Oxy,DIOX_N
XP_005842590.1	3075.A0A087SCS1	3.79e-20	92.4	COG0025@1|root,KOG1965@2759|Eukaryota,37U3N@33090|Viridiplantae,34J7Y@3041|Chlorophyta	3041|Chlorophyta	P	Belongs to the monovalent cation proton antiporter 1 (CPA1) transporter (TC 2.A.36) family	-	-	-	ko:K03316,ko:K14724	-	-	-	-	ko00000,ko02000	2.A.36,2.A.36.1.12,2.A.36.1.9	-	-	Na_H_Exchanger
XP_005842591.1	554065.XP_005842591.1	3.65e-80	237.0	COG0476@1|root,KOG2012@2759|Eukaryota,37Q5I@33090|Viridiplantae,34H3A@3041|Chlorophyta	3041|Chlorophyta	O	Belongs to the ubiquitin-activating E1 family	-	-	6.2.1.45	ko:K03178	ko04120,ko05012,map04120,map05012	-	-	-	ko00000,ko00001,ko01000,ko04121,ko04147	-	-	-	E1_4HB,E1_FCCH,E1_UFD,ThiF,UBA_e1_thiolCys
XP_005842594.1	554065.XP_005842594.1	2.46e-81	241.0	COG5022@1|root,KOG0160@2759|Eukaryota,37I09@33090|Viridiplantae,34GYW@3041|Chlorophyta	3041|Chlorophyta	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family	-	-	-	ko:K10357	-	-	-	-	ko00000,ko03019,ko03029,ko04131,ko04812	-	-	-	IQ,Myosin_head
XP_005842596.1	554065.XP_005842673.1	1.5e-30	120.0	KOG1075@1|root,KOG1075@2759|Eukaryota,389VD@33090|Viridiplantae,34PFA@3041|Chlorophyta	2759|Eukaryota	S	Chromatin organization modifier domain	-	-	-	-	-	-	-	-	-	-	-	-	RVT_1
XP_005842601.1	554065.XP_005842601.1	7.67e-223	614.0	COG1025@1|root,KOG0959@2759|Eukaryota,37Q3S@33090|Viridiplantae,34H2T@3041|Chlorophyta	3041|Chlorophyta	O	Insulinase (Peptidase family M16)	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M16,Peptidase_M16_C
XP_005842602.1	554065.XP_005842602.1	2.48e-80	238.0	COG0372@1|root,KOG2617@2759|Eukaryota,380J7@33090|Viridiplantae,34MFT@3041|Chlorophyta	3041|Chlorophyta	H	Citrate synthase, C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Citrate_synt
XP_005842604.1	554065.XP_005842604.1	1.05e-92	271.0	COG0750@1|root,2QUAP@2759|Eukaryota,37JF0@33090|Viridiplantae,34GZ5@3041|Chlorophyta	3041|Chlorophyta	M	zinc metalloprotease EGY1, chloroplastic	-	-	-	-	-	-	-	-	-	-	-	-	-
XP_005842605.1	554065.XP_005842605.1	3.66e-115	331.0	KOG0265@1|root,KOG0265@2759|Eukaryota,37M0Y@33090|Viridiplantae,34H7Y@3041|Chlorophyta	3041|Chlorophyta	A	WD domain, G-beta repeat	-	-	-	ko:K12857	ko03040,map03040	M00354,M00355	-	-	ko00000,ko00001,ko00002,ko03041	-	-	-	WD40
XP_005842606.1	554065.XP_005842606.1	1.84e-110	317.0	KOG0598@1|root,KOG0598@2759|Eukaryota,37MXE@33090|Viridiplantae,34J4P@3041|Chlorophyta	3041|Chlorophyta	T	Belongs to the protein kinase superfamily	-	-	2.7.11.1	ko:K04688	ko01521,ko01522,ko04012,ko04066,ko04140,ko04150,ko04151,ko04152,ko04211,ko04212,ko04213,ko04350,ko04371,ko04666,ko04714,ko04910,ko04931,ko05165,ko05200,ko05205,ko05210,ko05212,ko05221,ko05224,ko05225,ko05226,ko05231,map01521,map01522,map04012,map04066,map04140,map04150,map04151,map04152,map04211,map04212,map04213,map04350,map04371,map04666,map04714,map04910,map04931,map05165,map05200,map05205,map05210,map05212,map05221,map05224,map05225,map05226,map05231	-	-	-	ko00000,ko00001,ko01000,ko01001	-	-	-	Pkinase,Pkinase_C
XP_005842609.1	554065.XP_005845208.1	5.02e-43	147.0	COG0580@1|root,KOG0223@2759|Eukaryota,37PC5@33090|Viridiplantae,34KI3@3041|Chlorophyta	3041|Chlorophyta	P	Belongs to the MIP aquaporin (TC 1.A.8) family	-	-	-	ko:K09873	-	-	-	-	ko00000,ko02000	1.A.8.10	-	-	MIP
XP_005842621.1	554065.XP_005842621.1	4.95e-98	285.0	COG0058@1|root,KOG2099@2759|Eukaryota,37PPE@33090|Viridiplantae,34GNV@3041|Chlorophyta	3041|Chlorophyta	G	Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties	PHO1	-	2.4.1.1	ko:K00688	ko00500,ko01100,ko01110,ko02026,ko04217,ko04910,ko04922,ko04931,map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931	-	R02111	-	ko00000,ko00001,ko01000	-	GT35	-	Phosphorylase
XP_005842622.1	554065.XP_005842622.1	3.04e-165	462.0	COG1003@1|root,KOG2040@2759|Eukaryota,37JTX@33090|Viridiplantae,34H2P@3041|Chlorophyta	3041|Chlorophyta	E	The glycine cleavage system catalyzes the degradation of glycine	GCSP	-	1.4.4.2	ko:K00281	ko00260,ko00630,ko01100,ko01110,ko01130,ko01200,map00260,map00630,map01100,map01110,map01130,map01200	M00532	R01221,R03425	RC00022,RC00929,RC02834,RC02880	ko00000,ko00001,ko00002,ko01000	-	-	-	GDC-P
XP_005842624.1	554065.XP_005842624.1	1.32e-97	284.0	COG0653@1|root,2QS7I@2759|Eukaryota,37NCN@33090|Viridiplantae,34H6R@3041|Chlorophyta	3041|Chlorophyta	U	Belongs to the SecA family	-	-	-	ko:K03070	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.10,3.A.5.2,3.A.5.4	-	-	SecA_DEAD,SecA_PP_bind,SecA_SW
XP_005842625.1	554065.XP_005842625.1	7.18e-181	503.0	COG0661@1|root,COG1131@1|root,KOG0059@2759|Eukaryota,KOG1235@2759|Eukaryota,37NYW@33090|Viridiplantae,34J7E@3041|Chlorophyta	3041|Chlorophyta	Q	ABC transporter	-	-	-	ko:K05643	ko02010,map02010	-	-	-	ko00000,ko00001,ko02000	3.A.1.211	-	-	ABC2_membrane_3,ABC_tran
XP_005842627.1	554065.XP_005842627.1	1.49e-93	272.0	29R50@1|root,2RXAA@2759|Eukaryota,37X7V@33090|Viridiplantae,34IKK@3041|Chlorophyta	3041|Chlorophyta	S	Mpv17 / PMP22 family	-	-	-	-	-	-	-	-	-	-	-	-	Mpv17_PMP22
XP_005842630.1	554065.XP_005842630.1	1.65e-43	143.0	2C663@1|root,2S8HJ@2759|Eukaryota,37XC4@33090|Viridiplantae,34NUG@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
XP_005842638.1	554065.XP_005842638.1	4.94e-266	734.0	KOG2203@1|root,KOG2203@2759|Eukaryota,37HKR@33090|Viridiplantae,34GXG@3041|Chlorophyta	3041|Chlorophyta	S	GTP-binding protein that may be involved in cell development	-	-	-	-	-	-	-	-	-	-	-	-	RHD3
XP_005842641.1	554065.XP_005842641.1	8.17e-83	244.0	2CJU3@1|root,2QTBX@2759|Eukaryota,37IM6@33090|Viridiplantae,34K00@3041|Chlorophyta	3041|Chlorophyta	G	Beta-amylase	BAM2	-	3.2.1.2	ko:K01177	ko00500,map00500	-	R02112,R11262	-	ko00000,ko00001,ko01000	-	GH14	-	Glyco_hydro_14
XP_005842642.1	554065.XP_005842642.1	4.95e-103	299.0	COG0086@1|root,KOG0260@2759|Eukaryota,37S4G@33090|Viridiplantae,34J15@3041|Chlorophyta	33090|Viridiplantae	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	-	-	2.7.7.6	ko:K03006	ko00230,ko00240,ko01100,ko03020,ko05016,ko05168,ko05169,map00230,map00240,map01100,map03020,map05016,map05168,map05169	M00180	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5,RNA_pol_Rpb1_6,RNA_pol_Rpb1_7,RNA_pol_Rpb1_R
XP_005842644.1	554065.XP_005842644.1	1.59e-156	438.0	COG0086@1|root,KOG0262@2759|Eukaryota,37HDT@33090|Viridiplantae,34GYH@3041|Chlorophyta	3041|Chlorophyta	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	-	-	2.7.7.6	ko:K02999	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00182	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021	-	-	-	RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5
XP_005842646.1	554065.XP_005842646.1	1.03e-100	291.0	KOG0594@1|root,KOG0594@2759|Eukaryota,37IT0@33090|Viridiplantae,34HCM@3041|Chlorophyta	3041|Chlorophyta	G	Belongs to the protein kinase superfamily	-	-	2.7.11.22	ko:K02206	ko04068,ko04110,ko04114,ko04115,ko04151,ko04218,ko04914,ko04934,ko05161,ko05162,ko05165,ko05168,ko05169,ko05200,ko05203,ko05215,ko05222,ko05226,map04068,map04110,map04114,map04115,map04151,map04218,map04914,map04934,map05161,map05162,map05165,map05168,map05169,map05200,map05203,map05215,map05222,map05226	M00692,M00693	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko03032,ko03036	-	-	-	Pkinase
XP_005842649.1	554065.XP_005842649.1	1.03e-159	446.0	COG1022@1|root,KOG1256@2759|Eukaryota,37QW0@33090|Viridiplantae,34JA6@3041|Chlorophyta	3041|Chlorophyta	I	AMP-binding enzyme	-	-	6.2.1.3	ko:K01897	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1	-	-	AMP-binding
XP_005842650.1	554065.XP_005842650.1	4.86e-233	641.0	291QV@1|root,2R8KY@2759|Eukaryota,381MT@33090|Viridiplantae,34MXU@3041|Chlorophyta	554065.XP_005842650.1|-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
XP_005842652.1	554065.XP_005842652.1	4.26e-250	687.0	KOG2037@1|root,KOG2037@2759|Eukaryota,37QWT@33090|Viridiplantae,34J5S@3041|Chlorophyta	3041|Chlorophyta	S	Guanylate-binding protein, N-terminal domain	-	-	-	ko:K20899	ko04621,map04621	-	-	-	ko00000,ko00001	-	-	-	GBP,GBP_C
XP_005842654.1	554065.XP_005842654.1	8.71e-133	375.0	COG0515@1|root,KOG0192@2759|Eukaryota,380RC@33090|Viridiplantae,34MAD@3041|Chlorophyta	3041|Chlorophyta	T	Protein tyrosine kinase	-	-	2.7.11.1	ko:K08838	-	-	-	-	ko00000,ko01000,ko01001,ko04131	-	-	-	Pkinase,Pkinase_Tyr
XP_005842655.1	554065.XP_005842655.1	0.0	875.0	2911R@1|root,2R7XD@2759|Eukaryota,37ZGA@33090|Viridiplantae,34JIW@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHR-BD,VPS13
XP_005842656.1	554065.XP_005842656.1	2.74e-138	391.0	2CCHD@1|root,2RRFV@2759|Eukaryota,382M2@33090|Viridiplantae,34NMX@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
XP_005842657.1	554065.XP_005848097.1	1.17e-65	214.0	KOG2147@1|root,KOG2147@2759|Eukaryota,37IN3@33090|Viridiplantae,34H27@3041|Chlorophyta	3041|Chlorophyta	J	Nop14-like family	-	-	-	ko:K14766	-	-	-	-	ko00000,ko03009	-	-	-	Nop14
XP_005842658.1	554065.XP_005842658.1	2.56e-181	506.0	2AZTV@1|root,2QR1Q@2759|Eukaryota,37K15@33090|Viridiplantae,34HQY@3041|Chlorophyta	3041|Chlorophyta	S	Cofactor assembly of complex C subunit B	-	-	-	-	-	-	-	-	-	-	-	-	CCB1
XP_005842663.1	554065.XP_005842663.1	1.07e-99	290.0	COG0712@1|root,KOG1662@2759|Eukaryota,37RKT@33090|Viridiplantae,34KTN@3041|Chlorophyta	3041|Chlorophyta	C	ATP synthase	ATPD	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0016020,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035	-	ko:K02113	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	-	OSCP
XP_005842664.1	554065.XP_005842664.1	3.46e-137	388.0	COG0058@1|root,KOG2099@2759|Eukaryota,37PPE@33090|Viridiplantae,34GNV@3041|Chlorophyta	33090|Viridiplantae	G	Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties	PHO1	GO:0000272,GO:0001101,GO:0003674,GO:0003824,GO:0004645,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0005977,GO:0005980,GO:0006073,GO:0006091,GO:0006112,GO:0006950,GO:0008144,GO:0008150,GO:0008152,GO:0008184,GO:0009056,GO:0009057,GO:0009251,GO:0009414,GO:0009415,GO:0009507,GO:0009536,GO:0009628,GO:0009987,GO:0010035,GO:0010038,GO:0015980,GO:0016052,GO:0016740,GO:0016757,GO:0016758,GO:0019842,GO:0030170,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044042,GO:0044237,GO:0044238,GO:0044247,GO:0044248,GO:0044260,GO:0044262,GO:0044264,GO:0044275,GO:0044424,GO:0044444,GO:0044464,GO:0046686,GO:0048037,GO:0050662,GO:0050896,GO:0055114,GO:0070279,GO:0071704,GO:0097159,GO:1901363,GO:1901575,GO:1901700	2.4.1.1	ko:K00688	ko00500,ko01100,ko01110,ko02026,ko04217,ko04910,ko04922,ko04931,map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931	-	R02111	-	ko00000,ko00001,ko01000	-	GT35	-	Phosphorylase
XP_005842665.1	554065.XP_005842665.1	0.0	1121.0	COG0646@1|root,KOG1579@2759|Eukaryota,37PZ9@33090|Viridiplantae,34JK1@3041|Chlorophyta	33090|Viridiplantae	E	Methionine synthase	metH	-	2.1.1.13	ko:K00548	ko00270,ko00450,ko00670,ko01100,ko01110,ko01230,map00270,map00450,map00670,map01100,map01110,map01230	M00017	R00946,R09365	RC00035,RC00113,RC01241	ko00000,ko00001,ko00002,ko01000	-	-	-	B12-binding,B12-binding_2,Met_synt_B12,Pterin_bind,S-methyl_trans
XP_005842670.1	554065.XP_005842670.1	8.25e-248	680.0	COG0101@1|root,KOG2553@2759|Eukaryota,37QHX@33090|Viridiplantae,34MJ5@3041|Chlorophyta	3041|Chlorophyta	J	tRNA pseudouridine synthase	-	-	5.4.99.12	ko:K06173	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	PseudoU_synth_1
XP_005842673.1	554065.XP_005842673.1	1.78e-284	779.0	KOG1075@1|root,KOG1075@2759|Eukaryota,389VD@33090|Viridiplantae,34PFA@3041|Chlorophyta	2759|Eukaryota	S	Chromatin organization modifier domain	-	-	-	-	-	-	-	-	-	-	-	-	RVT_1
XP_005842678.1	554065.XP_005842678.1	8.53e-81	240.0	COG0049@1|root,KOG3291@2759|Eukaryota,37WYQ@33090|Viridiplantae,34IT2@3041|Chlorophyta	3041|Chlorophyta	J	Ribosomal protein S7p/S5e	-	-	-	ko:K02992	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S7
XP_005842682.1	554065.XP_005842682.1	2.76e-116	337.0	COG1240@1|root,2QU3C@2759|Eukaryota,37K5U@33090|Viridiplantae,34H1K@3041|Chlorophyta	3041|Chlorophyta	F	Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg- protoporphyrin IX	-	-	6.6.1.1	ko:K03404	ko00860,ko01100,ko01110,map00860,map01100,map01110	-	R03877	RC01012	ko00000,ko00001,ko01000	-	-	-	Mg_chelatase,VWA_2
XP_005842684.1	554065.XP_005842684.1	4.23e-213	588.0	2CRG7@1|root,2S477@2759|Eukaryota,37W85@33090|Viridiplantae,34NE5@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
XP_005842688.1	554065.XP_005842688.1	7.35e-174	486.0	2CXYW@1|root,2RAW3@2759|Eukaryota,38199@33090|Viridiplantae,34MXH@3041|Chlorophyta	3041|Chlorophyta	S	Potential Queuosine, Q, salvage protein family	-	-	-	-	-	-	-	-	-	-	-	-	Q_salvage
XP_005842690.1	554065.XP_005842690.1	7.04e-216	600.0	KOG2498@1|root,KOG2498@2759|Eukaryota,37HSK@33090|Viridiplantae,34KIE@3041|Chlorophyta	3041|Chlorophyta	T	RED-like protein N-terminal region	-	-	-	ko:K13109	-	-	-	-	ko00000,ko03041	-	-	-	RED_C,RED_N
XP_005842691.1	554065.XP_005842691.1	4.88e-178	494.0	COG5291@1|root,KOG0858@2759|Eukaryota,37HSR@33090|Viridiplantae,34HXQ@3041|Chlorophyta	3041|Chlorophyta	S	May be involved in the degradation of misfolded endoplasmic reticulum (ER) luminal proteins	-	-	-	ko:K13989	ko04141,map04141	M00403	-	-	ko00000,ko00001,ko00002	-	-	-	DER1
XP_005842695.1	554065.XP_005842695.1	8.48e-96	278.0	COG0526@1|root,KOG0191@2759|Eukaryota,37UEU@33090|Viridiplantae,34P68@3041|Chlorophyta	3041|Chlorophyta	O	Thioredoxin	-	-	-	ko:K13984	ko04141,map04141	-	-	-	ko00000,ko00001,ko03110,ko04131	-	-	-	Thioredoxin
XP_005842697.1	554065.XP_005842697.1	2.53e-121	347.0	COG2226@1|root,2QPQG@2759|Eukaryota,37KFX@33090|Viridiplantae,34KBK@3041|Chlorophyta	3041|Chlorophyta	H	Methyltransferase domain	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11
XP_005842698.1	554065.XP_005842698.1	2.71e-195	541.0	COG1643@1|root,KOG0924@2759|Eukaryota,37PQU@33090|Viridiplantae,34HA9@3041|Chlorophyta	3041|Chlorophyta	A	Helicase associated domain (HA2)  Add an annotation	-	-	3.6.4.13	ko:K12815	ko03040,map03040	-	-	-	ko00000,ko00001,ko01000,ko03041	-	-	-	DEAD,HA2,Helicase_C,OB_NTP_bind
XP_005842701.1	554065.XP_005842701.1	8.94e-179	499.0	28IC2@1|root,2QQNK@2759|Eukaryota,37KZA@33090|Viridiplantae,34H4X@3041|Chlorophyta	3041|Chlorophyta	S	hydroxyproline O-arabinosyltransferase activity	-	-	2.4.2.58	ko:K20782	ko00514,map00514	-	-	-	ko00000,ko00001,ko01000,ko01003	-	GT95	-	PAN_4
XP_005842705.1	554065.XP_005842705.1	2.5e-75	224.0	28JWK@1|root,2QSAS@2759|Eukaryota,37J7Q@33090|Viridiplantae,34JQH@3041|Chlorophyta	3041|Chlorophyta	S	Calcineurin-like phosphoesterase	-	-	-	-	-	-	-	-	-	-	-	-	-
XP_005842710.1	554065.XP_005842710.1	1.05e-130	370.0	COG1187@1|root,2QT4T@2759|Eukaryota,37J18@33090|Viridiplantae,34KHK@3041|Chlorophyta	3041|Chlorophyta	J	S4 RNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	PseudoU_synth_2,S4
XP_005842711.1	554065.XP_005842711.1	3.42e-45	145.0	KOG3500@1|root,KOG3500@2759|Eukaryota,37XZE@33090|Viridiplantae,34NC2@3041|Chlorophyta	3041|Chlorophyta	P	ATP synthase subunit H	-	-	-	ko:K02153	ko00190,ko01100,ko04145,ko04721,ko04966,ko05110,ko05120,ko05323,map00190,map01100,map04145,map04721,map04966,map05110,map05120,map05323	M00160	-	-	ko00000,ko00001,ko00002	3.A.2.2	-	-	ATP_synt_H
XP_005842714.1	554065.XP_005842714.1	1.88e-61	188.0	KOG3485@1|root,KOG3485@2759|Eukaryota,37V9F@33090|Viridiplantae,34M5C@3041|Chlorophyta	3041|Chlorophyta	A	Splicing factor 3B subunit 10 (SF3b10)	-	-	-	ko:K12832	ko03040,map03040	M00352	-	-	ko00000,ko00001,ko00002,ko03041	-	-	-	SF3b10
XP_005842715.1	554065.XP_005842715.1	3.29e-260	712.0	COG0167@1|root,KOG1799@2759|Eukaryota,37JTE@33090|Viridiplantae,34HF8@3041|Chlorophyta	3041|Chlorophyta	F	Dihydroorotate dehydrogenase	-	-	1.3.1.2	ko:K00207	ko00240,ko00410,ko00770,ko00983,ko01100,map00240,map00410,map00770,map00983,map01100	M00046	R00978,R01415,R08226	RC00072,RC00123,RC02245	ko00000,ko00001,ko00002,ko01000	-	-	-	DHO_dh
