#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
scaffold16.g19.t1	554065.XP_005846777.1	2.35e-254	795.0	COG2183@1|root,KOG1856@2759|Eukaryota,37N6D@33090|Viridiplantae,34HS8@3041|Chlorophyta	3041|Chlorophyta	A	homolog Saccharomyces cerevisiae Spt6 protein, which functions as part of a protein complex in transcription initiation and also plays a role in chromatin structure assembly. ChromDB ID	-	-	-	ko:K11292	-	-	-	-	ko00000,ko03021,ko03036	-	-	-	DLD,HHH_7,SH2_2,SPT6_acidic,YqgF
scaffold16.g20.t1	554065.XP_005846774.1	3.08e-132	385.0	COG0631@1|root,KOG1379@2759|Eukaryota,37HU6@33090|Viridiplantae,34HY3@3041|Chlorophyta	3041|Chlorophyta	T	Stage II sporulation protein E (SpoIIE)	-	-	3.1.3.16	ko:K17508	-	-	-	-	ko00000,ko01000,ko01009	-	-	-	PP2C,SpoIIE
scaffold16.g23.t1	3055.EDO99603	2.52e-89	278.0	COG2084@1|root,KOG0409@2759|Eukaryota,37RNC@33090|Viridiplantae,34JBU@3041|Chlorophyta	3041|Chlorophyta	I	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase	-	-	1.1.1.79	ko:K18121	ko00630,ko00650,ko01100,ko01120,ko01200,map00630,map00650,map01100,map01120,map01200	-	R00465,R09281	RC00042,RC00087	ko00000,ko00001,ko01000	-	-	-	NAD_binding_11,NAD_binding_2
scaffold16.g24.t1	3075.A0A087SQV4	3.68e-25	112.0	KOG2827@1|root,KOG2827@2759|Eukaryota,37JUH@33090|Viridiplantae,34IGG@3041|Chlorophyta	3041|Chlorophyta	O	Telomere stability and silencing	-	-	-	-	-	-	-	-	-	-	-	-	Telomere_Sde2,Telomere_Sde2_2
scaffold16.g25.t1	554065.XP_005846646.1	1.6e-76	257.0	KOG2793@1|root,KOG2793@2759|Eukaryota,37WGT@33090|Viridiplantae,34I6A@3041|Chlorophyta	3041|Chlorophyta	A	Lysine methyltransferase	-	-	-	ko:K21804,ko:K21806	-	-	-	-	ko00000,ko01000,ko03019,ko03110	-	-	-	Methyltransf_16,NIF
scaffold16.g27.t1	554065.XP_005846790.1	2.81e-70	230.0	2BB08@1|root,2S0WW@2759|Eukaryota,37W2R@33090|Viridiplantae,34KSI@3041|Chlorophyta	3041|Chlorophyta	S	Protein of unknown function (DUF98)	-	-	-	-	-	-	-	-	-	-	-	-	DUF98
scaffold16.g28.t1	554065.XP_005846644.1	2.6e-77	241.0	KOG1629@1|root,KOG1629@2759|Eukaryota,37IXK@33090|Viridiplantae,34KQU@3041|Chlorophyta	3041|Chlorophyta	V	Belongs to the BI1 family	-	-	-	ko:K21889	-	-	-	-	ko00000,ko02000	1.A.14.1.1,1.A.14.1.2,1.A.14.1.3,1.A.14.1.4	-	-	Bax1-I
scaffold16.g29.t1	248742.XP_005644712.1	7.56e-237	700.0	COG1185@1|root,KOG1067@2759|Eukaryota,37SXY@33090|Viridiplantae,34H32@3041|Chlorophyta	3041|Chlorophyta	J	3' exoribonuclease family, domain 2	-	-	2.7.7.8	ko:K00962	ko00230,ko00240,ko03018,map00230,map00240,map03018	M00394	R00437,R00438,R00439,R00440	RC02795	ko00000,ko00001,ko00002,ko01000,ko03016,ko03019	-	-	-	KH_1,PNPase,RNase_PH,RNase_PH_C,S1
scaffold16.g31.t1	554065.XP_005846780.1	2.47e-111	355.0	2BC5E@1|root,2S0ZD@2759|Eukaryota,37V2T@33090|Viridiplantae,34HSA@3041|Chlorophyta	3041|Chlorophyta	P	The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated	LHCA5	-	-	ko:K08907	ko00196,map00196	-	-	-	ko00000,ko00001,ko00194	-	-	iRC1080.CRv4_Au5_s12_g3249_t1	Chloroa_b-bind
scaffold16.g32.t1	554065.XP_005846779.1	7.51e-69	212.0	2CXZD@1|root,2S0WM@2759|Eukaryota,37V04@33090|Viridiplantae,34HT1@3041|Chlorophyta	3041|Chlorophyta	P	The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated	LHCA	-	-	ko:K08911	ko00196,map00196	-	-	-	ko00000,ko00001,ko00194	-	-	-	Chloroa_b-bind
scaffold16.g34.t1	554065.XP_005845215.1	1.33e-103	306.0	COG0526@1|root,KOG1672@2759|Eukaryota,37MGG@33090|Viridiplantae,34HUH@3041|Chlorophyta	3041|Chlorophyta	CO	Thioredoxin domain-containing protein	-	-	-	-	-	-	-	-	-	-	-	-	Thioredoxin
scaffold16.g35.t1	554065.XP_005845214.1	7.25e-144	417.0	COG0278@1|root,KOG0911@2759|Eukaryota,37HP0@33090|Viridiplantae,34HQ8@3041|Chlorophyta	3041|Chlorophyta	O	Glutaredoxin	-	-	-	-	-	-	-	-	-	-	-	-	Glutaredoxin,Thioredoxin
scaffold16.g37.t1	3075.A0A087SGW2	5.21e-234	650.0	COG0554@1|root,KOG0728@2759|Eukaryota,37R03@33090|Viridiplantae,34J14@3041|Chlorophyta	3041|Chlorophyta	O	Belongs to the AAA ATPase family	-	-	-	ko:K03066	ko03050,ko05169,map03050,map05169	M00341	-	-	ko00000,ko00001,ko00002,ko03051	-	-	-	AAA
scaffold16.g38.t1	554065.XP_005843347.1	0.0	1201.0	COG0474@1|root,KOG0205@2759|Eukaryota,37I59@33090|Viridiplantae,34JNJ@3041|Chlorophyta	3041|Chlorophyta	P	Plasma membrane ATPase	-	-	3.6.3.6	ko:K01535	ko00190,map00190	-	-	-	ko00000,ko00001,ko01000	3.A.3.3	-	-	Cation_ATPase_N,E1-E2_ATPase,Hydrolase
scaffold16.g39.t1	554065.XP_005846784.1	4.5e-274	858.0	COG5594@1|root,KOG1134@2759|Eukaryota,37U98@33090|Viridiplantae,34HKU@3041|Chlorophyta	3041|Chlorophyta	S	Calcium-dependent channel, 7TM region, putative phosphate	-	-	-	ko:K21989	-	-	-	-	ko00000,ko02000	-	-	-	PHM7_cyt,RSN1_7TM,RSN1_TM
scaffold16.g43.t1	554065.XP_005844004.1	1.6e-86	291.0	KOG1022@1|root,KOG1022@2759|Eukaryota,37J4K@33090|Viridiplantae,34M6S@3041|Chlorophyta	3041|Chlorophyta	GMW	Glycosyl transferase family 64 domain	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_64
scaffold16.g45.t1	3067.XP_002946410.1	9.85e-62	240.0	2AR4E@1|root,2RMFI@2759|Eukaryota,37TQU@33090|Viridiplantae,34K03@3041|Chlorophyta	3041|Chlorophyta	C	Belongs to the Psb28 family	PSBW1	-	-	ko:K08903	ko00195,ko01100,map00195,map01100	-	-	-	ko00000,ko00001,ko00194	-	-	-	Psb28
scaffold16.g49.t1	554065.XP_005845224.1	1.06e-32	132.0	KOG3306@1|root,KOG3306@2759|Eukaryota,37RKW@33090|Viridiplantae,34IS8@3041|Chlorophyta	3041|Chlorophyta	S	Protein of unknown function (DUF2012)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2012
scaffold16.g52.t1	554065.XP_005846771.1	6.77e-101	317.0	COG0115@1|root,KOG0975@2759|Eukaryota,37N35@33090|Viridiplantae,34M3D@3041|Chlorophyta	3041|Chlorophyta	E	Amino-transferase class IV	-	-	4.1.3.38	ko:K18482	ko00790,map00790	-	R05553	RC01843,RC02148	ko00000,ko00001,ko01000	-	-	-	Aminotran_4
scaffold16.g57.t1	554065.XP_005845935.1	2.44e-53	179.0	KOG3200@1|root,KOG3200@2759|Eukaryota,37P71@33090|Viridiplantae,34N1A@3041|Chlorophyta	3041|Chlorophyta	S	Alpha-ketoglutarate-dependent dioxygenase alkB homolog	-	-	-	ko:K10768	-	-	-	-	ko00000,ko01000	-	-	-	2OG-FeII_Oxy_2
scaffold16.g59.t1	3067.XP_002953998.1	9.44e-56	183.0	COG0229@1|root,KOG0856@2759|Eukaryota,37I4S@33090|Viridiplantae,34M1Z@3041|Chlorophyta	3041|Chlorophyta	O	SelR domain	-	-	1.8.4.12	ko:K07305	-	-	-	-	ko00000,ko01000	-	-	-	SelR
scaffold16.g62.t1	554065.XP_005845847.1	6.01e-197	660.0	COG5543@1|root,KOG1810@2759|Eukaryota,37J97@33090|Viridiplantae,34JZH@3041|Chlorophyta	3041|Chlorophyta	D	Putative death-receptor fusion protein (DUF2428)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2428
scaffold16.g63.t1	554065.XP_005845744.1	1.73e-234	669.0	COG5185@1|root,KOG0995@2759|Eukaryota,37KZQ@33090|Viridiplantae,34KA7@3041|Chlorophyta	3041|Chlorophyta	D	HEC/Ndc80p family	-	-	-	ko:K11547	-	-	-	-	ko00000,ko03036	-	-	-	Ndc80_HEC
scaffold16.g64.t1	554065.XP_005845921.1	1.24e-176	498.0	COG0057@1|root,KOG0657@2759|Eukaryota,37HSA@33090|Viridiplantae,34H8C@3041|Chlorophyta	3041|Chlorophyta	G	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family	-	-	1.2.1.12	ko:K00134	ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010	M00001,M00002,M00003,M00165,M00166,M00308,M00552	R01061	RC00149	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	-	Gp_dh_C,Gp_dh_N
scaffold16.g65.t1	554065.XP_005845933.1	4.26e-70	224.0	2E60N@1|root,2SCSB@2759|Eukaryota,37XKN@33090|Viridiplantae,34IS5@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
scaffold16.g66.t1	554065.XP_005845922.1	3.52e-76	243.0	COG0258@1|root,2QSF6@2759|Eukaryota,37RJX@33090|Viridiplantae,34IRS@3041|Chlorophyta	3041|Chlorophyta	L	5'-3' exonuclease	-	-	-	-	-	-	-	-	-	-	-	-	5_3_exonuc,5_3_exonuc_N
scaffold16.g67.t1	554065.XP_005846945.1	1.72e-69	236.0	COG2226@1|root,KOG1540@2759|Eukaryota,37K8T@33090|Viridiplantae,34K0N@3041|Chlorophyta	3041|Chlorophyta	H	Involved in the biosynthesis of phylloquinone (vitamin K1). Methyltransferase required for the conversion of 2-phytyl- 1,4-beta-naphthoquinol to phylloquinol	MENG	-	2.1.1.163,2.1.1.201	ko:K03183	ko00130,ko01100,ko01110,map00130,map01100,map01110	M00116,M00117	R04990,R04993,R06859,R08774,R09736	RC00003,RC01253,RC01662	ko00000,ko00001,ko00002,ko01000	-	-	-	Ubie_methyltran
scaffold16.g68.t1	554065.XP_005851391.1	2.81e-220	631.0	COG0126@1|root,KOG1367@2759|Eukaryota,37RUX@33090|Viridiplantae,34GPY@3041|Chlorophyta	3041|Chlorophyta	G	Belongs to the phosphoglycerate kinase family	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	2.7.2.3	ko:K00927	ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00002,M00003,M00165,M00166,M00308,M00552	R01512	RC00002,RC00043	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	iRC1080.CRv4_Au5_s22_g9800_t1	PGK
scaffold16.g70.t1	554065.XP_005843094.1	2.12e-54	176.0	COG5262@1|root,KOG1756@2759|Eukaryota,37UXP@33090|Viridiplantae,34M3A@3041|Chlorophyta	3041|Chlorophyta	B	Belongs to the histone H2A family	-	-	-	ko:K11251	ko04217,ko05034,ko05322,map04217,map05034,map05322	-	-	-	ko00000,ko00001,ko03036,ko04147	-	-	-	Histone,Histone_H2A_C
scaffold16.g71.t1	3075.A0A087SBQ6	1.11e-84	299.0	COG0057@1|root,COG1404@1|root,KOG0657@2759|Eukaryota,KOG1153@2759|Eukaryota,37HSA@33090|Viridiplantae,34H8C@3041|Chlorophyta	3041|Chlorophyta	G	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family	-	-	1.2.1.12	ko:K00134	ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010	M00001,M00002,M00003,M00165,M00166,M00308,M00552	R01061	RC00149	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	-	Gp_dh_C,Gp_dh_N
scaffold16.g72.t1	554065.XP_005845812.1	1.83e-144	479.0	KOG1634@1|root,KOG1634@2759|Eukaryota,37J5E@33090|Viridiplantae,34IJH@3041|Chlorophyta	3041|Chlorophyta	K	Transcription factor S-II (TFIIS), central domain	-	-	-	ko:K19720	ko04611,ko04926,ko04933,ko04974,ko05146,map04611,map04926,map04933,map04974,map05146	-	-	-	ko00000,ko00001,ko00536	-	-	-	SPOC,TFIIS_M
scaffold16.g73.t1	3075.A0A087SNY0	1.14e-124	387.0	COG0158@1|root,KOG1458@2759|Eukaryota,37PR3@33090|Viridiplantae,34P4J@3041|Chlorophyta	3041|Chlorophyta	G	Belongs to the FBPase class 1 family	-	-	3.1.3.11	ko:K03841	ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko04152,ko04910,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map04152,map04910	M00003,M00165,M00167,M00344	R00762,R04780	RC00017	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	FBPase
scaffold16.g74.t1	554065.XP_005845911.1	1.61e-84	263.0	COG0652@1|root,KOG0546@2759|Eukaryota,37ZY0@33090|Viridiplantae,34M2C@3041|Chlorophyta	3041|Chlorophyta	O	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	-	-	-	-	-	-	-	-	-	-	-	-	Pro_isomerase
scaffold16.g79.t1	554065.XP_005845914.1	8.68e-140	407.0	2E0X8@1|root,2S8AH@2759|Eukaryota,388KN@33090|Viridiplantae,34KSK@3041|Chlorophyta	3041|Chlorophyta	S	Domain in cystathionine beta-synthase and other proteins.	-	-	-	-	-	-	-	-	-	-	-	-	CBS
scaffold16.g86.t1	554065.XP_005847006.1	1.08e-64	212.0	2CYSV@1|root,2S678@2759|Eukaryota,37XTS@33090|Viridiplantae,34PBM@3041|Chlorophyta	3041|Chlorophyta	S	Alpha/beta hydrolase family	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1
scaffold16.g88.t1	554065.XP_005851774.1	1.22e-117	362.0	2C0E3@1|root,2S92I@2759|Eukaryota,37XS9@33090|Viridiplantae,34IXE@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Asp_protease_2
scaffold16.g89.t1	554065.XP_005845799.1	4.12e-109	356.0	28J8J@1|root,2QRM4@2759|Eukaryota,37UJI@33090|Viridiplantae,34HTA@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Na_H_Exchanger
scaffold16.g90.t1	554065.XP_005842714.1	4.69e-39	132.0	KOG3485@1|root,KOG3485@2759|Eukaryota,37V9F@33090|Viridiplantae,34M5C@3041|Chlorophyta	3041|Chlorophyta	A	Splicing factor 3B subunit 10 (SF3b10)	-	-	-	ko:K12832	ko03040,map03040	M00352	-	-	ko00000,ko00001,ko00002,ko03041	-	-	-	SF3b10
scaffold16.g91.t1	3075.A0A087SRP9	6.34e-144	416.0	COG4870@1|root,KOG1543@2759|Eukaryota,383ZA@33090|Viridiplantae,34K44@3041|Chlorophyta	3041|Chlorophyta	O	Belongs to the peptidase C1 family	-	-	3.4.18.1	ko:K08568	ko04142,ko04210,map04142,map04210	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_C1
scaffold16.g93.t1	248742.XP_005647271.1	1.9e-153	463.0	COG1506@1|root,KOG1290@1|root,KOG1290@2759|Eukaryota,KOG2100@2759|Eukaryota,37JTM@33090|Viridiplantae,34JIT@3041|Chlorophyta	3041|Chlorophyta	T	Belongs to the protein kinase superfamily	-	-	2.7.11.1	ko:K08832	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	Pkinase
scaffold16.g94.t1	554065.XP_005846815.1	9.52e-79	235.0	COG1358@1|root,KOG3406@2759|Eukaryota,37U5C@33090|Viridiplantae,34HZA@3041|Chlorophyta	3041|Chlorophyta	J	Belongs to the eukaryotic ribosomal protein eS12 family	RPS12	-	-	ko:K02951	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L7Ae
scaffold16.g95.t1	554065.XP_005846669.1	2.46e-115	355.0	COG0388@1|root,KOG0806@2759|Eukaryota,37NPI@33090|Viridiplantae,34JXI@3041|Chlorophyta	3041|Chlorophyta	E	Carbon-nitrogen hydrolase	-	-	3.5.1.3	ko:K13566	ko00250,map00250	-	R00269,R00348	RC00010	ko00000,ko00001,ko01000	-	-	-	CN_hydrolase
scaffold16.g96.t1	248742.XP_005649764.1	7.34e-64	212.0	COG0385@1|root,KOG4821@2759|Eukaryota,37P1G@33090|Viridiplantae,34KKD@3041|Chlorophyta	33090|Viridiplantae	S	sodium ion bile acid	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009526,GO:0009536,GO:0009941,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	ko:K14347	-	-	-	-	ko00000,ko02000,ko04147	2.A.93.1	-	-	SBF_like
scaffold16.g99.t1	554065.XP_005848936.1	4.46e-77	260.0	28JNB@1|root,2QS1G@2759|Eukaryota,37R2Z@33090|Viridiplantae,34I8Q@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
scaffold16.g100.t1	554065.XP_005846961.1	6.54e-102	325.0	2D36Y@1|root,2SQF5@2759|Eukaryota,380J8@33090|Viridiplantae,34MBU@3041|Chlorophyta	3041|Chlorophyta	S	Gametolysin peptidase M11	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M11
scaffold16.g102.t1	554065.XP_005845915.1	3.29e-141	443.0	KOG0998@1|root,KOG0998@2759|Eukaryota,37K6S@33090|Viridiplantae,34IKR@3041|Chlorophyta	3041|Chlorophyta	TU	Eps15 homology domain	-	-	-	-	-	-	-	-	-	-	-	-	EF-hand_4,EF-hand_5
scaffold16.g104.t1	3055.EDP03432	4.59e-51	177.0	28IAQ@1|root,2QQM6@2759|Eukaryota,37SJS@33090|Viridiplantae,34IJ7@3041|Chlorophyta	3041|Chlorophyta	S	Cofactor assembly of complex C subunit B, CCB2/CCB4	-	-	-	-	-	-	-	-	-	-	-	-	CCB2_CCB4
scaffold16.g106.t1	554065.XP_005845802.1	0.0	991.0	COG5110@1|root,KOG2005@2759|Eukaryota,37NFN@33090|Viridiplantae,34H1H@3041|Chlorophyta	3041|Chlorophyta	O	Proteasome/cyclosome repeat	-	-	-	ko:K03028	ko03050,ko05169,map03050,map05169	M00341	-	-	ko00000,ko00001,ko00002,ko03051	-	-	-	PC_rep
scaffold16.g107.t1	554065.XP_005845908.1	4.76e-284	862.0	COG1236@1|root,COG1793@1|root,KOG0967@2759|Eukaryota,KOG1361@2759|Eukaryota,37NHP@33090|Viridiplantae,34KD2@3041|Chlorophyta	3041|Chlorophyta	L	ATP dependent DNA ligase C terminal region	-	-	6.5.1.1,6.5.1.6,6.5.1.7	ko:K10747	ko03030,ko03410,ko03420,ko03430,map03030,map03410,map03420,map03430	-	R00381,R00382,R10822,R10823	RC00005	ko00000,ko00001,ko01000,ko03032,ko03400	-	-	-	DNA_ligase_A_C,DNA_ligase_A_M,DNA_ligase_A_N,DRMBL
scaffold16.g108.t1	554065.XP_005845907.1	5.8e-50	161.0	KOG1759@1|root,KOG1759@2759|Eukaryota,37UMA@33090|Viridiplantae,34IKJ@3041|Chlorophyta	3041|Chlorophyta	V	Macrophage migration inhibitory factor (MIF)	-	-	5.3.2.1	ko:K07253	ko00350,ko00360,map00350,map00360	-	R01378,R03342	RC00507	ko00000,ko00001,ko01000,ko04147	-	-	-	MIF
scaffold16.g109.t1	554065.XP_005845804.1	1.05e-73	252.0	COG1404@1|root,KOG1153@2759|Eukaryota,37VPW@33090|Viridiplantae,34HXE@3041|Chlorophyta	3041|Chlorophyta	O	Belongs to the peptidase S8 family	-	-	-	-	-	-	-	-	-	-	-	-	Kazal_1,Peptidase_S8
scaffold16.g113.t1	554065.XP_005845916.1	7.12e-93	278.0	COG0225@1|root,KOG1635@2759|Eukaryota,37JIQ@33090|Viridiplantae,34KIT@3041|Chlorophyta	3041|Chlorophyta	O	Peptide methionine sulfoxide reductase	-	-	1.8.4.11	ko:K07304	-	-	-	-	ko00000,ko01000	-	-	-	PMSR
scaffold16.g121.t1	554065.XP_005845862.1	1.64e-34	121.0	2B139@1|root,2S09E@2759|Eukaryota,37UHC@33090|Viridiplantae,34NDX@3041|Chlorophyta	3041|Chlorophyta	S	photosystem I subunit	-	-	-	ko:K14332	ko00195,map00195	-	-	-	ko00000,ko00001,ko00194	-	-	-	-
scaffold16.g122.t1	3067.XP_002952932.1	5.18e-46	163.0	28P18@1|root,2QVMT@2759|Eukaryota,37U2J@33090|Viridiplantae,34KXH@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ureidogly_lyase
scaffold16.g123.t1	554065.XP_005845865.1	6.73e-231	675.0	COG0297@1|root,2QPHZ@2759|Eukaryota,37MQC@33090|Viridiplantae,34GZB@3041|Chlorophyta	3041|Chlorophyta	M	Belongs to the glycosyltransferase 1 family. Bacterial plant glycogen synthase subfamily	SSIV	-	2.4.1.21	ko:K00703	ko00500,ko01100,ko01110,ko02026,map00500,map01100,map01110,map02026	M00565	R02421	RC00005	ko00000,ko00001,ko00002,ko01000,ko01003	-	GT5	-	Glyco_transf_5,Glycos_transf_1
scaffold16.g125.t1	554065.XP_005845746.1	1.38e-114	365.0	COG0241@1|root,KOG0562@1|root,KOG0562@2759|Eukaryota,KOG2134@2759|Eukaryota,37NEF@33090|Viridiplantae,34N9F@3041|Chlorophyta	3041|Chlorophyta	L	C2HE / C2H2 / C2HC zinc-binding finger	-	-	3.1.11.7,3.1.11.8,3.1.12.2	ko:K10863	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	AAA_33,DcpS_C,zf-C2HE
scaffold16.g126.t1	554065.XP_005845754.1	5.3e-118	397.0	KOG2422@1|root,KOG2422@2759|Eukaryota,37M5E@33090|Viridiplantae,34HQQ@3041|Chlorophyta	3041|Chlorophyta	S	Transcriptional repressor TCF25	-	-	-	-	-	-	-	-	-	-	-	-	Tcf25
