#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
PSC67099.1	554065.XP_005845128.1	1.69e-284	787.0	KOG0282@1|root,KOG0282@2759|Eukaryota,37IZX@33090|Viridiplantae,34JG0@3041|Chlorophyta	3041|Chlorophyta	S	WD domain, G-beta repeat	-	-	-	ko:K12816	ko03040,map03040	M00355	-	-	ko00000,ko00001,ko00002,ko03041	-	-	-	WD40
PSC67100.1	554065.XP_005851057.1	1.12e-22	111.0	2CM8X@1|root,2QPN7@2759|Eukaryota,37VHB@33090|Viridiplantae,34HYF@3041|Chlorophyta	3041|Chlorophyta	S	NAD(P)-binding Rossmann-like domain	-	-	-	-	-	-	-	-	-	-	-	-	NAD_binding_8
PSC67103.1	554065.XP_005851396.1	2.8e-117	377.0	COG0548@1|root,KOG4341@1|root,KOG2436@2759|Eukaryota,KOG4341@2759|Eukaryota,37MWE@33090|Viridiplantae,34JAG@3041|Chlorophyta	3041|Chlorophyta	E	Amino acid kinase family	-	-	2.3.1.1	ko:K14682	ko00220,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map01100,map01110,map01130,map01210,map01230	M00028	R00259	RC00004,RC00064	ko00000,ko00001,ko00002,ko01000	-	-	-	AA_kinase,Acetyltransf_1
PSC67104.1	554065.XP_005850103.1	1.34e-92	327.0	COG0497@1|root,2RZ0Y@2759|Eukaryota,38A1Q@33090|Viridiplantae,34HKP@3041|Chlorophyta	3041|Chlorophyta	U	AAA domain	-	-	-	-	-	-	-	-	-	-	-	-	AAA_23
PSC67108.1	3067.XP_002956464.1	9.29e-176	510.0	2CM8X@1|root,2QPN7@2759|Eukaryota,37VHB@33090|Viridiplantae,34HYF@3041|Chlorophyta	3041|Chlorophyta	S	NAD(P)-binding Rossmann-like domain	-	-	-	-	-	-	-	-	-	-	-	-	NAD_binding_8
PSC67110.1	554065.XP_005852012.1	1.47e-130	380.0	COG2123@1|root,KOG1613@2759|Eukaryota,37SXB@33090|Viridiplantae,34M4H@3041|Chlorophyta	3041|Chlorophyta	J	3' exoribonuclease family, domain 2	-	-	-	ko:K12586	ko03018,map03018	M00391	-	-	ko00000,ko00001,ko00002,ko03019	-	-	-	RNase_PH,RNase_PH_C
PSC67111.1	3055.EDP10003	1.83e-70	252.0	COG2801@1|root,KOG0017@2759|Eukaryota,37THH@33090|Viridiplantae,34MIE@3041|Chlorophyta	3041|Chlorophyta	L	Mitochondrial protein	-	-	-	-	-	-	-	-	-	-	-	-	RVT_2
PSC67116.1	554065.XP_005852164.1	0.0	1105.0	COG5329@1|root,KOG1888@2759|Eukaryota,37R6R@33090|Viridiplantae,34HK6@3041|Chlorophyta	3041|Chlorophyta	I	SacI homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Syja_N,WW
PSC67118.1	554065.XP_005851837.1	1.2e-108	385.0	KOG2238@1|root,KOG2238@2759|Eukaryota,37R25@33090|Viridiplantae,34NTJ@3041|Chlorophyta	3041|Chlorophyta	S	lipid binding	-	-	-	ko:K06236	ko04151,ko04510,ko04512,ko04611,ko04926,ko04933,ko04974,ko05146,ko05165,map04151,map04510,map04512,map04611,map04926,map04933,map04974,map05146,map05165	-	-	-	ko00000,ko00001,ko00536,ko04516	-	-	-	-
PSC67120.1	554065.XP_005850228.1	1.31e-169	491.0	COG0405@1|root,KOG2410@2759|Eukaryota,37HV8@33090|Viridiplantae,34KXV@3041|Chlorophyta	3041|Chlorophyta	E	Gamma-glutamyltranspeptidase	-	-	2.3.2.2,3.4.19.13,3.4.19.14	ko:K00681,ko:K18592	ko00430,ko00460,ko00480,ko00590,ko01100,map00430,map00460,map00480,map00590,map01100	-	R00494,R01262,R01687,R03867,R03916,R03970,R03971,R04935,R09875	RC00064,RC00090,RC00096	ko00000,ko00001,ko01000,ko01002,ko04090	-	-	-	G_glu_transpept
PSC67124.1	3075.A0A087SGD9	8.07e-55	211.0	COG5253@1|root,COG5347@1|root,KOG3314@1|root,KOG0229@2759|Eukaryota,KOG0704@2759|Eukaryota,KOG3314@2759|Eukaryota,37KZJ@33090|Viridiplantae,34JHF@3041|Chlorophyta	3041|Chlorophyta	TUZ	Putative GTP-ase activating proteins for the small GTPase, ARF	-	-	-	ko:K12492	ko04144,map04144	-	-	-	ko00000,ko00001,ko04131	-	-	-	ArfGap
PSC67126.1	554065.XP_005848812.1	1.43e-70	230.0	KOG3314@1|root,KOG3314@2759|Eukaryota,37M94@33090|Viridiplantae,34IBV@3041|Chlorophyta	3041|Chlorophyta	E	Belongs to the peptidase M76 family	-	-	-	ko:K18156	-	-	-	-	ko00000,ko01000,ko03029	-	-	-	Peptidase_M76
PSC67130.1	554065.XP_005844618.1	6.64e-162	497.0	COG1196@1|root,KOG0250@2759|Eukaryota,37NTZ@33090|Viridiplantae,34H35@3041|Chlorophyta	3041|Chlorophyta	L	Structural maintenance of chromosomes	-	-	-	-	-	-	-	-	-	-	-	-	AAA_23,SMC_N
PSC67131.1	554065.XP_005844524.1	3.76e-109	324.0	COG0596@1|root,KOG1454@2759|Eukaryota,37MDX@33090|Viridiplantae,34JMC@3041|Chlorophyta	3041|Chlorophyta	S	Alpha/beta hydrolase family	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_6
PSC67133.1	554065.XP_005848152.1	2.31e-232	696.0	COG0474@1|root,KOG0202@2759|Eukaryota,37QT1@33090|Viridiplantae,34IZY@3041|Chlorophyta	2759|Eukaryota	P	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family	-	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0015075,GO:0015318,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0031224,GO:0031226,GO:0034220,GO:0042623,GO:0042625,GO:0042626,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0090662,GO:0098655,GO:0098660,GO:0099131,GO:0099132	3.6.3.2	ko:K01531	-	-	-	-	ko00000,ko01000	3.A.3.4	-	-	Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase
PSC67135.1	554065.XP_005844483.1	1.5e-280	787.0	KOG0594@1|root,KOG0594@2759|Eukaryota,37MQP@33090|Viridiplantae,34HIG@3041|Chlorophyta	3041|Chlorophyta	T	Protein kinase domain	-	-	-	-	-	-	-	-	-	-	-	-	Pkinase
PSC67136.1	554065.XP_005844570.1	2.34e-141	417.0	KOG2479@1|root,KOG2479@2759|Eukaryota,37KXQ@33090|Viridiplantae,34J47@3041|Chlorophyta	3041|Chlorophyta	J	mRNA cap-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation. In the eIF-3 complex, eif3d specifically recognizes and binds the 7-methylguanosine cap of a subset of mRNAs	-	-	-	ko:K03251	ko03013,map03013	-	-	-	ko00000,ko00001,ko03012	-	-	-	eIF-3_zeta
PSC67138.1	554065.XP_005844479.1	3.82e-133	398.0	COG1022@1|root,KOG1256@2759|Eukaryota,37QX3@33090|Viridiplantae,34HH3@3041|Chlorophyta	3041|Chlorophyta	I	AMP-binding enzyme	-	-	6.2.1.3	ko:K01897	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1	-	-	AMP-binding,AMP-binding_C
PSC67139.1	248742.XP_005643537.1	9.13e-125	371.0	COG2226@1|root,2QPQG@2759|Eukaryota,37KFX@33090|Viridiplantae,34KBK@3041|Chlorophyta	3041|Chlorophyta	H	Methyltransferase domain	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11
PSC67141.1	554065.XP_005843208.1	6.4e-130	427.0	COG1474@1|root,KOG2227@2759|Eukaryota,37JC8@33090|Viridiplantae,34KUV@3041|Chlorophyta	3041|Chlorophyta	L	Cell division control protein	-	-	-	ko:K02213	ko04110,ko04111,ko04113,map04110,map04111,map04113	-	-	-	ko00000,ko00001,ko03032	-	-	-	AAA_16,AAA_22,Cdc6_C,MBD
PSC67145.1	554065.XP_005852164.1	3.82e-211	658.0	COG5329@1|root,KOG1888@2759|Eukaryota,37R6R@33090|Viridiplantae,34HK6@3041|Chlorophyta	3041|Chlorophyta	I	SacI homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Syja_N,WW
PSC67146.1	554065.XP_005851837.1	3.94e-183	602.0	KOG2238@1|root,KOG2238@2759|Eukaryota,37R25@33090|Viridiplantae,34NTJ@3041|Chlorophyta	3041|Chlorophyta	S	lipid binding	-	-	-	ko:K06236	ko04151,ko04510,ko04512,ko04611,ko04926,ko04933,ko04974,ko05146,ko05165,map04151,map04510,map04512,map04611,map04926,map04933,map04974,map05146,map05165	-	-	-	ko00000,ko00001,ko00536,ko04516	-	-	-	-
PSC67148.1	554065.XP_005852028.1	7.17e-65	205.0	2E7CS@1|root,2R8H2@2759|Eukaryota,3812G@33090|Viridiplantae,34MNV@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PSC67149.1	554065.XP_005851700.1	5.52e-152	501.0	2CMM0@1|root,2QQSA@2759|Eukaryota,37N93@33090|Viridiplantae,34KP1@3041|Chlorophyta	3041|Chlorophyta	S	Protein of unknown function (DUF4101)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4101
PSC67151.1	554065.XP_005847361.1	0.0	1437.0	COG0297@1|root,2QQTU@2759|Eukaryota,37QNZ@33090|Viridiplantae,34GPA@3041|Chlorophyta	3041|Chlorophyta	A	Soluble starch synthase	-	-	2.4.1.21	ko:K00703	ko00500,ko01100,ko01110,ko02026,map00500,map01100,map01110,map02026	M00565	R02421	RC00005	ko00000,ko00001,ko00002,ko01000,ko01003	-	GT5	-	CBM53,Glyco_transf_5,Glycos_transf_1
PSC67152.1	554065.XP_005847359.1	2.27e-100	316.0	2EIKK@1|root,2SNZS@2759|Eukaryota,37ZX6@33090|Viridiplantae,34KU4@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PSC67153.1	554065.XP_005849776.1	6.07e-208	581.0	COG0408@1|root,KOG1518@2759|Eukaryota,37NFJ@33090|Viridiplantae,34GSY@3041|Chlorophyta	3041|Chlorophyta	H	coproporphyrinogen III oxidase	HEMF	-	1.3.3.3	ko:K00228	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R03220	RC00884	ko00000,ko00001,ko00002,ko01000	-	-	-	Coprogen_oxidas
PSC67154.1	554065.XP_005849480.1	0.0	1155.0	KOG2021@1|root,KOG2021@2759|Eukaryota,37R9S@33090|Viridiplantae,34JDJ@3041|Chlorophyta	3041|Chlorophyta	JUY	Exportin 1-like protein	-	-	-	ko:K14288	ko03013,map03013	-	-	-	ko00000,ko00001,ko03016	-	-	-	Xpo1
PSC67156.1	554065.XP_005849485.1	3.82e-166	472.0	COG0435@1|root,KOG2903@2759|Eukaryota,37HQY@33090|Viridiplantae,34GUA@3041|Chlorophyta	3041|Chlorophyta	O	Glutathione S-transferase, C-terminal domain	-	-	1.8.5.7	ko:K07393	-	-	-	-	ko00000,ko01000	-	-	-	GST_C_2,GST_N_2
PSC67157.1	554065.XP_005849746.1	2.4e-158	456.0	COG0500@1|root,KOG2940@2759|Eukaryota,37JJY@33090|Viridiplantae,34HNK@3041|Chlorophyta	3041|Chlorophyta	Q	Methyltransferase domain	-	-	-	ko:K18162	ko04714,map04714	-	-	-	ko00000,ko00001,ko01000,ko03029	-	-	-	Methyltransf_11
PSC67160.1	554065.XP_005849755.1	1.08e-196	556.0	COG1060@1|root,2R3WT@2759|Eukaryota,37ZD1@33090|Viridiplantae,34KBC@3041|Chlorophyta	3041|Chlorophyta	H	Biotin and Thiamin Synthesis associated domain	HYDG	-	-	-	-	-	-	-	-	-	-	-	BATS
PSC67161.1	554065.XP_005849476.1	1.48e-57	198.0	COG5033@1|root,KOG3149@2759|Eukaryota,380G2@33090|Viridiplantae,34MC2@3041|Chlorophyta	3041|Chlorophyta	K	YEATS family	-	-	-	-	-	-	-	-	-	-	-	-	YEATS
