Orthogroup	c_variabilis_genome_proteins	c_sorokiniana_genome_proteins
OG0000040	XP_005845715.1	PRW61474.1
OG0000040	XP_005842791.1	PRW33669.1
OG0000040	XP_005845876.1	PRW33672.1
OG0000040	XP_005847722.1	PRW20825.1
OG0000043	XP_005850306.1, XP_005847647.1, XP_005843524.1, XP_005843312.1, XP_005843034.1, XP_005847924.1, XP_005847157.1, XP_005847646.1, XP_005843495.1, XP_005844214.1, XP_005850305.1	PRW56763.1
OG0000044	XP_005850876.1	PRW55946.1
OG0000044	XP_005847883.1	PRW56954.1
OG0000044	XP_005843698.1	PRW59662.1, PRW60004.1
OG0000044	XP_005844472.1	PRW32927.1
OG0000046	XP_005844605.1	PRW20580.1
OG0000046	XP_005844510.1, XP_005844599.1, XP_005843816.1, XP_005844507.1	PRW20481.1, PRW20571.1
OG0000047	XP_005845628.1, XP_005843303.1	PRW57548.1
OG0000048	XP_005849706.1	PRW59309.1
OG0000048	XP_005844087.1, XP_005842614.1, XP_005842687.1, XP_005842798.1, XP_005843036.1, XP_005842883.1, XP_005848360.1, XP_005842870.1, XP_005842880.1, XP_005847112.1, XP_005847111.1, XP_005843302.1, XP_005842868.1	PRW33060.1, PRW39120.1, PRW39118.1
OG0000049	XP_005849431.1	PRW57986.1
OG0000049	XP_005851100.1	PRW58266.1
OG0000049	XP_005849436.1	PRW57916.1, PRW57724.1
OG0000051	XP_005842772.1	PRW58244.1
OG0000051	XP_005848471.1	PRW45026.1
OG0000052	XP_005847912.1	PRW57359.1
OG0000053	XP_005843048.1	PRW32665.1
OG0000053	XP_005849094.1	PRW33245.1
OG0000053	XP_005845524.1	PRW20392.1
OG0000054	XP_005846468.1	PRW61544.1
OG0000054	XP_005848669.1, XP_005848640.1, XP_005848670.1, XP_005848668.1, XP_005846948.1, XP_005849384.1, XP_005851399.1, XP_005843537.1, XP_005846189.1, XP_005848073.1	PRW61445.1
OG0000055	XP_005844276.1, XP_005844197.1	PRW45171.1
OG0000055	XP_005844281.1	PRW61460.1
OG0000056	XP_005851238.1	PRW58352.1
OG0000056	XP_005851822.1	PRW60778.1
OG0000056	XP_005845298.1, XP_005851756.1, XP_005845426.1	PRW60703.1, PRW60808.1, PRW33630.1
OG0000057	XP_005848445.1, XP_005851827.1	PRW61362.1
OG0000057	XP_005847290.1	PRW59693.1
OG0000057	XP_005850969.1	PRW55899.1
OG0000057	XP_005842654.1, XP_005850996.1, XP_005850995.1, XP_005842566.1	PRW56437.1
OG0000058	XP_005844489.1	PRW59456.1, PRW59590.1
OG0000059	XP_005842866.1	PRW61311.1
OG0000059	XP_005845679.1	PRW20365.1
OG0000059	XP_005845678.1	PRW61163.1
OG0000060	XP_005845787.1	PRW33686.1, PRW33685.1, PRW33683.1, PRW33684.1
OG0000061	XP_005847147.1	PRW56960.1
OG0000061	XP_005848612.1	PRW51027.1
OG0000061	XP_005848615.1	PRW50777.1
OG0000062	XP_005848139.1	PRW20948.1, PRW20949.1
OG0000062	XP_005843178.1	PRW05920.1
OG0000063	XP_005849368.1	PRW57845.1
OG0000063	XP_005849369.1	PRW44238.1, PRW58070.1, PRW58069.1
OG0000064	XP_005846850.1	PRW57163.1
OG0000064	XP_005843039.1	PRW61338.1
OG0000064	XP_005844636.1	PRW20516.1, PRW20517.1, PRW20515.1
OG0000065	XP_005852207.1, XP_005851871.1, XP_005851870.1	PRW39236.1, PRW39062.1
OG0000066	XP_005849869.1, XP_005849132.1	PRW45120.1, PRW45119.1
OG0000066	XP_005847799.1	PRW21122.1
OG0000067	XP_005845719.1	PRW60610.1, PRW60576.1
OG0000068	XP_005845574.1	PRW61055.1
OG0000068	XP_005847020.1	PRW56902.1
OG0000068	XP_005852257.1	PRW60626.1
OG0000069	XP_005848368.1	PRW32903.1
OG0000070	XP_005847718.1	PRW56858.1
OG0000070	XP_005848083.1, XP_005850114.1, XP_005846700.1, XP_005846185.1, XP_005846186.1, XP_005849856.1, XP_005850067.1, XP_005851911.1	PRW60692.1
OG0000071	XP_005845923.1, XP_005845813.1, XP_005845814.1, XP_005846604.1, XP_005851773.1	PRW33318.1, PRW33647.1, PRW33563.1
OG0000071	XP_005848573.1	PRW45249.1
OG0000072	XP_005848610.1, XP_005845996.1, XP_005846024.1, XP_005844837.1, XP_005849400.1	PRW60156.1, PRW59318.1
OG0000072	XP_005851748.1, XP_005843728.1, XP_005843668.1	PRW20340.1
OG0000073	XP_005848674.1, XP_005848864.1	PRW50814.1
OG0000075	XP_005849557.1, XP_005849558.1	PRW58909.1
OG0000075	XP_005849559.1	PRW59170.1, PRW59171.1
OG0000077	XP_005842581.1	PRW58100.1
OG0000077	XP_005842642.1, XP_005847122.1	PRW57000.1
OG0000078	XP_005846653.1	PRW56243.1
OG0000078	XP_005849210.1	PRW45688.1, PRW45623.1, PRW45411.1
OG0000079	XP_005849036.1, XP_005842817.1, XP_005848325.1, XP_005848326.1, XP_005842829.1	PRW34034.1
OG0000080	XP_005845447.1	PRW20382.1
OG0000080	XP_005851900.1	PRW60776.1
OG0000081	XP_005843877.1, XP_005843876.1, XP_005843879.1, XP_005843880.1, XP_005843883.1, XP_005847911.1, XP_005843881.1, XP_005843878.1, XP_005843875.1, XP_005843882.1	PRW20711.1
OG0000082	XP_005844060.1	PRW32664.1
OG0000083	XP_005842793.1	PRW32675.1
OG0000084	XP_005847588.1	PRW44448.1
OG0000084	XP_005851060.1, XP_005845053.1, XP_005845052.1	PRW59521.1
OG0000085	XP_005843640.1	PRW60725.1
OG0000087	XP_005842827.1, XP_005843674.1	PRW20409.1, PRW20329.1
OG0000089	XP_005842704.1	PRW61361.1
OG0000089	XP_005849744.1	PRW58939.1
OG0000090	XP_005850232.1	PRW56509.1
OG0000090	XP_005848340.1	PRW44975.1
OG0000090	XP_005850135.1	PRW56613.1
OG0000091	XP_005843076.1	PRW59331.1, PRW55918.1, PRW56217.1, PRW18384.1, PRW45711.1
OG0000092	XP_005851990.1	PRW60803.1
OG0000092	XP_005846592.1	PRW57248.1
OG0000092	XP_005845071.1	PRW56102.1
OG0000093	XP_005851713.1	PRW60425.1
OG0000093	XP_005852054.1, XP_005843061.1, XP_005852052.1	PRW57063.1
OG0000094	XP_005843486.1, XP_005850766.1	PRW61610.1, PRW61273.1
OG0000094	XP_005844359.1	PRW61126.1, PRW61125.1
OG0000095	XP_005846097.1	PRW21013.1, PRW60687.1, PRW58801.1, PRW58802.1, PRW56263.1
OG0000096	XP_005850527.1	PRW57760.1
OG0000096	XP_005852164.1	PRW60806.1
OG0000097	XP_005847807.1, XP_005847808.1	PRW57971.1, PRW57973.1, PRW57972.1
OG0000097	XP_005847806.1	PRW58011.1, PRW20573.1
OG0000098	XP_005845009.1	PRW39353.1
OG0000098	XP_005845008.1	PRW39134.1, PRW39132.1, PRW39133.1
OG0000099	XP_005851021.1	PRW56328.1
OG0000099	XP_005851644.1	PRW58429.1
OG0000099	XP_005845180.1	PRW45741.1
OG0000100	XP_005842832.1	PRW58264.1, PRW20238.1, PRW58878.1, PRW56142.1, PRW34090.1, PRW57932.1
OG0000101	XP_005846101.1, XP_005846100.1, XP_005852296.1, XP_005845966.1, XP_005848733.1, XP_005843462.1, XP_005846133.1, XP_005843469.1, XP_005843437.1, XP_005843470.1, XP_005843461.1, XP_005843435.1, XP_005843464.1	PRW33767.1
OG0000102	XP_005852240.1	PRW60229.1, PRW60749.1, PRW59599.1, PRW59973.1, PRW60111.1, PRW56724.1, PRW56479.1, PRW58085.1, PRW58723.1, PRW56812.1, PRW56665.1, PRW59859.1
OG0000103	XP_005843329.1	PRW33047.1
OG0000103	XP_005852090.1	PRW56888.1
OG0000104	XP_005849872.1	PRW59001.1
OG0000104	XP_005842593.1, XP_005849873.1	PRW59363.1, PRW58819.1
OG0000105	XP_005843186.1	PRW59159.1
OG0000105	XP_005849820.1	PRW60771.1
OG0000105	XP_005848698.1	PRW51136.1
OG0000105	XP_005848697.1	PRW33292.1
OG0000106	XP_005850367.1, XP_005851670.1	PRW60303.1
OG0000106	XP_005851669.1	PRW60906.1
OG0000107	XP_005846407.1, XP_005846805.1, XP_005846663.1, XP_005851056.1, XP_005851835.1, XP_005851649.1, XP_005847773.1, XP_005843545.1, XP_005845169.1	PRW59499.1
OG0000108	XP_005851548.1	PRW60486.1, PRW58172.1, PRW58278.1
OG0000109	XP_005849139.1, XP_005848249.1	PRW58034.1
OG0000109	XP_005848446.1	PRW61254.1, PRW51042.1
OG0000110	XP_005849575.1	PRW57471.1, PRW58695.1, PRW44583.1
OG0000111	XP_005850959.1	PRW56253.1, PRW56254.1, PRW56289.1, PRW56155.1, PRW55939.1, PRW56311.1, PRW56081.1, PRW56174.1, PRW56194.1
OG0000112	XP_005844843.1, XP_005852081.1, XP_005851742.1	PRW20418.1
OG0000113	XP_005849180.1	PRW57579.1
OG0000113	XP_005849181.1	PRW57614.1
OG0000114	XP_005846570.1, XP_005846560.1, XP_005842618.1, XP_005846715.1, XP_005846714.1, XP_005846712.1, XP_005847299.1, XP_005846710.1, XP_005850773.1	PRW20690.1
OG0000115	XP_005843471.1	PRW58844.1
OG0000116	XP_005847077.1, XP_005847079.1	PRW56904.1, PRW56905.1
OG0000116	XP_005847078.1	PRW60179.1, PRW34008.1, PRW61051.1
OG0000117	XP_005847293.1	PRW44454.1, PRW44455.1
OG0000117	XP_005850534.1, XP_005847603.1, XP_005847604.1, XP_005850541.1, XP_005850540.1	PRW56212.1
OG0000118	XP_005845527.1, XP_005845634.1	PRW57457.1
OG0000119	XP_005845896.1, XP_005848680.1, XP_005848887.1	PRW50880.1, PRW50916.1, PRW50851.1, PRW33593.1, PRW33699.1
OG0000120	XP_005846166.1	PRW39190.1, PRW39083.1
OG0000122	XP_005844815.1	PRW33615.1
OG0000122	XP_005844692.1	PRW56450.1
OG0000122	XP_005847512.1	PRW33525.1, PRW33559.1
OG0000123	XP_005848478.1, XP_005845356.1	PRW60132.1
OG0000124	XP_005849899.1	PRW59338.1
OG0000124	XP_005850708.1	PRW55972.1
OG0000125	XP_005845472.1	PRW59917.1, PRW59916.1
OG0000126	XP_005844581.1, XP_005844492.1	PRW20466.1
OG0000126	XP_005844582.1	PRW20465.1
OG0000128	XP_005850276.1, XP_005850277.1	PRW56460.1
OG0000129	XP_005843441.1, XP_005843442.1	PRW59020.1, PRW59019.1
OG0000130	XP_005845354.1	PRW59544.1
OG0000130	XP_005845337.1	PRW59907.1
OG0000131	XP_005847917.1	PRW58503.1, PRW57515.1
OG0000131	XP_005843896.1	PRW20642.1
OG0000132	XP_005848934.1	PRW51140.1
OG0000132	XP_005848649.1	PRW50981.1
OG0000133	XP_005843751.1, XP_005845045.1	PRW56019.1
OG0000133	XP_005845010.1	PRW39377.1
OG0000134	XP_005848897.1	PRW50926.1
OG0000134	XP_005846265.1	PRW60034.1
OG0000136	XP_005844902.1	PRW39079.1
OG0000137	XP_005850908.1	PRW56206.1
OG0000137	XP_005850907.1, XP_005850905.1	PRW55911.1, PRW44508.1
OG0000138	XP_005851992.1	PRW60820.1
OG0000139	XP_005845851.1	PRW60844.1
OG0000139	XP_005844667.1	PRW21117.1, PRW21118.1
OG0000140	XP_005849030.1	PRW34062.1
OG0000140	XP_005847501.1	PRW44472.1, PRW44474.1, PRW44473.1, PRW44462.1
OG0000141	XP_005846641.1	PRW45452.1
OG0000141	XP_005848521.1	PRW45172.1, PRW45156.1
OG0000142	XP_005844698.1	PRW20982.1
OG0000142	XP_005844700.1, XP_005844699.1	PRW20983.1
OG0000143	XP_005846377.1	PRW59977.1
OG0000143	XP_005846379.1	PRW59690.1
OG0000143	XP_005846378.1	PRW60031.1
OG0000144	XP_005848842.1	PRW51174.1
OG0000144	XP_005848839.1	PRW39313.1, PRW39314.1, PRW39312.1
OG0000145	XP_005843258.1	PRW05945.1
OG0000145	XP_005848657.1	PRW51019.1, PRW50784.1
OG0000146	XP_005843713.1	PRW20355.1
OG0000147	XP_005846408.1, XP_005844409.1, XP_005842721.1, XP_005846075.1	PRW20519.1, PRW60994.1
OG0000149	XP_005850642.1, XP_005843424.1	PRW57967.1
OG0000149	XP_005846682.1	PRW21119.1, PRW39308.1
OG0000150	XP_005843064.1	PRW32595.1, PRW58996.1, PRW56448.1, PRW56672.1, PRW56784.1, PRW33787.1, PRW34056.1, PRW58314.1, PRW60451.1, PRW34082.1, PRW51076.1
OG0000151	XP_005848597.1, XP_005842881.1, XP_005849120.1, XP_005847923.1	PRW44466.1
OG0000151	XP_005848599.1, XP_005848598.1	PRW57808.1
OG0000152	XP_005844077.1	PRW59345.1
OG0000152	XP_005849801.1, XP_005845727.1	PRW59428.1, PRW59245.1
OG0000154	XP_005847962.1	PRW20938.1
OG0000155	XP_005845824.1, XP_005845721.1	PRW33580.1, PRW33579.1
OG0000156	XP_005844499.1	PRW20534.1
OG0000156	XP_005849021.1	PRW33753.1
OG0000157	XP_005852165.1	PRW60667.1
OG0000157	XP_005846273.1	PRW60881.1
OG0000158	XP_005843220.1	PRW33218.1
OG0000159	XP_005843774.1	PRW59366.1
OG0000159	XP_005850374.1, XP_005843784.1	PRW59084.1, PRW59146.1
OG0000160	XP_005847284.1	PRW60854.1, PRW60251.1
OG0000162	XP_005845193.1	PRW45341.1
OG0000162	XP_005844819.1	PRW21096.1
OG0000164	XP_005850043.1	PRW60130.1
OG0000164	XP_005846021.1, XP_005845385.1, XP_005845422.1, XP_005847881.1	PRW56564.1
OG0000164	XP_005850855.1, XP_005852151.1	PRW39245.1, PRW59093.1
OG0000165	XP_005848480.1, XP_005846435.1	PRW50829.1, PRW59179.1, PRW56125.1
OG0000165	XP_005845771.1, XP_005844629.1	PRW33146.1, PRW57225.1
OG0000166	XP_005851339.1	PRW58392.1, PRW58310.1
OG0000166	XP_005851340.1	PRW58560.1, PRW58559.1
OG0000167	XP_005848904.1	PRW50795.1, PRW50796.1
OG0000167	XP_005850582.1	PRW56057.1
OG0000168	XP_005849385.1	PRW61494.1
OG0000168	XP_005850931.1	PRW56010.1, PRW56011.1
OG0000169	XP_005848742.1	PRW50918.1
OG0000169	XP_005848158.1	PRW56148.1
OG0000170	XP_005850418.1	PRW60680.1
OG0000170	XP_005850849.1	PRW56299.1
OG0000171	XP_005849543.1, XP_005849592.1, XP_005846261.1	PRW59396.1, PRW59395.1
OG0000173	XP_005850080.1	PRW56505.1, PRW44345.1, PRW56729.1, PRW33761.1, PRW56533.1, PRW56650.1, PRW56651.1, PRW56598.1
OG0000174	XP_005845304.1	PRW59842.1
OG0000174	XP_005843797.1, XP_005843660.1	PRW20437.1
OG0000175	XP_005843289.1, XP_005846108.1	PRW56677.1
OG0000175	XP_005849392.1	PRW33999.1
OG0000175	XP_005845249.1	PRW39317.1
OG0000176	XP_005843572.1, XP_005843571.1, XP_005843573.1	PRW61080.1, PRW61081.1, PRW61079.1, PRW61082.1
OG0000177	XP_005850861.1	PRW56188.1
OG0000177	XP_005845739.1	PRW33709.1, PRW33710.1
OG0000178	XP_005845882.1	PRW33631.1
OG0000178	XP_005846503.1, XP_005846502.1	PRW59953.1
OG0000180	XP_005845674.1	PRW21102.1
OG0000180	XP_005843083.1, XP_005844809.1	PRW21103.1
OG0000181	XP_005851096.1	PRW58578.1
OG0000182	XP_005852270.1	PRW60672.1
OG0000182	XP_005851962.1, XP_005846639.1	PRW45326.1
OG0000183	XP_005852232.1	PRW60584.1
OG0000183	XP_005851903.1	PRW60754.1, PRW60738.1
OG0000184	XP_005845172.1	PRW45476.1, PRW45477.1, PRW45478.1, PRW45448.1, PRW45447.1, PRW45618.1
OG0000185	XP_005842591.1, XP_005842909.1, XP_005843980.1, XP_005843981.1, XP_005842893.1, XP_005842898.1	PRW20689.1, PRW20688.1
OG0000186	XP_005844675.1	PRW21060.1
OG0000186	XP_005848563.1, XP_005844765.1	PRW45212.1
OG0000187	XP_005843781.1, XP_005843786.1	PRW58738.1, PRW58740.1, PRW58739.1
OG0000189	XP_005847529.1, XP_005847528.1	PRW44270.1
OG0000189	XP_005847360.1	PRW44237.1
OG0000190	XP_005846303.1	PRW59477.1
OG0000191	XP_005851070.1, XP_005851362.1	PRW58097.1, PRW58096.1
OG0000192	XP_005852214.1	PRW58444.1
OG0000192	XP_005842745.1, XP_005844227.1, XP_005844062.1	PRW20241.1
OG0000193	XP_005851204.1, XP_005851495.1	PRW58084.1, PRW58083.1
OG0000194	XP_005842658.1	PRW45722.1
OG0000194	XP_005845035.1	PRW57706.1, PRW45471.1
OG0000195	XP_005846113.1	PRW59751.1
OG0000195	XP_005842965.1	PRW21043.1
OG0000196	XP_005849969.1	PRW59620.1
OG0000197	XP_005844737.1	PRW21078.1
OG0000197	XP_005844739.1, XP_005844740.1, XP_005844741.1, XP_005844738.1	PRW21007.1
OG0000198	XP_005851803.1, XP_005852133.1	PRW44493.1, PRW44397.1
OG0000198	XP_005844702.1	PRW21121.1
OG0000199	XP_005847716.1	PRW57823.1
OG0000200	XP_005849079.1	PRW56979.1, PRW57158.1, PRW51065.1, PRW51170.1, PRW20353.1
OG0000201	XP_005851565.1	PRW33272.1
OG0000201	XP_005846619.1, XP_005849223.1, XP_005843052.1	PRW34017.1, PRW45499.1
OG0000202	XP_005847561.1, XP_005850297.1	PRW45639.1
OG0000202	XP_005849119.1, XP_005848739.1, XP_005847562.1, XP_005847737.1, XP_005847569.1, XP_005849957.1	PRW57455.1, PRW50838.1
OG0000203	XP_005843776.1, XP_005843777.1, XP_005844326.1, XP_005850082.1, XP_005843624.1	PRW57985.1
OG0000204	XP_005845630.1	PRW60718.1
OG0000204	XP_005845593.1	PRW60571.1, PRW60393.1
OG0000205	XP_005849619.1, XP_005847469.1	PRW60973.1
OG0000207	XP_005846779.1	PRW45536.1
OG0000207	XP_005846742.1	PRW32659.1
OG0000208	XP_005847855.1, XP_005847861.1	PRW56280.1, PRW33790.1
OG0000210	XP_005849054.1	PRW33873.1
OG0000211	XP_005844319.1	PRW61234.1
OG0000212	XP_005851015.1	PRW44313.1, PRW44314.1
OG0000212	XP_005851014.1	PRW55924.1
OG0000213	XP_005843408.1	PRW21030.1
OG0000213	XP_005844537.1	PRW20576.1
OG0000214	XP_005847041.1	PRW60898.1, PRW61276.1
OG0000214	XP_005849170.1, XP_005843805.1, XP_005846238.1	PRW61447.1
OG0000215	XP_005849867.1, XP_005844945.1	PRW33231.1, PRW33232.1
OG0000216	XP_005844964.1	PRW33254.1
OG0000216	XP_005844854.1	PRW33243.1, PRW33242.1
OG0000218	XP_005847698.1, XP_005847123.1	PRW57353.1
OG0000218	XP_005849697.1	PRW58831.1
OG0000219	XP_005850250.1	PRW39340.1
OG0000219	XP_005850662.1	PRW60052.1
OG0000220	XP_005842750.1, XP_005849555.1	PRW59441.1, PRW59440.1, PRW59439.1
OG0000221	XP_005850309.1	PRW32591.1
OG0000221	XP_005850310.1	PRW56073.1
OG0000222	XP_005848959.1	PRW51168.1
OG0000222	XP_005848970.1, XP_005848972.1	PRW51183.1
OG0000223	XP_005848706.1	PRW50904.1, PRW50905.1
OG0000223	XP_005848702.1, XP_005848701.1	PRW50841.1
OG0000224	XP_005844110.1	PRW20187.1
OG0000224	XP_005844612.1	PRW33807.1, PRW45031.1
OG0000225	XP_005852045.1	PRW56445.1, PRW60358.1, PRW60545.1, PRW60544.1
OG0000226	XP_005850746.1, XP_005850748.1	PRW20912.1, PRW56041.1
OG0000227	XP_005848606.1, XP_005848607.1, XP_005848605.1	PRW50787.1, PRW50789.1, PRW50788.1, PRW50790.1
OG0000228	XP_005845327.1, XP_005843606.1, XP_005843605.1	PRW61590.1
OG0000229	XP_005846573.1	PRW59411.1
OG0000229	XP_005847693.1, XP_005850437.1	PRW58829.1, PRW56674.1
OG0000230	XP_005848616.1	PRW56431.1
OG0000230	XP_005850172.1	PRW56510.1
OG0000231	XP_005847507.1	PRW61209.1, PRW60209.1, PRW60391.1
OG0000233	XP_005843519.1	PRW58027.1, PRW58026.1, PRW58025.1
OG0000234	XP_005852187.1, XP_005846931.1	PRW57465.1, PRW33619.1
OG0000235	XP_005850680.1	PRW56173.1
OG0000235	XP_005846668.1	PRW45437.1
OG0000236	XP_005846210.1	PRW45398.1
OG0000237	XP_005850401.1	PRW56581.1, PRW56757.1
OG0000238	XP_005851028.1, XP_005851024.1	PRW56146.1, PRW56145.1
OG0000239	XP_005851612.1	PRW56224.1
OG0000239	XP_005850660.1	PRW55937.1
OG0000240	XP_005850676.1	PRW56168.1
OG0000240	XP_005850677.1	PRW56076.1
