Orthogroup	c_variabilis_genome_proteins	m_conductrix_genome_proteins
OG0000069	XP_005848368.1	PSC68970.1, PSC71822.1, PSC68623.1, PSC68650.1, PSC68142.1
OG0000069	XP_005848371.1, XP_005848367.1	PSC67013.1, PSC67576.1
OG0000070	XP_005849856.1	PSC72055.1
OG0000070	XP_005850067.1, XP_005851911.1	PSC72569.1
OG0000071	XP_005845923.1, XP_005845813.1, XP_005845814.1, XP_005846604.1, XP_005851773.1	PSC69999.1, PSC70098.1
OG0000072	XP_005848610.1, XP_005845996.1, XP_005846024.1, XP_005844837.1	PSC71311.1
OG0000072	XP_005849400.1	PSC69995.1
OG0000072	XP_005843728.1	PSC74397.1
OG0000072	XP_005843668.1	PSC74692.1
OG0000073	XP_005848674.1, XP_005848864.1	PSC75638.1
OG0000073	XP_005850380.1, XP_005848675.1	PSC75775.1
OG0000073	XP_005848441.1, XP_005851175.1, XP_005848676.1	PSC75375.1
OG0000075	XP_005849557.1, XP_005849558.1	PSC67849.1
OG0000075	XP_005849560.1	PSC74454.1
OG0000076	XP_005843718.1	PSC74606.1
OG0000077	XP_005842581.1	PSC73949.1
OG0000077	XP_005842642.1, XP_005847122.1	PSC72236.1
OG0000078	XP_005846653.1	PSC75438.1
OG0000078	XP_005849210.1	PSC69403.1, PSC69356.1
OG0000079	XP_005849036.1	PSC67450.1
OG0000079	XP_005842817.1, XP_005848325.1, XP_005848326.1, XP_005842829.1	PSC74536.1
OG0000080	XP_005845447.1	PSC76210.1
OG0000080	XP_005851900.1	PSC74164.1
OG0000080	XP_005845446.1, XP_005845444.1, XP_005845443.1, XP_005845441.1	PSC76459.1
OG0000081	XP_005843877.1, XP_005843876.1, XP_005843879.1, XP_005843880.1, XP_005843883.1, XP_005847911.1, XP_005843881.1, XP_005843878.1, XP_005843875.1	PSC74592.1, PSC67706.1
OG0000081	XP_005843882.1	PSC74591.1, PSC67708.1
OG0000083	XP_005842793.1	PSC72942.1, PSC76120.1, PSC67546.1, PSC75431.1, PSC72954.1, PSC72953.1, PSC76992.1, PSC68936.1, PSC67114.1
OG0000084	XP_005847588.1	PSC71369.1, PSC75545.1, PSC71320.1
OG0000085	XP_005843640.1	PSC76241.1
OG0000085	XP_005848007.1	PSC72986.1, PSC67264.1, PSC67187.1, PSC68424.1, PSC68448.1, PSC76723.1, PSC76641.1, PSC76479.1, PSC76478.1, PSC76484.1, PSC76236.1, PSC76237.1
OG0000087	XP_005842827.1, XP_005843674.1	PSC74385.1, PSC74384.1
OG0000089	XP_005842704.1	PSC74206.1
OG0000089	XP_005849744.1	PSC77048.1
OG0000090	XP_005850232.1	PSC72449.1, PSC72450.1
OG0000090	XP_005850135.1	PSC71636.1
OG0000091	XP_005843076.1	PSC72440.1, PSC72437.1
OG0000092	XP_005851990.1	PSC75034.1
OG0000092	XP_005846592.1	PSC67689.1
OG0000092	XP_005845071.1	PSC74817.1
OG0000093	XP_005851713.1	PSC68159.1
OG0000093	XP_005852054.1, XP_005843061.1, XP_005852052.1	PSC75060.1
OG0000094	XP_005843486.1, XP_005850766.1, XP_005850765.1, XP_005844359.1	PSC73251.1
OG0000095	XP_005846097.1	PSC70677.1, PSC68686.1, PSC74289.1, PSC70480.1, PSC73653.1, PSC72921.1
OG0000096	XP_005850527.1	PSC67062.1
OG0000096	XP_005852164.1	PSC67883.1, PSC67145.1, PSC67061.1, PSC67064.1, PSC67092.1, PSC67116.1
OG0000097	XP_005847806.1	PSC74829.1
OG0000098	XP_005845007.1	PSC73461.1
OG0000098	XP_005845008.1	PSC73407.1, PSC73408.1
OG0000099	XP_005851021.1	PSC69049.1
OG0000099	XP_005851644.1	PSC76028.1
OG0000099	XP_005845180.1	PSC73928.1
OG0000100	XP_005842832.1	PSC68470.1, PSC67206.1
OG0000100	XP_005848110.1	PSC76010.1
OG0000101	XP_005846101.1, XP_005846100.1, XP_005852296.1, XP_005845966.1, XP_005848733.1, XP_005843462.1, XP_005846133.1, XP_005843469.1, XP_005843437.1, XP_005843470.1, XP_005843461.1, XP_005843435.1, XP_005843464.1	PSC69142.1
OG0000102	XP_005852240.1	PSC67419.1
OG0000103	XP_005852090.1	PSC72393.1, PSC75580.1
OG0000104	XP_005849872.1	PSC76060.1, PSC67084.1
OG0000104	XP_005842593.1, XP_005849873.1	PSC76330.1
OG0000105	XP_005843186.1	PSC75756.1
OG0000105	XP_005848698.1	PSC77050.1
OG0000106	XP_005850367.1, XP_005851670.1	PSC75001.1
OG0000106	XP_005851669.1	PSC76477.1
OG0000107	XP_005846407.1, XP_005846805.1, XP_005846663.1, XP_005851056.1, XP_005851835.1, XP_005851649.1, XP_005847773.1, XP_005843545.1, XP_005845169.1	PSC71229.1, PSC71228.1
OG0000108	XP_005851548.1	PSC68490.1, PSC73563.1, PSC73564.1, PSC73565.1, PSC72373.1
OG0000109	XP_005849139.1, XP_005848249.1	PSC73115.1
OG0000110	XP_005849575.1	PSC75839.1, PSC72308.1, PSC72305.1, PSC72304.1, PSC72306.1, PSC72307.1, PSC72099.1
OG0000111	XP_005850959.1	PSC72871.1, PSC72872.1
OG0000112	XP_005848639.1	PSC76705.1, PSC76197.1
OG0000112	XP_005844843.1, XP_005852081.1, XP_005851742.1	PSC76549.1
OG0000112	XP_005850568.1	PSC72923.1
OG0000113	XP_005849180.1	PSC67216.1, PSC67227.1
OG0000113	XP_005849412.1	PSC73010.1, PSC76488.1
OG0000114	XP_005846570.1, XP_005846560.1, XP_005842618.1, XP_005846715.1, XP_005846714.1, XP_005846712.1, XP_005847299.1, XP_005846710.1, XP_005850773.1	PSC68818.1
OG0000115	XP_005843471.1	PSC75653.1, PSC67903.1
OG0000116	XP_005847077.1, XP_005847079.1	PSC72059.1
OG0000117	XP_005847293.1	PSC69898.1
OG0000117	XP_005850534.1, XP_005847603.1, XP_005847604.1, XP_005850541.1, XP_005850540.1	PSC69015.1
OG0000118	XP_005845527.1, XP_005845634.1	PSC77040.1, PSC71142.1
OG0000119	XP_005845896.1, XP_005848680.1, XP_005848887.1	PSC69988.1, PSC70112.1
OG0000120	XP_005846166.1	PSC72013.1
OG0000122	XP_005846770.1	PSC70002.1
OG0000122	XP_005844692.1, XP_005847512.1	PSC69373.1
OG0000123	XP_005848478.1, XP_005845356.1	PSC76861.1
OG0000124	XP_005849899.1	PSC68810.1
OG0000124	XP_005850708.1	PSC72762.1
OG0000125	XP_005845472.1	PSC76728.1, PSC77051.1, PSC76273.1, PSC67637.1
OG0000126	XP_005844581.1	PSC69980.1
OG0000126	XP_005844492.1	PSC70105.1
OG0000126	XP_005844582.1	PSC70072.1
OG0000128	XP_005850276.1, XP_005850277.1	PSC72459.1, PSC72458.1
OG0000129	XP_005843442.1	PSC67909.1
OG0000130	XP_005845354.1	PSC76405.1
OG0000130	XP_005845337.1	PSC76014.1
OG0000131	XP_005847917.1	PSC69559.1
OG0000131	XP_005843896.1	PSC74415.1
OG0000132	XP_005848934.1	PSC75941.1, PSC75942.1, PSC75940.1
OG0000132	XP_005848649.1	PSC75647.1
OG0000133	XP_005845010.1	PSC73336.1, PSC67257.1
OG0000134	XP_005848897.1	PSC75681.1
OG0000134	XP_005846265.1	PSC76725.1
OG0000136	XP_005850895.1	PSC71503.1
OG0000136	XP_005844902.1	PSC73322.1
OG0000136	XP_005846568.1	PSC73870.1
OG0000137	XP_005850908.1	PSC71461.1
OG0000137	XP_005850907.1, XP_005850905.1	PSC69950.1
OG0000138	XP_005851992.1	PSC75108.1, PSC75107.1, PSC75144.1, PSC74950.1, PSC74923.1, PSC75222.1, PSC75009.1
OG0000139	XP_005844667.1	PSC71738.1
OG0000140	XP_005849030.1	PSC67423.1, PSC67422.1
OG0000140	XP_005847501.1	PSC69973.1
OG0000141	XP_005848520.1	PSC70472.1
OG0000141	XP_005848521.1	PSC70320.1
OG0000142	XP_005844698.1	PSC71674.1
OG0000142	XP_005844699.1	PSC71833.1, PSC71834.1
OG0000143	XP_005846377.1	PSC69661.1
OG0000143	XP_005846379.1, XP_005846378.1	PSC69662.1
OG0000144	XP_005848839.1	PSC75532.1, PSC69160.1
OG0000145	XP_005843258.1	PSC67215.1
OG0000145	XP_005848657.1	PSC75434.1, PSC75294.1
OG0000146	XP_005843713.1	PSC72815.1, PSC72814.1, PSC68319.1, PSC68318.1, PSC74681.1, PSC74680.1, PSC74682.1, PSC74683.1, PSC74679.1
OG0000147	XP_005846408.1, XP_005844409.1, XP_005842721.1, XP_005846075.1	PSC70644.1
OG0000149	XP_005846682.1	PSC69900.1, PSC69901.1, PSC69906.1, PSC69914.1
OG0000150	XP_005843064.1	PSC74607.1
OG0000151	XP_005848597.1, XP_005842881.1, XP_005849120.1, XP_005847923.1	PSC69450.1
OG0000151	XP_005848599.1, XP_005848598.1	PSC68857.1
OG0000152	XP_005844077.1	PSC76086.1
OG0000152	XP_005849801.1, XP_005845727.1	PSC74833.1, PSC75134.1, PSC69766.1, PSC75114.1
OG0000153	XP_005843952.1	PSC74894.1, PSC74374.1, PSC72179.1, PSC69051.1, PSC67035.1, PSC67165.1, PSC67335.1, PSC72148.1, PSC76837.1, PSC70759.1, PSC68264.1, PSC68864.1
OG0000154	XP_005843968.1	PSC69447.1
OG0000154	XP_005848464.1	PSC70307.1
OG0000154	XP_005847962.1	PSC69513.1
OG0000155	XP_005845824.1, XP_005845721.1	PSC75196.1
OG0000156	XP_005849021.1	PSC67446.1
OG0000157	XP_005852165.1	PSC69369.1
OG0000157	XP_005846273.1	PSC70545.1
OG0000158	XP_005843220.1, XP_005848092.1	PSC73437.1
OG0000159	XP_005843774.1	PSC67919.1
OG0000159	XP_005850374.1, XP_005843784.1	PSC67887.1
OG0000162	XP_005845193.1	PSC73614.1
OG0000163	XP_005852080.1	PSC76658.1
OG0000163	XP_005844501.1	PSC70011.1
OG0000163	XP_005849855.1	PSC68599.1
OG0000165	XP_005848480.1, XP_005846435.1, XP_005845771.1, XP_005844629.1	PSC77072.1
OG0000166	XP_005851340.1	PSC68684.1
OG0000167	XP_005848904.1	PSC75488.1
OG0000167	XP_005850582.1	PSC71615.1
OG0000168	XP_005850931.1	PSC71505.1
OG0000169	XP_005848742.1	PSC75500.1
OG0000169	XP_005850835.1	PSC67463.1
OG0000170	XP_005850418.1	PSC69717.1
OG0000170	XP_005850849.1	PSC72851.1
OG0000171	XP_005849543.1	PSC76686.1
OG0000171	XP_005849592.1	PSC76571.1
OG0000171	XP_005846261.1	PSC71303.1
OG0000173	XP_005850080.1	PSC72567.1
OG0000175	XP_005843289.1, XP_005846108.1	PSC68075.1, PSC76560.1
OG0000175	XP_005845249.1	PSC71929.1
OG0000176	XP_005843572.1, XP_005843571.1, XP_005843573.1	PSC74217.1, PSC74216.1
OG0000177	XP_005850861.1	PSC71456.1
OG0000177	XP_005850944.1	PSC71477.1
OG0000178	XP_005846503.1, XP_005846502.1	PSC68357.1
OG0000179	XP_005849390.1	PSC73020.1
OG0000180	XP_005845674.1	PSC74063.1
OG0000180	XP_005843083.1	PSC71668.1
OG0000181	XP_005851096.1	PSC75614.1
OG0000182	XP_005852270.1	PSC68521.1, PSC68522.1
OG0000182	XP_005851962.1, XP_005846639.1	PSC69370.1
OG0000183	XP_005851903.1	PSC74032.1, PSC74033.1
OG0000184	XP_005845172.1	PSC73896.1, PSC73895.1
OG0000185	XP_005842591.1, XP_005842909.1, XP_005843980.1, XP_005843981.1, XP_005842893.1, XP_005842898.1	PSC67218.1
OG0000186	XP_005848563.1	PSC71716.1, PSC71710.1
OG0000187	XP_005843781.1	PSC67905.1
OG0000187	XP_005843786.1	PSC67940.1, PSC67941.1
OG0000189	XP_005847529.1, XP_005847528.1	PSC69877.1
OG0000189	XP_005847360.1	PSC69947.1
OG0000190	XP_005846303.1	PSC68341.1
OG0000191	XP_005851070.1	PSC75916.1
OG0000191	XP_005851362.1	PSC75468.1
OG0000192	XP_005842745.1, XP_005844227.1, XP_005844062.1	PSC73805.1, PSC70742.1
OG0000193	XP_005851204.1	PSC74899.1, PSC67054.1, PSC68898.1
OG0000193	XP_005851495.1	PSC68833.1
OG0000194	XP_005842658.1	PSC67100.1, PSC68198.1, PSC67328.1
OG0000194	XP_005845035.1	PSC68190.1
OG0000195	XP_005846113.1	PSC71065.1
OG0000195	XP_005842965.1	PSC71746.1
OG0000196	XP_005849969.1	PSC74986.1, PSC71152.1
OG0000196	XP_005846218.1, XP_005849968.1, XP_005848638.1	PSC72067.1
OG0000197	XP_005844737.1, XP_005844739.1, XP_005844740.1, XP_005844741.1, XP_005844738.1	PSC71712.1, PSC71711.1
OG0000198	XP_005851803.1, XP_005852133.1	PSC71791.1
OG0000198	XP_005844702.1	PSC71844.1, PSC71742.1, PSC71743.1
OG0000199	XP_005847716.1	PSC73814.1
OG0000200	XP_005849079.1	PSC75789.1, PSC73258.1, PSC71195.1, PSC74819.1, PSC69259.1, PSC69258.1
OG0000201	XP_005851565.1	PSC74151.1
OG0000201	XP_005846619.1, XP_005849223.1	PSC71786.1
OG0000201	XP_005843052.1	PSC74435.1
OG0000202	XP_005847561.1, XP_005850297.1	PSC69025.1
OG0000203	XP_005843776.1, XP_005843777.1, XP_005844326.1, XP_005850082.1, XP_005843624.1	PSC72616.1, PSC72617.1, PSC68626.1
OG0000204	XP_005845593.1	PSC71772.1, PSC74283.1
OG0000205	XP_005851973.1	PSC68519.1
OG0000205	XP_005849619.1, XP_005847469.1	PSC76758.1
OG0000205	XP_005846949.1, XP_005844280.1	PSC76174.1
OG0000207	XP_005846779.1	PSC69349.1
OG0000208	XP_005847855.1, XP_005847861.1	PSC70253.1
OG0000209	XP_005845567.1, XP_005851952.1	PSC69212.1
OG0000210	XP_005843413.1	PSC73136.1
OG0000210	XP_005849257.1, XP_005849054.1	PSC76213.1, PSC76214.1
OG0000213	XP_005844537.1	PSC70219.1
OG0000214	XP_005847041.1	PSC69306.1
OG0000214	XP_005849170.1, XP_005843805.1, XP_005846238.1	PSC70508.1
OG0000215	XP_005849867.1, XP_005844945.1	PSC69263.1
OG0000215	XP_005852111.1	PSC69206.1
OG0000216	XP_005844964.1	PSC68743.1, PSC68744.1
OG0000216	XP_005844854.1	PSC68805.1
OG0000217	XP_005844230.1	PSC75686.1, PSC75685.1
OG0000217	XP_005848115.1, XP_005852096.1	PSC69482.1
OG0000218	XP_005847698.1, XP_005847123.1	PSC72101.1
OG0000218	XP_005849697.1	PSC73806.1
OG0000219	XP_005850250.1	PSC70904.1, PSC70910.1
OG0000219	XP_005850662.1	PSC70151.1, PSC70149.1, PSC70150.1
OG0000220	XP_005842750.1, XP_005849555.1	PSC68007.1
OG0000221	XP_005850309.1	PSC76471.1, PSC76470.1
OG0000222	XP_005848959.1, XP_005848970.1, XP_005848972.1	PSC75773.1
OG0000223	XP_005848706.1	PSC77055.1
OG0000224	XP_005844110.1	PSC68245.1
OG0000224	XP_005844612.1	PSC69220.1, PSC69231.1
OG0000225	XP_005852045.1	PSC68463.1, PSC68432.1, PSC68465.1, PSC68464.1
OG0000226	XP_005850746.1	PSC69018.1, PSC69019.1
OG0000226	XP_005850748.1	PSC69070.1
OG0000227	XP_005848606.1, XP_005848607.1, XP_005848605.1	PSC73789.1
OG0000228	XP_005845327.1, XP_005843606.1, XP_005843605.1	PSC70498.1
OG0000229	XP_005847693.1, XP_005850437.1	PSC69835.1
OG0000230	XP_005848616.1, XP_005850172.1	PSC69799.1
OG0000231	XP_005847507.1	PSC73962.1, PSC73963.1, PSC74321.1, PSC73995.1
OG0000232	XP_005842743.1, XP_005844145.1, XP_005844146.1, XP_005844147.1, XP_005844144.1	PSC70167.1
OG0000233	XP_005843519.1	PSC72048.1, PSC70116.1, PSC70115.1, PSC73584.1
OG0000234	XP_005852187.1, XP_005846931.1	PSC72121.1
OG0000235	XP_005846668.1	PSC68980.1, PSC68979.1
OG0000236	XP_005846210.1	PSC67662.1
OG0000237	XP_005850401.1	PSC68122.1, PSC68110.1
OG0000238	XP_005851028.1	PSC69009.1
OG0000238	XP_005851024.1	PSC69042.1
OG0000239	XP_005851612.1	PSC71564.1
OG0000239	XP_005850660.1	PSC71653.1, PSC71652.1
OG0000240	XP_005850676.1	PSC72912.1
OG0000240	XP_005850677.1	PSC72903.1
OG0000241	XP_005850977.1, XP_005846767.1	PSC72657.1, PSC72655.1, PSC72656.1
OG0000242	XP_005847498.1, XP_005847499.1, XP_005850613.1	PSC71581.1
OG0000243	XP_005842741.1, XP_005844076.1, XP_005849516.1	PSC76960.1
OG0000243	XP_005851807.1	PSC74883.1
OG0000244	XP_005849474.1	PSC76929.1
OG0000245	XP_005852044.1, XP_005852043.1	PSC68459.1, PSC68460.1, PSC68436.1, PSC68437.1
