Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_variabilis_genome_proteins
OG0000100	PSC69142.1	XP_005852296.1, XP_005846100.1, XP_005846101.1, XP_005845966.1, XP_005848733.1, XP_005843470.1, XP_005843461.1, XP_005843464.1, XP_005843435.1, XP_005843437.1, XP_005843469.1, XP_005846133.1, XP_005843462.1
OG0000101	PSC67419.1	XP_005852240.1
OG0000102	PSC72393.1, PSC75580.1	XP_005852090.1
OG0000103	PSC76330.1	XP_005849873.1
OG0000103	PSC76060.1, PSC67084.1	XP_005842593.1, XP_005849872.1
OG0000104	PSC75756.1	XP_005843186.1
OG0000104	PSC77050.1	XP_005848698.1
OG0000105	PSC76477.1	XP_005851669.1
OG0000105	PSC75001.1	XP_005850367.1, XP_005851670.1
OG0000106	PSC71229.1, PSC71228.1	XP_005846663.1, XP_005851835.1, XP_005851056.1, XP_005847773.1, XP_005851649.1, XP_005843545.1, XP_005845169.1, XP_005846805.1, XP_005846407.1
OG0000107	PSC68490.1, PSC73564.1, PSC73563.1, PSC73565.1, PSC72373.1	XP_005851548.1
OG0000108	PSC72236.1	XP_005847122.1
OG0000108	PSC73949.1	XP_005851265.1
OG0000109	PSC71503.1	XP_005850895.1
OG0000109	PSC73322.1	XP_005844902.1
OG0000109	PSC73870.1	XP_005851744.1
OG0000110	PSC73115.1	XP_005849139.1, XP_005848249.1
OG0000111	PSC75839.1, PSC72308.1, PSC72306.1, PSC72304.1, PSC72307.1, PSC72305.1, PSC72099.1	XP_005849575.1
OG0000112	PSC72871.1, PSC72872.1	XP_005850959.1
OG0000113	PSC76705.1, PSC76197.1	XP_005848639.1
OG0000113	PSC76549.1	XP_005851742.1, XP_005852081.1, XP_005844843.1
OG0000113	PSC72923.1	XP_005850568.1
OG0000114	PSC73138.1	XP_005849181.1
OG0000114	PSC67227.1, PSC67216.1	XP_005849180.1
OG0000114	PSC76488.1, PSC73010.1	XP_005849412.1
OG0000115	PSC68818.1	XP_005846570.1, XP_005846560.1, XP_005842618.1, XP_005846715.1, XP_005846714.1, XP_005847299.1, XP_005846712.1, XP_005850773.1, XP_005846710.1
OG0000116	PSC74829.1	XP_005847806.1
OG0000117	PSC75653.1, PSC67903.1	XP_005843471.1
OG0000118	PSC72059.1	XP_005847077.1, XP_005847079.1
OG0000119	PSC69898.1	XP_005847293.1
OG0000119	PSC69015.1	XP_005850540.1, XP_005847604.1, XP_005850541.1, XP_005847603.1, XP_005850534.1
OG0000120	PSC75846.1	XP_005842662.1, XP_005846577.1
OG0000120	PSC76669.1	XP_005843049.1
OG0000121	PSC71142.1, PSC77040.1	XP_005845527.1, XP_005845634.1
OG0000122	PSC69988.1, PSC70112.1	XP_005848680.1, XP_005848887.1, XP_005845896.1
OG0000123	PSC68507.1	XP_005846166.1
OG0000125	PSC70002.1	XP_005846770.1
OG0000125	PSC69373.1	XP_005844692.1, XP_005847512.1
OG0000126	PSC76861.1	XP_005848478.1, XP_005845356.1
OG0000127	PSC68810.1	XP_005849899.1
OG0000127	PSC72762.1	XP_005850708.1
OG0000128	PSC76273.1, PSC67637.1	XP_005845472.1
OG0000129	PSC69980.1	XP_005844581.1
OG0000129	PSC70105.1	XP_005844492.1
OG0000129	PSC70072.1	XP_005844582.1
OG0000131	PSC72458.1, PSC72459.1	XP_005850276.1, XP_005850277.1
OG0000132	PSC67909.1	XP_005843442.1
OG0000132	PSC67930.1, PSC67928.1, PSC67929.1	XP_005843441.1
OG0000133	PSC76405.1	XP_005845354.1
OG0000133	PSC76014.1	XP_005845337.1
OG0000134	PSC69559.1	XP_005847917.1
OG0000134	PSC74415.1	XP_005843896.1
OG0000135	PSC75942.1, PSC75940.1, PSC75941.1	XP_005848934.1
OG0000135	PSC75647.1	XP_005848649.1
OG0000136	PSC73336.1, PSC67257.1	XP_005845010.1
OG0000137	PSC75681.1	XP_005848897.1
OG0000137	PSC76725.1	XP_005846265.1
OG0000139	PSC71461.1	XP_005850908.1
OG0000139	PSC69950.1	XP_005850907.1, XP_005850905.1
OG0000140	PSC75107.1, PSC75144.1, PSC74923.1, PSC75222.1, PSC74950.1, PSC75009.1, PSC75108.1	XP_005851992.1
OG0000141	PSC71738.1	XP_005844667.1
OG0000142	PSC67423.1, PSC67422.1	XP_005849030.1
OG0000142	PSC69973.1	XP_005847501.1
OG0000143	PSC70472.1	XP_005848520.1
OG0000143	PSC70320.1	XP_005848521.1
OG0000144	PSC71674.1	XP_005844698.1
OG0000144	PSC71833.1, PSC71834.1	XP_005844699.1
OG0000145	PSC69661.1	XP_005846377.1
OG0000145	PSC69662.1	XP_005846379.1, XP_005846378.1
OG0000146	PSC75532.1, PSC69160.1	XP_005848839.1
OG0000147	PSC75434.1, PSC75294.1	XP_005848657.1
OG0000147	PSC67215.1	XP_005843258.1
OG0000148	PSC74681.1, PSC74682.1, PSC74680.1, PSC74683.1, PSC74679.1, PSC68318.1, PSC68319.1, PSC72814.1, PSC72815.1	XP_005843713.1
OG0000149	PSC70644.1	XP_005846408.1, XP_005844409.1, XP_005842721.1, XP_005846075.1
OG0000151	PSC69914.1, PSC69901.1, PSC69900.1, PSC69906.1	XP_005846685.1, XP_005846683.1, XP_005846823.1, XP_005846682.1
OG0000152	PSC68857.1	XP_005848598.1, XP_005848599.1
OG0000152	PSC69450.1	XP_005848597.1, XP_005842881.1, XP_005849120.1, XP_005847923.1
OG0000153	PSC76086.1	XP_005844077.1
OG0000153	PSC74833.1, PSC75114.1, PSC69766.1, PSC75134.1	XP_005849801.1, XP_005845727.1
OG0000154	PSC74894.1, PSC74374.1, PSC68864.1, PSC70759.1, PSC68264.1, PSC67035.1, PSC67165.1, PSC67335.1, PSC69051.1, PSC72148.1, PSC76837.1, PSC72179.1	XP_005843952.1
OG0000155	PSC69447.1	XP_005843968.1
OG0000155	PSC70307.1	XP_005848464.1
OG0000155	PSC69513.1	XP_005847962.1
OG0000156	PSC75196.1	XP_005845824.1, XP_005845721.1
OG0000157	PSC67446.1	XP_005849021.1
OG0000158	PSC70545.1	XP_005846273.1
OG0000158	PSC69369.1	XP_005852165.1
OG0000159	PSC73437.1	XP_005843220.1, XP_005848092.1
OG0000160	PSC67919.1	XP_005843774.1
OG0000160	PSC67887.1	XP_005850374.1, XP_005843784.1
OG0000163	PSC73614.1	XP_005845193.1
OG0000164	PSC76658.1	XP_005852080.1
OG0000164	PSC70011.1	XP_005844501.1
OG0000164	PSC68599.1	XP_005849855.1
OG0000166	PSC77072.1	XP_005848480.1, XP_005846435.1, XP_005844629.1, XP_005845771.1
OG0000167	PSC68684.1	XP_005851340.1
OG0000168	PSC71615.1	XP_005850582.1
OG0000168	PSC75488.1	XP_005848904.1
OG0000169	PSC71505.1	XP_005850931.1
OG0000170	PSC67463.1	XP_005850835.1
OG0000170	PSC75500.1	XP_005848742.1
OG0000171	PSC69717.1	XP_005850418.1
OG0000171	PSC72851.1	XP_005850849.1
OG0000172	PSC76686.1	XP_005849543.1
OG0000172	PSC76571.1	XP_005849592.1
OG0000172	PSC71303.1	XP_005846261.1
OG0000174	PSC72567.1	XP_005850080.1
OG0000176	PSC76560.1, PSC68075.1	XP_005846108.1, XP_005843289.1
OG0000176	PSC71929.1	XP_005845249.1
OG0000177	PSC74216.1, PSC74217.1	XP_005843571.1, XP_005843573.1, XP_005843572.1
OG0000178	PSC71456.1	XP_005850861.1
OG0000178	PSC71477.1	XP_005850944.1
OG0000179	PSC68357.1	XP_005846503.1, XP_005846502.1
OG0000180	PSC73020.1	XP_005849390.1
OG0000181	PSC74063.1	XP_005845674.1
OG0000181	PSC71668.1	XP_005843083.1
OG0000182	PSC75614.1	XP_005851096.1
OG0000183	PSC69370.1	XP_005851962.1, XP_005846639.1
OG0000183	PSC68522.1, PSC68521.1	XP_005852270.1
OG0000184	PSC74033.1, PSC74032.1	XP_005852232.1, XP_005851903.1
OG0000185	PSC73896.1, PSC73895.1	XP_005845172.1
OG0000186	PSC67218.1	XP_005842591.1, XP_005842909.1, XP_005842898.1, XP_005843980.1, XP_005843981.1, XP_005842893.1
OG0000187	PSC71710.1, PSC71716.1	XP_005848563.1
OG0000188	PSC67905.1	XP_005843781.1
OG0000188	PSC67941.1, PSC67940.1	XP_005843786.1
OG0000190	PSC69877.1	XP_005847529.1, XP_005847528.1
OG0000190	PSC69947.1	XP_005847360.1
OG0000191	PSC68341.1	XP_005846303.1
OG0000192	PSC75468.1	XP_005851362.1
OG0000192	PSC75916.1	XP_005851070.1
OG0000193	PSC70742.1, PSC73805.1	XP_005842745.1, XP_005844227.1, XP_005844062.1
OG0000194	PSC67054.1, PSC74899.1, PSC68898.1	XP_005851204.1
OG0000194	PSC68833.1	XP_005851495.1
OG0000195	PSC68190.1	XP_005845035.1
OG0000195	PSC67328.1, PSC68198.1, PSC67100.1	XP_005842658.1
OG0000196	PSC71065.1	XP_005846113.1
OG0000196	PSC71746.1	XP_005842965.1
OG0000197	PSC72067.1	XP_005846218.1, XP_005849968.1, XP_005848638.1
OG0000197	PSC74986.1, PSC71152.1	XP_005849969.1
OG0000198	PSC71711.1, PSC71712.1	XP_005844737.1, XP_005844739.1, XP_005844740.1, XP_005844741.1, XP_005844738.1
OG0000199	PSC71844.1, PSC71791.1	XP_005851803.1, XP_005852133.1
OG0000199	PSC71742.1, PSC71743.1	XP_005844702.1
OG0000200	PSC73814.1	XP_005847716.1
OG0000201	PSC69025.1	XP_005850297.1, XP_005847561.1
OG0000202	PSC72617.1, PSC72616.1, PSC68626.1	XP_005843776.1, XP_005843777.1, XP_005844326.1, XP_005850082.1, XP_005843624.1
OG0000203	PSC68519.1	XP_005851973.1
OG0000203	PSC76758.1	XP_005849619.1, XP_005847469.1
OG0000203	PSC76174.1	XP_005844280.1, XP_005846949.1
OG0000205	PSC69349.1	XP_005846779.1
OG0000206	PSC70253.1	XP_005847861.1, XP_005847855.1
OG0000207	PSC69212.1	XP_005845567.1, XP_005851952.1
OG0000208	PSC76213.1, PSC76214.1	XP_005849054.1, XP_005849257.1
OG0000208	PSC73136.1	XP_005843413.1
OG0000211	PSC70219.1	XP_005844537.1
OG0000212	PSC70508.1	XP_005846238.1, XP_005843805.1, XP_005849170.1
OG0000212	PSC69306.1	XP_005847041.1
OG0000213	PSC69263.1	XP_005849867.1, XP_005844945.1
OG0000213	PSC69206.1	XP_005852111.1
OG0000214	PSC68805.1	XP_005844854.1
OG0000214	PSC68743.1, PSC68744.1	XP_005844964.1
OG0000215	PSC69482.1	XP_005848115.1
OG0000215	PSC75685.1, PSC75686.1	XP_005844230.1, XP_005852096.1
OG0000216	PSC73806.1	XP_005849697.1
OG0000216	PSC72101.1	XP_005847698.1, XP_005847123.1
OG0000217	PSC70149.1, PSC70151.1, PSC70150.1	XP_005850662.1
OG0000217	PSC70910.1, PSC70904.1	XP_005850250.1
OG0000218	PSC68007.1	XP_005842750.1, XP_005849555.1
OG0000219	PSC76471.1, PSC76470.1	XP_005850309.1
OG0000220	PSC75773.1	XP_005848959.1, XP_005848970.1, XP_005848972.1
OG0000221	PSC77055.1	XP_005848706.1
OG0000222	PSC68245.1	XP_005844110.1
OG0000222	PSC69220.1, PSC69231.1	XP_005844612.1
OG0000223	PSC68463.1, PSC68432.1, PSC68465.1, PSC68464.1	XP_005852045.1
OG0000224	PSC69070.1	XP_005850748.1
OG0000224	PSC69019.1, PSC69018.1	XP_005850746.1
OG0000225	PSC73789.1	XP_005848606.1, XP_005848607.1, XP_005848605.1
OG0000226	PSC70498.1	XP_005845327.1, XP_005843605.1, XP_005843606.1
OG0000227	PSC69835.1	XP_005847693.1, XP_005850437.1
OG0000228	PSC69799.1	XP_005850172.1, XP_005848616.1
OG0000229	PSC73963.1, PSC73962.1, PSC74321.1, PSC73995.1	XP_005847507.1
OG0000230	PSC70167.1	XP_005844144.1
OG0000231	PSC70116.1, PSC70115.1, PSC72048.1, PSC73584.1	XP_005843519.1
OG0000232	PSC72121.1	XP_005852187.1
OG0000233	PSC68979.1, PSC68980.1	XP_005846668.1
OG0000234	PSC67662.1	XP_005846210.1
OG0000235	PSC68122.1, PSC68110.1	XP_005850401.1
OG0000236	PSC69009.1	XP_005851028.1
OG0000236	PSC69042.1	XP_005851024.1
OG0000237	PSC71564.1	XP_005851612.1
OG0000237	PSC71653.1, PSC71652.1	XP_005850660.1
OG0000238	PSC72912.1	XP_005850676.1
OG0000238	PSC72903.1	XP_005850677.1
OG0000239	PSC72657.1, PSC72655.1, PSC72656.1	XP_005846767.1, XP_005850977.1
OG0000240	PSC71581.1	XP_005847499.1, XP_005847498.1, XP_005850613.1
OG0000241	PSC76960.1	XP_005844076.1, XP_005842741.1, XP_005849516.1
OG0000241	PSC74883.1	XP_005851807.1
OG0000242	PSC76929.1	XP_005849474.1
OG0000243	PSC68436.1, PSC68437.1, PSC68460.1, PSC68459.1	XP_005852044.1, XP_005852043.1
OG0000244	PSC67045.1, PSC67149.1, PSC67041.1, PSC68685.1, PSC67091.1	XP_005851700.1, XP_005851699.1
OG0000245	PSC67025.1, PSC69718.1, PSC67105.1, PSC75696.1, PSC67079.1, PSC67009.1, PSC70602.1	XP_005851099.1
OG0000247	PSC67108.1	XP_005851057.1
