Orthogroup	oneline_c_sorokiniana_genome_proteins	oneline_c_variabilis_genome_proteins
OG0000092	PRW57248.1	XP_005846592.1
OG0000092	PRW56102.1	XP_005845071.1
OG0000093	PRW57063.1	XP_005852054.1, XP_005843061.1, XP_005852052.1
OG0000093	PRW60425.1	XP_005852053.1, XP_005851713.1
OG0000094	PRW61610.1, PRW61273.1	XP_005850766.1, XP_005843486.1
OG0000094	PRW61126.1, PRW61125.1	XP_005844359.1
OG0000095	PRW58802.1, PRW58801.1	XP_005846097.1
OG0000096	PRW60806.1	XP_005852164.1
OG0000096	PRW57760.1	XP_005850527.1
OG0000097	PRW39133.1, PRW39132.1, PRW39134.1	XP_005845008.1
OG0000097	PRW39353.1	XP_005845009.1
OG0000098	PRW56328.1	XP_005851021.1
OG0000098	PRW58429.1	XP_005851644.1
OG0000098	PRW45741.1	XP_005845180.1
OG0000099	PRW20238.1, PRW58264.1, PRW58878.1, PRW56142.1, PRW57932.1, PRW34090.1	XP_005842832.1
OG0000100	PRW33767.1	XP_005852296.1, XP_005846100.1, XP_005846101.1, XP_005845966.1, XP_005848733.1, XP_005843470.1, XP_005843461.1, XP_005843464.1, XP_005843435.1, XP_005843437.1, XP_005843469.1, XP_005846133.1, XP_005843462.1
OG0000101	PRW59599.1, PRW59973.1, PRW60229.1, PRW60749.1, PRW60111.1, PRW56724.1, PRW56479.1, PRW58085.1, PRW58723.1, PRW56665.1, PRW56812.1, PRW59859.1	XP_005852240.1
OG0000102	PRW33047.1	XP_005843329.1
OG0000102	PRW56888.1	XP_005852090.1
OG0000103	PRW59363.1, PRW58819.1	XP_005849873.1
OG0000103	PRW59001.1	XP_005842593.1, XP_005849872.1
OG0000104	PRW59159.1	XP_005843186.1
OG0000104	PRW60771.1	XP_005849820.1
OG0000104	PRW51136.1	XP_005848698.1
OG0000104	PRW33292.1	XP_005848697.1
OG0000105	PRW60906.1	XP_005851669.1
OG0000105	PRW60303.1	XP_005850367.1, XP_005851670.1
OG0000106	PRW59499.1	XP_005846663.1, XP_005851835.1, XP_005851056.1, XP_005847773.1, XP_005851649.1, XP_005843545.1, XP_005845169.1, XP_005846805.1, XP_005846407.1
OG0000107	PRW60486.1, PRW58172.1, PRW58278.1	XP_005851548.1
OG0000108	PRW57000.1	XP_005847122.1
OG0000108	PRW58100.1	XP_005851265.1
OG0000109	PRW39079.1	XP_005844902.1
OG0000110	PRW58034.1	XP_005849139.1, XP_005848249.1
OG0000110	PRW61254.1, PRW51042.1	XP_005848446.1
OG0000111	PRW57471.1, PRW58695.1, PRW44583.1	XP_005849575.1
OG0000112	PRW56081.1, PRW56311.1, PRW56194.1, PRW56174.1, PRW56155.1, PRW55939.1, PRW56289.1, PRW56254.1, PRW56253.1	XP_005850959.1
OG0000113	PRW20418.1	XP_005851742.1, XP_005852081.1, XP_005844843.1
OG0000114	PRW57614.1	XP_005849181.1
OG0000114	PRW57579.1	XP_005849180.1
OG0000114	PRW32490.1	XP_005849412.1
OG0000115	PRW20690.1	XP_005846570.1, XP_005846560.1, XP_005842618.1, XP_005846715.1, XP_005846714.1, XP_005847299.1, XP_005846712.1, XP_005850773.1, XP_005846710.1
OG0000116	PRW20573.1	XP_005847806.1
OG0000116	PRW57973.1, PRW57972.1, PRW57971.1	XP_005847808.1, XP_005847807.1
OG0000117	PRW58844.1	XP_005843471.1
OG0000118	PRW56905.1, PRW56904.1	XP_005847077.1, XP_005847079.1
OG0000118	PRW60179.1, PRW61051.1, PRW34008.1	XP_005847078.1
OG0000119	PRW44454.1, PRW44455.1	XP_005847293.1
OG0000119	PRW56212.1	XP_005850540.1, XP_005847604.1, XP_005850541.1, XP_005847603.1, XP_005850534.1
OG0000120	PRW32517.1	XP_005842662.1, XP_005846577.1
OG0000120	PRW32650.1, PRW32651.1	XP_005843049.1
OG0000121	PRW57457.1	XP_005845527.1, XP_005845634.1
OG0000122	PRW50851.1, PRW50916.1, PRW50880.1, PRW33699.1, PRW33593.1	XP_005848680.1, XP_005848887.1, XP_005845896.1
OG0000123	PRW39083.1, PRW39190.1	XP_005846166.1
OG0000125	PRW33615.1	XP_005844815.1
OG0000125	PRW56450.1	XP_005844692.1
OG0000125	PRW33559.1, PRW33525.1	XP_005847512.1
OG0000126	PRW60132.1	XP_005848478.1, XP_005845356.1
OG0000127	PRW59338.1	XP_005849899.1
OG0000127	PRW55972.1	XP_005850708.1
OG0000128	PRW59917.1, PRW59916.1	XP_005845472.1
OG0000129	PRW20466.1	XP_005844581.1, XP_005844492.1
OG0000129	PRW20465.1	XP_005844582.1
OG0000131	PRW56460.1	XP_005850276.1, XP_005850277.1
OG0000132	PRW59020.1, PRW59019.1	XP_005843442.1, XP_005843441.1
OG0000133	PRW59544.1	XP_005845354.1
OG0000133	PRW59907.1	XP_005845337.1
OG0000134	PRW58503.1, PRW57515.1	XP_005847917.1
OG0000134	PRW20642.1	XP_005843896.1
OG0000135	PRW51140.1	XP_005848934.1
OG0000135	PRW50981.1	XP_005848649.1
OG0000136	PRW56019.1	XP_005845045.1, XP_005843751.1
OG0000136	PRW39377.1	XP_005845010.1
OG0000137	PRW50926.1	XP_005848897.1
OG0000137	PRW60034.1	XP_005846265.1
OG0000139	PRW56206.1	XP_005850908.1
OG0000139	PRW55911.1, PRW44508.1	XP_005850907.1, XP_005850905.1
OG0000140	PRW60820.1	XP_005851992.1
OG0000141	PRW60844.1	XP_005845851.1
OG0000141	PRW21118.1, PRW21117.1	XP_005844667.1
OG0000142	PRW34062.1	XP_005849030.1
OG0000142	PRW44472.1, PRW44474.1, PRW44473.1, PRW44462.1	XP_005847501.1
OG0000143	PRW45452.1	XP_005846641.1
OG0000143	PRW45172.1, PRW45156.1	XP_005848521.1
OG0000144	PRW20982.1	XP_005844698.1
OG0000144	PRW20983.1	XP_005844700.1, XP_005844699.1
OG0000145	PRW59977.1	XP_005846377.1
OG0000145	PRW59690.1	XP_005846379.1
OG0000145	PRW60031.1	XP_005846378.1
OG0000146	PRW51174.1	XP_005848842.1
OG0000146	PRW39313.1, PRW39314.1, PRW39312.1	XP_005848839.1
OG0000147	PRW51019.1	XP_005848657.1
OG0000147	PRW05945.1	XP_005843258.1
OG0000148	PRW20355.1	XP_005843713.1
OG0000149	PRW20519.1, PRW60994.1	XP_005846408.1, XP_005844409.1, XP_005842721.1, XP_005846075.1
OG0000151	PRW57967.1	XP_005843424.1, XP_005850642.1
OG0000151	PRW39308.1, PRW21119.1	XP_005846685.1, XP_005846683.1, XP_005846823.1, XP_005846682.1
OG0000152	PRW57808.1	XP_005848598.1, XP_005848599.1
OG0000152	PRW44466.1	XP_005848597.1, XP_005842881.1, XP_005849120.1
OG0000152	PRW57335.1	XP_005847923.1
OG0000153	PRW59345.1	XP_005844077.1
OG0000153	PRW59245.1, PRW59428.1	XP_005849801.1, XP_005845727.1
OG0000155	PRW20938.1	XP_005847962.1
OG0000156	PRW33580.1, PRW33579.1	XP_005845824.1, XP_005845721.1
OG0000157	PRW20534.1	XP_005844499.1
OG0000157	PRW33753.1	XP_005849021.1
OG0000158	PRW60881.1	XP_005846273.1
OG0000158	PRW60667.1	XP_005852165.1
OG0000159	PRW33218.1	XP_005843220.1
OG0000160	PRW59366.1	XP_005843774.1
OG0000160	PRW59146.1, PRW59084.1	XP_005850374.1, XP_005843784.1
OG0000161	PRW60854.1, PRW60251.1	XP_005847284.1
OG0000163	PRW45341.1	XP_005845193.1
OG0000163	PRW21096.1	XP_005844819.1
OG0000165	PRW60130.1	XP_005850043.1
OG0000165	PRW56564.1	XP_005846021.1, XP_005845385.1, XP_005845422.1, XP_005847881.1
OG0000165	PRW39245.1, PRW59093.1	XP_005850855.1, XP_005852151.1
OG0000166	PRW50829.1, PRW59179.1, PRW56125.1	XP_005848480.1, XP_005846435.1
OG0000166	PRW33146.1, PRW57225.1	XP_005844629.1, XP_005845771.1
OG0000167	PRW58560.1, PRW58559.1	XP_005851340.1
OG0000167	PRW58392.1, PRW58310.1	XP_005851339.1
OG0000168	PRW56057.1	XP_005850582.1
OG0000168	PRW50795.1, PRW50796.1	XP_005848904.1
OG0000169	PRW61494.1	XP_005849385.1
OG0000169	PRW56011.1, PRW56010.1	XP_005850931.1
OG0000170	PRW56148.1	XP_005848158.1
OG0000170	PRW50918.1	XP_005848742.1
OG0000171	PRW60680.1	XP_005850418.1
OG0000171	PRW56299.1	XP_005850849.1
OG0000172	PRW59395.1, PRW59396.1	XP_005849543.1, XP_005849592.1, XP_005846261.1
OG0000174	PRW56533.1, PRW56651.1, PRW56650.1, PRW56505.1, PRW33761.1, PRW56729.1, PRW44345.1, PRW56598.1	XP_005850080.1
OG0000175	PRW59842.1	XP_005845304.1
OG0000175	PRW20437.1	XP_005843797.1, XP_005843660.1
OG0000176	PRW56677.1	XP_005846108.1, XP_005843289.1
OG0000176	PRW33999.1	XP_005849392.1
OG0000176	PRW39317.1	XP_005845249.1
OG0000177	PRW61082.1, PRW61079.1, PRW61080.1, PRW61081.1	XP_005843571.1, XP_005843573.1, XP_005843572.1
OG0000178	PRW56188.1	XP_005850861.1
OG0000178	PRW33710.1, PRW33709.1	XP_005845739.1
OG0000179	PRW33631.1	XP_005845882.1
OG0000179	PRW59953.1	XP_005846503.1, XP_005846502.1
OG0000181	PRW21103.1	XP_005845674.1
OG0000181	PRW21102.1	XP_005843083.1, XP_005844809.1
OG0000182	PRW58578.1	XP_005851096.1
OG0000183	PRW45326.1	XP_005851962.1, XP_005846639.1
OG0000183	PRW60672.1	XP_005852270.1
OG0000184	PRW60584.1	XP_005852232.1
OG0000184	PRW60368.1	XP_005851903.1
OG0000185	PRW45618.1, PRW45478.1, PRW45477.1, PRW45476.1, PRW45447.1, PRW45448.1	XP_005845172.1
OG0000186	PRW20689.1, PRW20688.1	XP_005842591.1, XP_005842909.1, XP_005842898.1, XP_005843980.1, XP_005843981.1, XP_005842893.1
OG0000187	PRW45212.1	XP_005848563.1
OG0000187	PRW21060.1	XP_005844675.1
OG0000188	PRW58738.1, PRW58739.1, PRW58740.1	XP_005843781.1, XP_005843786.1
OG0000190	PRW44270.1	XP_005847529.1, XP_005847528.1
OG0000190	PRW44237.1	XP_005847360.1
OG0000191	PRW59477.1	XP_005846303.1
OG0000192	PRW58096.1, PRW58097.1	XP_005851362.1, XP_005851070.1
OG0000193	PRW20241.1	XP_005842745.1, XP_005844227.1, XP_005844062.1
OG0000193	PRW58444.1	XP_005852214.1
OG0000194	PRW58084.1, PRW58083.1	XP_005851204.1, XP_005851495.1
OG0000195	PRW57706.1, PRW45471.1	XP_005845035.1
OG0000195	PRW45722.1	XP_005842658.1
OG0000196	PRW59751.1	XP_005846113.1
OG0000196	PRW21043.1	XP_005842965.1
OG0000197	PRW59620.1	XP_005849969.1
OG0000198	PRW21078.1	XP_005844737.1
OG0000198	PRW21007.1	XP_005844739.1, XP_005844740.1, XP_005844741.1, XP_005844738.1
OG0000199	PRW44397.1, PRW44493.1	XP_005851803.1, XP_005852133.1
OG0000199	PRW21121.1	XP_005844702.1
OG0000200	PRW57823.1	XP_005847716.1
OG0000201	PRW45639.1	XP_005850297.1, XP_005847561.1
OG0000201	PRW57455.1, PRW50838.1	XP_005849119.1, XP_005848739.1, XP_005847569.1, XP_005847562.1, XP_005847737.1, XP_005849957.1
OG0000202	PRW57985.1	XP_005843776.1, XP_005843777.1, XP_005844326.1, XP_005850082.1, XP_005843624.1
OG0000203	PRW60973.1	XP_005849619.1, XP_005847469.1
OG0000205	PRW45536.1	XP_005846779.1
OG0000205	PRW32659.1	XP_005846742.1
OG0000206	PRW56280.1, PRW33790.1	XP_005847861.1, XP_005847855.1
OG0000208	PRW33873.1	XP_005849054.1
OG0000209	PRW61234.1	XP_005844319.1
OG0000210	PRW44313.1, PRW44314.1	XP_005851015.1
OG0000210	PRW55924.1	XP_005851014.1
OG0000211	PRW21030.1	XP_005843408.1
OG0000211	PRW20576.1	XP_005844537.1
OG0000212	PRW61447.1	XP_005846238.1, XP_005843805.1, XP_005849170.1
OG0000212	PRW61276.1, PRW60898.1	XP_005847041.1
OG0000213	PRW33231.1, PRW33232.1	XP_005849867.1, XP_005844945.1
OG0000214	PRW33243.1, PRW33242.1	XP_005844854.1
OG0000214	PRW33254.1	XP_005844964.1
OG0000216	PRW58831.1	XP_005849697.1
OG0000216	PRW57353.1	XP_005847698.1, XP_005847123.1
OG0000217	PRW60052.1	XP_005850662.1
OG0000217	PRW39340.1	XP_005850250.1
OG0000218	PRW59440.1, PRW59441.1, PRW59439.1	XP_005842750.1, XP_005849555.1
OG0000219	PRW32591.1	XP_005850309.1
OG0000219	PRW56073.1	XP_005850310.1
OG0000220	PRW51168.1	XP_005848959.1
OG0000220	PRW51183.1	XP_005848970.1, XP_005848972.1
OG0000221	PRW50841.1	XP_005848702.1, XP_005848701.1
OG0000221	PRW50905.1, PRW50904.1	XP_005848706.1
OG0000222	PRW20187.1	XP_005844110.1
OG0000222	PRW33807.1, PRW45031.1	XP_005844612.1
OG0000223	PRW60358.1, PRW60544.1, PRW60545.1, PRW56445.1	XP_005852045.1
OG0000224	PRW20912.1, PRW56041.1	XP_005850748.1, XP_005850746.1
OG0000225	PRW50790.1, PRW50788.1, PRW50789.1, PRW50787.1	XP_005848606.1, XP_005848607.1, XP_005848605.1
OG0000226	PRW61590.1	XP_005845327.1, XP_005843605.1, XP_005843606.1
OG0000227	PRW56674.1	XP_005847693.1, XP_005850437.1
OG0000227	PRW59411.1	XP_005846573.1
OG0000228	PRW56510.1	XP_005850172.1
OG0000228	PRW56431.1	XP_005848616.1
OG0000229	PRW61209.1, PRW60209.1, PRW60391.1	XP_005847507.1
OG0000230	PRW45046.1	XP_005844145.1, XP_005842743.1, XP_005844146.1, XP_005844147.1
OG0000231	PRW58025.1, PRW58026.1, PRW58027.1	XP_005843519.1
OG0000232	PRW57337.1	XP_005852187.1
OG0000232	PRW57465.1, PRW33619.1	XP_005846931.1
OG0000233	PRW45437.1	XP_005846668.1
OG0000233	PRW56173.1	XP_005850680.1
OG0000234	PRW45398.1	XP_005846210.1
OG0000235	PRW56757.1, PRW56581.1	XP_005850401.1
OG0000236	PRW56146.1, PRW56145.1	XP_005851028.1, XP_005851024.1
OG0000237	PRW56224.1	XP_005851612.1
OG0000237	PRW55937.1	XP_005850660.1
OG0000238	PRW56168.1	XP_005850676.1
OG0000238	PRW56076.1	XP_005850677.1
OG0000239	PRW56028.1, PRW56027.1	XP_005846767.1, XP_005850977.1
OG0000240	PRW56275.1, PRW33206.1	XP_005847499.1, XP_005847498.1, XP_005850613.1
OG0000241	PRW60348.1	XP_005851807.1
OG0000242	PRW58882.1	XP_005849474.1
OG0000242	PRW60751.1	XP_005852216.1
OG0000243	PRW60822.1	XP_005852044.1
OG0000244	PRW60812.1	XP_005851700.1, XP_005851699.1
OG0000246	PRW58416.1	XP_005851508.1
OG0000247	PRW45509.1	XP_005851057.1
OG0000247	PRW33780.1	XP_005849227.1
OG0000248	PRW33896.1, PRW33897.1	XP_005849076.1, XP_005849078.1
OG0000249	PRW33864.1	XP_005849049.1, XP_005849253.1
