Orthogroup	oneline_c_vulgaris_genome_proteins	oneline_c_variabilis_genome_proteins
OG0000011	KAI3424438.1, KAI3424442.1, KAI3424422.1, KAI3424461.1, KAI3424462.1	XP_005843132.1, XP_005843130.1, XP_005843129.1, XP_005843699.1, XP_005843126.1, XP_005843646.1, XP_005843131.1, XP_005843709.1, XP_005843650.1, XP_005843644.1, XP_005843649.1, XP_005843098.1, XP_005843637.1
OG0000015	KAI3429881.1	XP_005852287.1
OG0000015	KAI3428157.1, KAI3432743.1	XP_005847070.1, XP_005847472.1, XP_005850922.1, XP_005846738.1, XP_005850346.1
OG0000015	KAI3432746.1	XP_005847753.1, XP_005847071.1
OG0000015	KAI3431754.1	XP_005850273.1
OG0000016	KAI3427407.1	XP_005843185.1
OG0000016	KAI3427387.1	XP_005843183.1
OG0000017	KAI3437548.1	XP_005843538.1, XP_005852316.1, XP_005843501.1, XP_005849190.1, XP_005848549.1, XP_005848399.1, XP_005842611.1, XP_005842639.1, XP_005842799.1, XP_005842737.1, XP_005849053.1, XP_005844368.1, XP_005846559.1, XP_005847032.1, XP_005843489.1, XP_005842894.1, XP_005849191.1, XP_005845526.1, XP_005851373.1, XP_005843169.1, XP_005843515.1, XP_005843453.1, XP_005846567.1, XP_005843800.1, XP_005850982.1, XP_005852291.1, XP_005842900.1, XP_005843488.1, XP_005844996.1, XP_005842582.1, XP_005852193.1, XP_005850542.1, XP_005849148.1
OG0000019	KAI3424157.1	XP_005845649.1
OG0000019	KAI3427076.1	XP_005847661.1, XP_005842724.1, XP_005846610.1, XP_005847755.1, XP_005845630.1, XP_005851528.1, XP_005846203.1, XP_005852300.1, XP_005851426.1, XP_005842989.1, XP_005845234.1, XP_005851404.1, XP_005848389.1, XP_005847915.1, XP_005850151.1, XP_005845970.1, XP_005851650.1, XP_005849864.1, XP_005846352.1, XP_005845506.1, XP_005850394.1, XP_005848688.1
OG0000020	KAI3433853.1, KAI3433943.1	XP_005843490.1
OG0000021	KAI3425130.1	XP_005845820.1
OG0000021	KAI3430353.1	XP_005844589.1
OG0000021	KAI3430778.1	XP_005844764.1
OG0000021	KAI3429892.1	XP_005851970.1
OG0000022	KAI3430771.1	XP_005844756.1
OG0000023	KAI3437552.1	XP_005844521.1
OG0000023	KAI3433657.1	XP_005849248.1, XP_005851469.1
OG0000023	KAI3437670.1	XP_005852265.1, XP_005844033.1, XP_005847991.1, XP_005843521.1
OG0000023	KAI3424143.1	XP_005844034.1, XP_005843727.1
OG0000023	KAI3427434.1	XP_005843197.1
OG0000024	KAI3424283.1	XP_005843744.1
OG0000024	KAI3423982.1	XP_005843051.1, XP_005852085.1, XP_005843060.1, XP_005843085.1, XP_005843086.1, XP_005843055.1, XP_005846817.1, XP_005843056.1, XP_005843054.1, XP_005843058.1
OG0000025	KAI3424239.1	XP_005845715.1
OG0000025	KAI3433312.1	XP_005851635.1
OG0000025	KAI3425251.1	XP_005845876.1
OG0000025	KAI3425243.1	XP_005842791.1
OG0000026	KAI3424943.1	XP_005846834.1
OG0000026	KAI3428261.1, KAI3428260.1	XP_005851991.1, XP_005850391.1
OG0000028	KAI3436420.1	XP_005851663.1
OG0000028	KAI3434613.1	XP_005845589.1, XP_005845031.1
OG0000029	KAI3434646.1	XP_005845519.1, XP_005850528.1, XP_005843458.1, XP_005843447.1, XP_005842754.1, XP_005851042.1, XP_005847720.1, XP_005844673.1, XP_005846096.1, XP_005852046.1, XP_005846333.1, XP_005848398.1, XP_005850440.1, XP_005842673.1, XP_005842981.1, XP_005849107.1, XP_005844546.1, XP_005849189.1, XP_005843419.1, XP_005843452.1
OG0000029	KAI3426836.1	XP_005849016.1
OG0000031	KAI3433912.1	XP_005851069.1
OG0000031	KAI3426283.1	XP_005848479.1
OG0000031	KAI3424311.1	XP_005843734.1
OG0000031	KAI3426981.1	XP_005848732.1
OG0000032	KAI3428610.1	XP_005847288.1
OG0000033	KAI3424158.1	XP_005845648.1
OG0000033	KAI3424454.1	XP_005843148.1
OG0000033	KAI3424455.1	XP_005843149.1
OG0000033	KAI3424094.1	XP_005843147.1
OG0000033	KAI3424231.1	XP_005845710.1
OG0000033	KAI3430489.1	XP_005843386.1
OG0000034	KAI3437678.1, KAI3437679.1, KAI3437680.1	XP_005848147.1, XP_005851799.1, XP_005852139.1
OG0000034	KAI3429764.1	XP_005847190.1
OG0000034	KAI3436416.1	XP_005852236.1, XP_005850759.1, XP_005850761.1
OG0000034	KAI3436419.1	XP_005851040.1
OG0000034	KAI3431571.1	XP_005848978.1
OG0000035	KAI3424711.1	XP_005851083.1, XP_005844670.1, XP_005845033.1
OG0000035	KAI3427363.1	XP_005843209.1
OG0000035	KAI3423962.1	XP_005844674.1, XP_005843074.1, XP_005852310.1
OG0000035	KAI3433944.1	XP_005851377.1, XP_005851084.1, XP_005851085.1, XP_005851383.1
OG0000036	KAI3438051.1	XP_005846961.1
OG0000036	KAI3434627.1	XP_005844587.1, XP_005849419.1, XP_005849421.1, XP_005849420.1
OG0000036	KAI3430824.1	XP_005849667.1, XP_005847758.1, XP_005847759.1, XP_005848604.1, XP_005844350.1, XP_005845579.1, XP_005849561.1, XP_005844544.1, XP_005844782.1, XP_005844780.1
OG0000037	KAI3423989.1	XP_005843088.1
OG0000037	KAI3433381.1	XP_005851604.1
OG0000037	KAI3430592.1	XP_005844000.1, XP_005844092.1
OG0000038	KAI3436790.1	XP_005850876.1
OG0000038	KAI3424387.1	XP_005843698.1
OG0000038	KAI3430405.1	XP_005844853.1, XP_005844470.1, XP_005844469.1, XP_005844471.1
OG0000038	KAI3430403.1	XP_005844474.1
OG0000040	KAI3432833.1, KAI3434476.1, KAI3432406.1, KAI3432357.1, KAI3432840.1, KAI3432804.1, KAI3432803.1, KAI3432312.1, KAI3432326.1, KAI3432369.1, KAI3434547.1, KAI3432841.1, KAI3432343.1, KAI3434546.1, KAI3434542.1, KAI3432323.1, KAI3432356.1, KAI3432314.1, KAI3432320.1, KAI3432842.1	XP_005843853.1
OG0000041	KAI3426015.1	XP_005847858.1
OG0000043	KAI3436335.1	XP_005843633.1, XP_005843100.1, XP_005842784.1
OG0000043	KAI3432781.1, KAI3424825.1	XP_005843536.1
OG0000043	KAI3432469.1, KAI3436401.1	XP_005844315.1
OG0000044	KAI3428080.1, KAI3428081.1	XP_005850306.1
OG0000044	KAI3432337.1, KAI3432374.1	XP_005844214.1
OG0000044	KAI3432564.1	XP_005843524.1, XP_005843312.1, XP_005843034.1, XP_005847924.1, XP_005847157.1, XP_005843495.1, XP_005847646.1
OG0000044	KAI3425701.1	XP_005850305.1
OG0000045	KAI3430308.1	XP_005844605.1
OG0000045	KAI3430325.1, KAI3430315.1, KAI3430298.1	XP_005844599.1, XP_005844510.1
OG0000045	KAI3430319.1	XP_005843816.1, XP_005844507.1
OG0000046	KAI3424870.1, KAI3424889.1, KAI3424867.1, KAI3424995.1, KAI3432593.1, KAI3436293.1	XP_005843303.1
OG0000046	KAI3436294.1, KAI3436273.1, KAI3432594.1, KAI3431532.1, KAI3423403.1, KAI3431764.1	XP_005845628.1
OG0000047	KAI3430586.1	XP_005844087.1
OG0000048	KAI3427178.1	XP_005848640.1
OG0000048	KAI3431425.1, KAI3431426.1, KAI3427177.1, KAI3427179.1	XP_005848668.1, XP_005848670.1
OG0000049	KAI3433844.1	XP_005851100.1
OG0000049	KAI3434593.1	XP_005849436.1
OG0000051	KAI3433911.1	XP_005842772.1
OG0000051	KAI3426260.1	XP_005848471.1
OG0000051	KAI3428104.1	XP_005850065.1
OG0000051	KAI3434525.1	XP_005843891.1
OG0000052	KAI3437829.1	XP_005847910.1, XP_005847912.1
OG0000053	KAI3424164.1	XP_005845524.1
OG0000053	KAI3434870.1	XP_005849094.1
OG0000053	KAI3423972.1	XP_005843048.1
OG0000053	KAI3425144.1, KAI3425150.1, KAI3425146.1	XP_005845925.1, XP_005845811.1
OG0000054	KAI3432308.1, KAI3432372.1	XP_005844281.1
OG0000054	KAI3432347.1, KAI3432344.1	XP_005844197.1, XP_005844276.1
OG0000054	KAI3432339.1	XP_005844275.1
OG0000055	KAI3429335.1	XP_005845298.1, XP_005851756.1, XP_005845426.1
OG0000055	KAI3429571.1	XP_005851822.1
OG0000055	KAI3433548.1	XP_005851238.1
OG0000056	KAI3438825.1	XP_005849913.1
OG0000056	KAI3438819.1	XP_005849659.1, XP_005842682.1, XP_005845536.1
OG0000057	KAI3436537.1, KAI3436536.1	XP_005850996.1, XP_005842654.1, XP_005850995.1, XP_005842566.1
OG0000058	KAI3430299.1, KAI3430331.1, KAI3430327.1, KAI3430313.1, KAI3430328.1, KAI3430300.1, KAI3430374.1, KAI3430281.1, KAI3430280.1, KAI3430341.1, KAI3430320.1, KAI3430316.1, KAI3430371.1, KAI3430365.1, KAI3430297.1	XP_005844489.1
OG0000059	KAI3424079.1	XP_005845679.1
OG0000059	KAI3424250.1	XP_005842866.1
OG0000060	KAI3436359.1	XP_005843015.1, XP_005843014.1
OG0000060	KAI3425198.1	XP_005845787.1
OG0000061	KAI3427234.1	XP_005848615.1
OG0000062	KAI3437696.1	XP_005848139.1
OG0000062	KAI3427376.1	XP_005843178.1
OG0000062	KAI3437697.1	XP_005848138.1
OG0000063	KAI3434723.1	XP_005849369.1, XP_005849368.1
OG0000064	KAI3438305.1	XP_005846850.1
OG0000064	KAI3426064.1	XP_005844148.1
OG0000064	KAI3423948.1	XP_005843039.1
OG0000064	KAI3430249.1	XP_005844636.1
OG0000065	KAI3432752.1, KAI3432751.1, KAI3432742.1, KAI3432731.1, KAI3432729.1, KAI3432722.1, KAI3429665.1, KAI3429666.1	XP_005851870.1
OG0000065	KAI3429670.1	XP_005852207.1
OG0000065	KAI3429667.1	XP_005851871.1
OG0000066	KAI3434980.1	XP_005849869.1, XP_005849132.1
OG0000066	KAI3436337.1	XP_005845861.1
OG0000066	KAI3425897.1	XP_005847799.1
OG0000067	KAI3424695.1, KAI3424691.1, KAI3424693.1, KAI3424696.1	XP_005845130.1
OG0000067	KAI3430528.1, KAI3425375.1	XP_005845131.1
OG0000067	KAI3424690.1	XP_005845129.1
OG0000068	KAI3424092.1	XP_005845574.1
OG0000068	KAI3424425.1	XP_005843102.1
OG0000068	KAI3438326.1	XP_005847020.1
OG0000068	KAI3429823.1	XP_005852257.1
OG0000070	KAI3431486.1	XP_005846186.1
OG0000070	KAI3428195.1	XP_005846185.1, XP_005846700.1, XP_005850114.1, XP_005848083.1, XP_005847718.1
OG0000070	KAI3438690.1	XP_005849856.1
OG0000071	KAI3429492.1	XP_005851773.1
OG0000071	KAI3425143.1, KAI3425151.1	XP_005845923.1
OG0000071	KAI3425145.1	XP_005845813.1
OG0000072	KAI3427121.1, KAI3427122.1	XP_005848676.1
OG0000072	KAI3426208.1	XP_005848441.1
OG0000072	KAI3433673.1	XP_005851175.1
OG0000072	KAI3427123.1, KAI3427135.1	XP_005848674.1, XP_005848864.1
OG0000074	KAI3438615.1	XP_005849557.1
OG0000074	KAI3438616.1	XP_005849559.1
OG0000074	KAI3438617.1	XP_005849560.1
OG0000074	KAI3429786.1	XP_005851920.1
OG0000076	KAI3425006.1	XP_005846653.1
OG0000077	KAI3434988.1, KAI3434897.1, KAI3434987.1, KAI3434996.1	XP_005849036.1
OG0000077	KAI3426367.1	XP_005848326.1
OG0000077	KAI3436013.1, KAI3436010.1	XP_005842829.1
OG0000078	KAI3433894.1	XP_005845996.1, XP_005846024.1, XP_005844837.1, XP_005849400.1
OG0000078	KAI3424325.1	XP_005843728.1
OG0000079	KAI3436170.1	XP_005845446.1, XP_005845444.1, XP_005845443.1, XP_005845441.1
OG0000079	KAI3436169.1	XP_005845447.1
OG0000080	KAI3434528.1	XP_005843875.1, XP_005843881.1, XP_005843878.1, XP_005843877.1, XP_005847911.1, XP_005843883.1, XP_005843876.1, XP_005843879.1, XP_005843880.1
OG0000081	KAI3430735.1, KAI3430734.1, KAI3430733.1, KAI3431005.1, KAI3423184.1, KAI3423182.1, KAI3431008.1, KAI3430731.1, KAI3431007.1, KAI3423181.1, KAI3423185.1, KAI3430732.1, KAI3431006.1, KAI3423183.1	XP_005844060.1
OG0000082	KAI3426835.1, KAI3434647.1, KAI3435037.1, KAI3435038.1, KAI3428413.1	XP_005842793.1
OG0000083	KAI3425808.1	XP_005847588.1
OG0000083	KAI3433889.1	XP_005851060.1, XP_005845053.1, XP_005845052.1
OG0000083	KAI3427263.1	XP_005845050.1, XP_005845051.1, XP_005848782.1, XP_005848781.1
OG0000086	KAI3436016.1	XP_005842827.1
OG0000086	KAI3424313.1	XP_005843674.1
OG0000088	KAI3438445.1	XP_005849744.1
OG0000088	KAI3424242.1	XP_005842704.1
OG0000089	KAI3437810.1	XP_005848082.1
OG0000089	KAI3437785.1	XP_005847936.1
OG0000090	KAI3427919.1	XP_005850232.1
OG0000090	KAI3426390.1	XP_005848340.1
OG0000090	KAI3428238.1	XP_005850135.1
OG0000091	KAI3423959.1, KAI3423956.1, KAI3423958.1, KAI3438048.1	XP_005843076.1
OG0000092	KAI3429253.1	XP_005851990.1
OG0000092	KAI3429252.1	XP_005846592.1, XP_005845071.1, XP_005852306.1
OG0000093	KAI3423939.1	XP_005852054.1, XP_005843061.1
OG0000093	KAI3429363.1, KAI3429364.1	XP_005852052.1
OG0000093	KAI3429366.1	XP_005852053.1, XP_005851713.1
OG0000094	KAI3436406.1	XP_005850766.1
OG0000094	KAI3432747.1	XP_005843486.1
OG0000094	KAI3436409.1	XP_005850765.1
OG0000094	KAI3432416.1	XP_005844359.1
OG0000096	KAI3429612.1	XP_005852164.1
OG0000096	KAI3423807.1	XP_005850527.1
OG0000097	KAI3431578.1	XP_005845008.1
OG0000097	KAI3431579.1	XP_005845007.1
OG0000098	KAI3436474.1	XP_005851021.1
OG0000098	KAI3433293.1	XP_005851644.1
OG0000098	KAI3424803.1	XP_005845180.1
OG0000099	KAI3432794.1	XP_005842832.1
OG0000099	KAI3437759.1, KAI3437758.1	XP_005848110.1
OG0000101	KAI3436310.1	XP_005852240.1
OG0000102	KAI3430483.1	XP_005843329.1
OG0000102	KAI3430479.1	XP_005843330.1
OG0000103	KAI3438724.1, KAI3438725.1	XP_005849873.1
OG0000103	KAI3438723.1	XP_005842593.1, XP_005849872.1
OG0000104	KAI3427061.1	XP_005843186.1, XP_005849820.1, XP_005846235.1, XP_005848698.1, XP_005848697.1
OG0000105	KAI3429256.1	XP_005851669.1
OG0000105	KAI3429257.1	XP_005850367.1, XP_005851670.1
OG0000106	KAI3435969.1	XP_005846663.1, XP_005851835.1, XP_005851056.1, XP_005847773.1, XP_005851649.1, XP_005843545.1, XP_005845169.1, XP_005846805.1, XP_005846407.1
OG0000107	KAI3433500.1	XP_005851548.1
OG0000108	KAI3438100.1	XP_005847122.1
OG0000108	KAI3433483.1	XP_005851265.1
OG0000109	KAI3436738.1	XP_005850895.1
OG0000109	KAI3431593.1	XP_005844902.1
OG0000109	KAI3426054.1, KAI3429436.1	XP_005851744.1
OG0000110	KAI3434780.1	XP_005849139.1, XP_005848249.1
OG0000110	KAI3432748.1, KAI3431777.1	XP_005848446.1
OG0000111	KAI3431594.1	XP_005849575.1
OG0000112	KAI3436619.1	XP_005850959.1
OG0000113	KAI3427182.1	XP_005848639.1
OG0000113	KAI3425328.1	XP_005851742.1, XP_005852081.1, XP_005844843.1
OG0000113	KAI3425325.1	XP_005850568.1
OG0000114	KAI3434709.1	XP_005849181.1
OG0000114	KAI3434710.1	XP_005849180.1
OG0000115	KAI3428548.1	XP_005846570.1, XP_005846560.1, XP_005842618.1, XP_005846715.1, XP_005846714.1, XP_005847299.1, XP_005846712.1
OG0000115	KAI3434421.1	XP_005850773.1, XP_005846710.1
OG0000116	KAI3425912.1	XP_005847808.1, XP_005847807.1
OG0000117	KAI3438944.1, KAI3439124.1	XP_005843471.1
OG0000118	KAI3438193.1	XP_005847077.1
OG0000118	KAI3438192.1	XP_005847079.1
OG0000119	KAI3428567.1	XP_005847293.1
OG0000119	KAI3436333.1	XP_005850540.1, XP_005847604.1, XP_005850541.1
OG0000120	KAI3423889.1	XP_005846577.1
OG0000120	KAI3423979.1, KAI3423978.1, KAI3423977.1	XP_005843049.1
OG0000121	KAI3424168.1, KAI3424169.1	XP_005845527.1
OG0000121	KAI3424171.1, KAI3424167.1	XP_005845634.1
OG0000122	KAI3425227.1, KAI3425222.1	XP_005848680.1, XP_005848887.1, XP_005845896.1
OG0000123	KAI3431440.1, KAI3431439.1, KAI3431441.1, KAI3431444.1, KAI3438920.1, KAI3438971.1, KAI3438970.1	XP_005846166.1
OG0000125	KAI3430890.1	XP_005844815.1
OG0000125	KAI3425079.1	XP_005846770.1
OG0000126	KAI3436077.1	XP_005848478.1
OG0000126	KAI3432787.1	XP_005845356.1
OG0000127	KAI3438784.1	XP_005849899.1
OG0000127	KAI3436555.1	XP_005850708.1
OG0000128	KAI3436117.1, KAI3436116.1	XP_005845472.1
OG0000129	KAI3430368.1	XP_005844581.1
OG0000129	KAI3430355.1	XP_005844492.1
OG0000129	KAI3430367.1	XP_005844582.1
OG0000131	KAI3428025.1, KAI3428026.1, KAI3428027.1, KAI3428024.1	XP_005850276.1, XP_005850277.1
OG0000132	KAI3439122.1	XP_005843442.1
OG0000132	KAI3439119.1, KAI3439118.1	XP_005843441.1
OG0000133	KAI3436087.1	XP_005845354.1
OG0000133	KAI3436118.1	XP_005845337.1
OG0000134	KAI3434507.1	XP_005843863.1
OG0000134	KAI3434481.1	XP_005843896.1
OG0000135	KAI3427004.1, KAI3427005.1	XP_005848934.1
OG0000135	KAI3427163.1	XP_005848649.1
OG0000136	KAI3431576.1	XP_005845010.1
OG0000137	KAI3427090.1	XP_005848897.1
OG0000139	KAI3436719.1	XP_005850908.1
OG0000139	KAI3436720.1, KAI3423290.1	XP_005850907.1, XP_005850905.1
OG0000140	KAI3429255.1	XP_005851992.1
OG0000141	KAI3430758.1	XP_005844667.1
OG0000142	KAI3435007.1	XP_005849030.1
OG0000143	KAI3425038.1	XP_005846641.1
OG0000143	KAI3426370.1, KAI3426369.1	XP_005848520.1
OG0000143	KAI3426371.1	XP_005848521.1
OG0000144	KAI3430812.1	XP_005844698.1
OG0000144	KAI3430813.1	XP_005844700.1
OG0000144	KAI3430814.1	XP_005844699.1
OG0000145	KAI3435659.1	XP_005846377.1
OG0000145	KAI3435657.1	XP_005846379.1
OG0000145	KAI3435658.1	XP_005846378.1
OG0000146	KAI3427194.1	XP_005848842.1
OG0000147	KAI3427152.1	XP_005848657.1
OG0000147	KAI3427443.1, KAI3431786.1, KAI3427441.1	XP_005843258.1
OG0000148	KAI3424368.1	XP_005843713.1
OG0000149	KAI3432868.1	XP_005846408.1
OG0000149	KAI3432878.1, KAI3432822.1, KAI3432824.1, KAI3432825.1, KAI3432820.1	XP_005844409.1, XP_005842721.1
OG0000152	KAI3427256.1	XP_005848598.1, XP_005848599.1
OG0000152	KAI3437808.1	XP_005847923.1
OG0000153	KAI3430567.1	XP_005844077.1
OG0000153	KAI3425348.1	XP_005849801.1, XP_005845727.1
OG0000155	KAI3426243.1	XP_005848464.1
OG0000155	KAI3437731.1	XP_005847962.1
OG0000156	KAI3425366.1, KAI3425370.1	XP_005845824.1
OG0000156	KAI3425362.1	XP_005845721.1
OG0000157	KAI3430347.1	XP_005844499.1
OG0000157	KAI3435028.1	XP_005849021.1
OG0000158	KAI3435882.1	XP_005846273.1
OG0000159	KAI3437790.1	XP_005848092.1
OG0000160	KAI3439008.1	XP_005843774.1
OG0000160	KAI3439020.1, KAI3439019.1	XP_005850374.1, XP_005843784.1
OG0000161	KAI3428596.1	XP_005847284.1
OG0000163	KAI3424829.1	XP_005845193.1
OG0000163	KAI3430893.1	XP_005844819.1
OG0000164	KAI3429416.1	XP_005852080.1
OG0000164	KAI3429418.1	XP_005851738.1
OG0000164	KAI3430342.1	XP_005844501.1
OG0000164	KAI3438688.1	XP_005849855.1
OG0000167	KAI3433286.1	XP_005851340.1
OG0000167	KAI3433287.1, KAI3433288.1	XP_005851339.1
OG0000168	KAI3436814.1	XP_005850582.1
OG0000168	KAI3427078.1, KAI3427077.1	XP_005848904.1
OG0000169	KAI3434856.1	XP_005849385.1
OG0000169	KAI3436665.1	XP_005850931.1
OG0000170	KAI3436889.1	XP_005850835.1
OG0000170	KAI3423825.1, KAI3426963.1	XP_005848742.1
OG0000171	KAI3436861.1	XP_005850849.1
OG0000172	KAI3438585.1	XP_005849543.1
OG0000172	KAI3438682.1	XP_005849592.1
OG0000174	KAI3428134.1	XP_005850080.1
OG0000175	KAI3436189.1	XP_005845304.1
OG0000175	KAI3439045.1	XP_005843797.1
OG0000177	KAI3432601.1, KAI3432602.1	XP_005843571.1, XP_005843573.1
OG0000178	KAI3431839.1	XP_005850861.1
OG0000178	KAI3436643.1	XP_005850944.1
OG0000179	KAI3425241.1	XP_005845882.1
OG0000179	KAI3435769.1	XP_005846503.1
OG0000179	KAI3435770.1	XP_005846502.1
OG0000180	KAI3434687.1	XP_005849390.1
OG0000181	KAI3424095.1	XP_005845674.1
OG0000181	KAI3423988.1	XP_005843083.1
OG0000182	KAI3433875.1	XP_005851386.1
OG0000182	KAI3433862.1	XP_005851096.1
OG0000183	KAI3425045.1	XP_005846639.1
OG0000183	KAI3429867.1	XP_005852270.1
OG0000184	KAI3429733.1	XP_005852232.1
OG0000184	KAI3429734.1	XP_005851903.1
OG0000185	KAI3424785.1, KAI3424784.1	XP_005845172.1
OG0000186	KAI3434380.1	XP_005842591.1, XP_005842909.1, XP_005842898.1, XP_005843980.1, XP_005843981.1, XP_005842893.1
OG0000187	KAI3426464.1, KAI3430784.1	XP_005848563.1
OG0000187	KAI3430762.1	XP_005844675.1
OG0000187	KAI3430795.1	XP_005844765.1
OG0000188	KAI3439018.1	XP_005843781.1
OG0000188	KAI3439025.1, KAI3439026.1	XP_005843786.1
OG0000190	KAI3428407.1	XP_005847529.1
OG0000190	KAI3428408.1	XP_005847528.1
OG0000190	KAI3428404.1	XP_005847360.1
OG0000191	KAI3435822.1	XP_005846303.1
OG0000192	KAI3433906.1	XP_005851362.1
OG0000192	KAI3433920.1, KAI3433921.1	XP_005851070.1
