0_0: scaffold16.g1.t1
0_91: scaffold16.g92.t1
0_92: scaffold16.g93.t1
0_93: scaffold16.g94.t1
0_94: scaffold16.g95.t1
0_95: scaffold16.g96.t1
0_96: scaffold16.g97.t1
0_97: scaffold16.g98.t1
0_98: scaffold16.g99.t1
0_99: scaffold16.g100.t1
0_100: scaffold16.g101.t1
0_101: scaffold16.g102.t1
0_102: scaffold16.g103.t1
0_103: scaffold16.g104.t1
0_104: scaffold16.g105.t1
0_105: scaffold16.g106.t1
0_106: scaffold16.g107.t1
0_107: scaffold16.g108.t1
0_108: scaffold16.g109.t1
0_109: scaffold16.g110.t1
0_110: scaffold16.g111.t1
0_111: scaffold16.g112.t1
0_112: scaffold16.g113.t1
0_113: scaffold16.g114.t1
0_114: scaffold16.g115.t1
0_115: scaffold16.g116.t1
0_116: scaffold16.g117.t1
0_117: scaffold16.g118.t1
0_118: scaffold16.g119.t1
0_119: scaffold16.g120.t1
0_120: scaffold16.g121.t1
0_121: scaffold16.g122.t1
0_122: scaffold16.g123.t1
0_123: scaffold16.g124.t1
0_124: scaffold16.g125.t1
0_125: scaffold16.g126.t1
0_126: scaffold16.g127.t1
0_127: scaffold16.g128.t1
0_128: scaffold16.g129.t1
0_129: scaffold16.g130.t1
0_130: scaffold16.g131.t1
0_131: scaffold16.g132.t1
0_132: scaffold16.g133.t1
0_133: scaffold16.g134.t1
0_134: scaffold16.g135.t1
0_135: scaffold16.g136.t1
0_136: scaffold16.g137.t1
0_137: scaffold16.g138.t1
0_138: scaffold16.g139.t1
0_139: scaffold16.g140.t1
0_140: scaffold16.g141.t1
0_141: scaffold16.g142.t1
0_142: scaffold16.g143.t1
0_143: scaffold16.g144.t1
0_144: scaffold16.g145.t1
0_145: scaffold16.g146.t1
0_146: scaffold16.g147.t1
0_147: scaffold16.g148.t1
0_148: scaffold16.g149.t1
0_149: scaffold16.g150.t1
0_150: scaffold16.g151.t1
0_151: scaffold16.g152.t1
0_152: scaffold16.g153.t1
0_153: scaffold16.g154.t1
0_154: scaffold16.g155.t1
0_155: scaffold16.g156.t1
0_156: scaffold16.g157.t1
0_157: scaffold16.g158.t1
0_158: scaffold16.g159.t1
0_159: scaffold16.g160.t1
0_160: scaffold13.g161.t1
0_161: scaffold13.g162.t1
0_162: scaffold13.g163.t1
0_163: scaffold13.g164.t1
0_164: scaffold13.g165.t1
0_165: scaffold13.g166.t1
0_166: scaffold13.g167.t1
0_167: scaffold13.g168.t1
0_168: scaffold13.g169.t1
0_169: scaffold13.g170.t1
0_170: scaffold13.g171.t1
0_171: scaffold13.g172.t1
0_172: scaffold13.g173.t1
0_173: scaffold13.g174.t1
0_174: scaffold13.g175.t1
0_175: scaffold13.g176.t1
0_176: scaffold13.g177.t1
0_177: scaffold13.g178.t1
0_178: scaffold13.g179.t1
0_179: scaffold13.g180.t1
0_180: scaffold13.g181.t1
0_181: scaffold13.g182.t1
0_182: scaffold13.g183.t1
0_183: scaffold13.g184.t1
0_184: scaffold13.g185.t1
0_185: scaffold13.g186.t1
0_186: scaffold13.g187.t1
0_187: scaffold13.g188.t1
0_188: scaffold13.g189.t1
0_189: scaffold13.g190.t1
0_190: scaffold13.g191.t1
0_191: scaffold13.g192.t1
0_192: scaffold13.g193.t1
0_193: scaffold13.g194.t1
0_194: scaffold13.g195.t1
0_195: scaffold13.g196.t1
0_196: scaffold13.g197.t1
0_197: scaffold13.g198.t1
0_198: scaffold13.g199.t1
0_199: scaffold13.g200.t1
0_200: scaffold13.g201.t1
0_201: scaffold13.g202.t1
0_202: scaffold13.g203.t1
0_203: scaffold13.g204.t1
0_204: scaffold13.g205.t1
0_205: scaffold13.g206.t1
0_206: scaffold13.g207.t1
0_207: scaffold13.g208.t1
0_208: scaffold13.g209.t1
0_209: scaffold13.g210.t1
0_210: scaffold13.g211.t1
0_211: scaffold13.g212.t1
0_212: scaffold13.g213.t1
0_213: scaffold13.g214.t1
0_214: scaffold13.g215.t1
0_215: scaffold13.g216.t1
0_216: scaffold13.g217.t1
0_217: scaffold13.g218.t1
0_218: scaffold13.g219.t1
0_219: scaffold13.g220.t1
0_220: scaffold13.g221.t1
0_221: scaffold13.g222.t1
0_222: scaffold13.g223.t1
0_223: scaffold13.g224.t1
0_224: scaffold13.g225.t1
0_225: scaffold13.g226.t1
0_226: scaffold13.g227.t1
0_227: scaffold13.g228.t1
0_228: scaffold13.g229.t1
0_229: scaffold13.g230.t1
0_230: scaffold13.g231.t1
0_231: scaffold13.g232.t1
0_232: scaffold13.g233.t1
0_233: scaffold13.g234.t1
0_234: scaffold13.g235.t1
0_235: scaffold13.g236.t1
0_236: scaffold13.g237.t1
0_237: scaffold13.g238.t1
0_238: scaffold13.g239.t1
0_239: scaffold13.g240.t1
0_240: scaffold13.g241.t1
0_241: scaffold13.g242.t1
0_242: scaffold13.g243.t1
0_243: scaffold13.g244.t1
0_244: scaffold13.g245.t1
0_245: scaffold13.g246.t1
0_246: scaffold13.g247.t1
0_247: scaffold13.g248.t1
0_248: scaffold13.g249.t1
0_249: scaffold13.g250.t1
0_250: scaffold13.g251.t1
0_251: scaffold13.g252.t1
0_252: scaffold13.g253.t1
0_253: scaffold13.g254.t1
0_254: scaffold13.g255.t1
0_255: scaffold13.g256.t1
0_256: scaffold13.g257.t1
0_257: scaffold13.g258.t1
0_258: scaffold13.g259.t1
0_259: scaffold13.g260.t1
0_260: scaffold13.g261.t1
0_261: scaffold13.g262.t1
0_262: scaffold13.g263.t1
0_263: scaffold13.g264.t1
0_264: scaffold13.g265.t1
0_265: scaffold13.g266.t1
0_266: scaffold13.g267.t1
0_267: scaffold13.g268.t1
0_268: scaffold13.g269.t1
0_269: scaffold13.g270.t1
0_270: scaffold13.g271.t1
0_271: scaffold13.g272.t1
0_272: scaffold13.g273.t1
0_273: scaffold13.g274.t1
0_274: scaffold13.g275.t1
0_275: scaffold13.g276.t1
0_276: scaffold13.g277.t1
0_277: scaffold13.g278.t1
0_278: scaffold13.g279.t1
0_279: scaffold13.g280.t1
0_280: scaffold13.g281.t1
0_281: scaffold13.g282.t1
0_282: scaffold13.g283.t1
0_283: scaffold13.g284.t1
0_284: scaffold13.g285.t1
0_285: scaffold13.g286.t1
0_286: scaffold13.g287.t1
0_287: scaffold13.g288.t1
0_288: scaffold13.g289.t1
0_289: scaffold13.g290.t1
0_290: scaffold13.g291.t1
0_291: scaffold13.g292.t1
0_292: scaffold13.g293.t1
0_293: scaffold13.g294.t1
0_294: scaffold13.g295.t1
0_295: scaffold13.g296.t1
0_296: scaffold13.g297.t1
0_297: scaffold13.g298.t1
0_298: scaffold13.g299.t1
0_299: scaffold13.g300.t1
0_300: scaffold13.g301.t1
0_301: scaffold13.g302.t1
0_302: scaffold13.g303.t1
0_303: scaffold13.g304.t1
0_304: scaffold13.g305.t1
0_305: scaffold13.g306.t1
0_306: scaffold13.g307.t1
0_307: scaffold13.g308.t1
0_308: scaffold13.g309.t1
0_309: scaffold13.g310.t1
0_310: scaffold13.g311.t1
0_311: scaffold13.g312.t1
0_312: scaffold13.g313.t1
0_313: scaffold13.g314.t1
0_314: scaffold13.g315.t1
0_315: scaffold13.g316.t1
0_316: scaffold13.g317.t1
0_317: scaffold13.g318.t1
0_318: scaffold13.g319.t1
0_319: scaffold13.g320.t1
0_320: scaffold13.g321.t1
0_321: scaffold13.g322.t1
0_322: scaffold13.g323.t1
0_323: scaffold13.g324.t1
0_324: scaffold13.g325.t1
0_325: scaffold13.g326.t1
0_326: scaffold13.g327.t1
0_327: scaffold13.g328.t1
0_328: scaffold13.g329.t1
0_329: scaffold13.g330.t1
0_330: scaffold13.g331.t1
0_331: scaffold13.g332.t1
0_332: scaffold13.g333.t1
0_333: scaffold13.g334.t1
0_334: scaffold13.g335.t1
0_335: scaffold13.g336.t1
0_336: scaffold13.g337.t1
0_337: scaffold13.g338.t1
0_338: scaffold13.g339.t1
0_339: scaffold13.g340.t1
0_340: scaffold13.g341.t1
0_341: scaffold13.g342.t1
0_342: scaffold13.g343.t1
0_343: scaffold13.g344.t1
0_344: scaffold13.g345.t1
0_345: scaffold13.g346.t1
0_346: scaffold13.g347.t1
0_347: scaffold13.g348.t1
0_348: scaffold13.g349.t1
0_349: scaffold13.g350.t1
0_350: scaffold13.g351.t1
0_351: scaffold13.g352.t1
0_352: scaffold13.g353.t1
0_353: scaffold13.g354.t1
0_354: scaffold13.g355.t1
0_355: scaffold13.g356.t1
0_356: scaffold13.g357.t1
0_357: scaffold13.g358.t1
0_358: scaffold13.g359.t1
0_359: scaffold13.g360.t1
0_360: scaffold13.g361.t1
0_361: scaffold13.g362.t1
0_362: scaffold13.g363.t1
0_363: scaffold13.g364.t1
0_364: scaffold13.g365.t1
0_365: scaffold13.g366.t1
0_366: scaffold13.g367.t1
0_367: scaffold13.g368.t1
0_368: scaffold13.g369.t1
0_369: scaffold13.g370.t1
0_370: scaffold13.g371.t1
0_371: scaffold13.g372.t1
0_372: scaffold13.g373.t1
0_373: scaffold13.g374.t1
0_374: scaffold13.g375.t1
0_375: scaffold13.g376.t1
0_376: scaffold13.g377.t1
0_377: scaffold13.g378.t1
0_378: scaffold13.g379.t1
0_379: scaffold13.g380.t1
0_380: scaffold13.g381.t1
0_381: scaffold13.g382.t1
0_382: scaffold13.g383.t1
0_383: scaffold13.g384.t1
0_384: scaffold13.g385.t1
0_385: scaffold13.g386.t1
0_386: scaffold13.g387.t1
0_387: scaffold13.g388.t1
0_388: scaffold13.g389.t1
0_389: scaffold13.g390.t1
0_390: scaffold13.g391.t1
0_391: scaffold13.g392.t1
0_392: scaffold13.g393.t1
0_393: scaffold13.g394.t1
0_394: scaffold13.g395.t1
0_395: scaffold13.g396.t1
0_396: scaffold13.g397.t1
0_397: scaffold13.g398.t1
0_398: scaffold13.g399.t1
0_399: scaffold13.g400.t1
0_400: scaffold13.g401.t1
0_401: scaffold13.g402.t1
0_402: scaffold13.g403.t1
0_403: scaffold13.g404.t1
0_404: scaffold13.g405.t1
0_405: scaffold13.g406.t1
0_406: scaffold13.g407.t1
0_407: scaffold13.g408.t1
0_408: scaffold13.g409.t1
0_409: scaffold13.g410.t1
0_410: scaffold13.g411.t1
0_411: scaffold13.g412.t1
0_412: scaffold13.g413.t1
0_413: scaffold13.g414.t1
0_414: scaffold13.g415.t1
0_415: scaffold13.g416.t1
0_416: scaffold13.g417.t1
0_417: scaffold13.g418.t1
0_418: scaffold13.g419.t1
0_419: scaffold13.g420.t1
0_420: scaffold13.g421.t1
0_421: scaffold17.g422.t1
0_422: scaffold17.g423.t1
0_423: scaffold17.g424.t1
0_424: scaffold17.g425.t1
0_425: scaffold17.g426.t1
0_426: scaffold17.g427.t1
0_427: scaffold17.g428.t1
0_428: scaffold17.g429.t1
0_429: scaffold17.g430.t1
0_430: scaffold17.g431.t1
0_431: scaffold17.g432.t1
0_432: scaffold17.g433.t1
0_433: scaffold17.g434.t1
0_434: scaffold17.g435.t1
0_435: scaffold17.g436.t1
0_436: scaffold17.g437.t1
0_437: scaffold17.g438.t1
0_438: scaffold17.g439.t1
0_439: scaffold17.g440.t1
0_440: scaffold17.g441.t1
0_441: scaffold17.g442.t1
0_442: scaffold17.g443.t1
0_443: scaffold17.g444.t1
0_444: scaffold17.g445.t1
0_445: scaffold17.g446.t1
0_446: scaffold17.g447.t1
0_447: scaffold17.g448.t1
0_448: scaffold17.g449.t1
0_449: scaffold17.g450.t1
0_450: scaffold17.g451.t1
0_451: scaffold17.g452.t1
0_452: scaffold17.g453.t1
0_453: scaffold17.g454.t1
0_454: scaffold17.g455.t1
0_455: scaffold17.g456.t1
0_456: scaffold17.g457.t1
0_457: scaffold17.g458.t1
0_458: scaffold17.g459.t1
0_459: scaffold17.g460.t1
0_460: scaffold17.g461.t1
0_461: scaffold17.g462.t1
0_462: scaffold17.g463.t1
0_463: scaffold17.g464.t1
0_464: scaffold17.g465.t1
0_465: scaffold17.g466.t1
0_466: scaffold17.g467.t1
0_467: scaffold17.g468.t1
0_468: scaffold17.g469.t1
0_469: scaffold17.g470.t1
0_470: scaffold17.g471.t1
0_471: scaffold17.g472.t1
0_472: scaffold17.g473.t1
0_473: scaffold17.g474.t1
0_474: scaffold17.g475.t1
0_475: scaffold17.g476.t1
0_476: scaffold17.g477.t1
0_477: scaffold17.g478.t1
0_478: scaffold17.g479.t1
0_479: scaffold17.g480.t1
0_480: scaffold17.g481.t1
0_481: scaffold17.g482.t1
0_482: scaffold17.g483.t1
0_483: scaffold17.g484.t1
0_484: scaffold17.g485.t1
0_485: scaffold17.g486.t1
0_486: scaffold17.g487.t1
0_487: scaffold17.g488.t1
0_488: scaffold17.g489.t1
0_489: scaffold17.g490.t1
0_490: scaffold17.g491.t1
0_491: scaffold17.g492.t1
0_492: scaffold17.g493.t1
0_493: scaffold17.g494.t1
0_494: scaffold17.g495.t1
0_495: scaffold17.g496.t1
0_496: scaffold17.g497.t1
0_497: scaffold17.g498.t1
0_498: scaffold17.g499.t1
0_499: scaffold17.g500.t1
0_500: scaffold17.g501.t1
0_501: scaffold17.g502.t1
0_502: scaffold17.g503.t1
0_503: scaffold17.g504.t1
0_504: scaffold17.g505.t1
0_505: scaffold17.g506.t1
0_506: scaffold17.g507.t1
0_507: scaffold17.g508.t1
0_508: scaffold17.g509.t1
0_509: scaffold17.g510.t1
0_510: scaffold17.g511.t1
0_511: scaffold17.g512.t1
0_512: scaffold17.g513.t1
0_513: scaffold17.g514.t1
0_514: scaffold17.g515.t1
0_515: scaffold17.g516.t1
0_516: scaffold17.g517.t1
0_517: scaffold17.g518.t1
0_518: scaffold17.g519.t1
0_519: scaffold17.g520.t1
0_520: scaffold17.g521.t1
0_521: scaffold17.g522.t1
0_522: scaffold17.g523.t1
0_523: scaffold17.g524.t1
0_524: scaffold17.g525.t1
0_525: scaffold17.g526.t1
0_526: scaffold17.g527.t1
0_527: scaffold17.g528.t1
0_528: scaffold17.g529.t1
0_529: scaffold17.g530.t1
0_530: scaffold17.g531.t1
0_531: scaffold17.g532.t1
0_532: scaffold17.g533.t1
0_533: scaffold17.g534.t1
0_534: scaffold17.g535.t1
0_535: scaffold17.g536.t1
0_536: scaffold17.g537.t1
0_537: scaffold17.g538.t1
0_538: scaffold17.g539.t1
0_539: scaffold17.g540.t1
0_540: scaffold17.g541.t1
0_541: scaffold17.g542.t1
0_542: scaffold17.g543.t1
0_543: scaffold17.g544.t1
0_544: scaffold17.g545.t1
0_545: scaffold17.g546.t1
0_546: scaffold17.g547.t1
0_547: scaffold17.g548.t1
0_548: scaffold17.g549.t1
0_549: scaffold17.g550.t1
0_550: scaffold17.g551.t1
0_551: scaffold17.g552.t1
0_552: scaffold17.g553.t1
0_553: scaffold17.g554.t1
0_554: scaffold17.g555.t1
0_555: scaffold17.g556.t1
0_556: scaffold17.g557.t1
0_557: scaffold17.g558.t1
0_558: scaffold17.g559.t1
0_559: scaffold17.g560.t1
0_560: scaffold17.g561.t1
0_561: scaffold17.g562.t1
0_562: scaffold17.g563.t1
0_563: scaffold17.g564.t1
0_564: scaffold17.g565.t1
0_565: scaffold17.g566.t1
0_566: scaffold17.g567.t1
0_567: scaffold17.g568.t1
0_568: scaffold17.g569.t1
0_569: scaffold17.g570.t1
0_570: scaffold17.g571.t1
0_571: scaffold17.g572.t1
0_572: scaffold17.g573.t1
0_573: scaffold17.g574.t1
0_574: scaffold17.g575.t1
0_575: scaffold17.g576.t1
0_576: scaffold17.g577.t1
0_577: scaffold17.g578.t1
0_578: scaffold17.g579.t1
0_579: scaffold17.g580.t1
0_580: scaffold17.g581.t1
0_581: scaffold17.g582.t1
0_582: scaffold17.g583.t1
0_583: scaffold17.g584.t1
0_584: scaffold17.g585.t1
0_585: scaffold17.g586.t1
0_586: scaffold17.g587.t1
0_587: scaffold17.g588.t1
0_588: scaffold17.g589.t1
0_589: scaffold17.g590.t1
0_590: scaffold17.g591.t1
0_591: scaffold17.g592.t1
0_592: scaffold17.g593.t1
0_593: scaffold17.g594.t1
0_594: scaffold17.g595.t1
0_595: scaffold17.g596.t1
0_596: scaffold17.g597.t1
0_597: scaffold17.g598.t1
0_598: scaffold17.g599.t1
0_599: scaffold17.g600.t1
0_600: scaffold17.g601.t1
0_601: scaffold5.g602.t1
0_602: scaffold5.g603.t1
0_603: scaffold5.g604.t1
0_604: scaffold5.g605.t1
0_605: scaffold5.g606.t1
0_606: scaffold5.g607.t1
0_607: scaffold5.g608.t1
0_608: scaffold5.g609.t1
0_609: scaffold5.g610.t1
0_610: scaffold5.g611.t1
0_611: scaffold5.g612.t1
0_612: scaffold5.g613.t1
0_613: scaffold5.g614.t1
0_614: scaffold5.g615.t1
0_615: scaffold5.g616.t1
0_616: scaffold5.g617.t1
0_617: scaffold5.g618.t1
0_618: scaffold5.g619.t1
0_619: scaffold5.g620.t1
0_620: scaffold5.g621.t1
0_621: scaffold5.g622.t1
0_622: scaffold5.g623.t1
0_623: scaffold5.g624.t1
0_624: scaffold5.g625.t1
0_625: scaffold5.g626.t1
0_626: scaffold5.g627.t1
0_627: scaffold5.g628.t1
0_628: scaffold5.g629.t1
0_629: scaffold5.g630.t1
0_630: scaffold5.g631.t1
0_631: scaffold5.g632.t1
0_632: scaffold5.g633.t1
0_633: scaffold5.g634.t1
0_634: scaffold5.g635.t1
0_635: scaffold5.g636.t1
0_636: scaffold5.g637.t1
0_637: scaffold5.g638.t1
0_638: scaffold5.g639.t1
0_639: scaffold5.g640.t1
0_640: scaffold5.g641.t1
0_641: scaffold5.g642.t1
0_642: scaffold5.g643.t1
0_643: scaffold5.g644.t1
0_644: scaffold5.g645.t1
0_645: scaffold5.g646.t1
0_646: scaffold5.g647.t1
0_647: scaffold5.g648.t1
0_648: scaffold5.g649.t1
0_649: scaffold5.g650.t1
0_650: scaffold5.g651.t1
0_651: scaffold5.g652.t1
0_652: scaffold5.g653.t1
0_653: scaffold5.g654.t1
0_654: scaffold5.g655.t1
0_655: scaffold5.g656.t1
0_656: scaffold5.g657.t1
0_657: scaffold5.g658.t1
0_658: scaffold5.g659.t1
0_659: scaffold5.g660.t1
0_660: scaffold5.g661.t1
0_661: scaffold5.g662.t1
0_662: scaffold5.g663.t1
0_663: scaffold5.g664.t1
0_664: scaffold5.g665.t1
0_665: scaffold5.g666.t1
0_666: scaffold5.g667.t1
0_667: scaffold5.g668.t1
0_668: scaffold5.g669.t1
0_669: scaffold5.g670.t1
0_670: scaffold5.g671.t1
0_671: scaffold5.g672.t1
0_672: scaffold5.g673.t1
0_673: scaffold5.g674.t1
0_674: scaffold5.g675.t1
0_675: scaffold5.g676.t1
0_676: scaffold5.g677.t1
0_677: scaffold5.g678.t1
0_678: scaffold5.g679.t1
0_679: scaffold5.g680.t1
0_680: scaffold5.g681.t1
0_681: scaffold5.g682.t1
0_682: scaffold5.g683.t1
0_683: scaffold5.g684.t1
0_684: scaffold5.g685.t1
0_685: scaffold5.g686.t1
0_686: scaffold5.g687.t1
0_687: scaffold5.g688.t1
0_688: scaffold5.g689.t1
0_689: scaffold5.g690.t1
0_690: scaffold5.g691.t1
0_691: scaffold5.g692.t1
0_692: scaffold5.g693.t1
0_693: scaffold5.g694.t1
0_694: scaffold5.g695.t1
0_695: scaffold5.g696.t1
0_696: scaffold5.g697.t1
0_697: scaffold5.g698.t1
0_698: scaffold5.g699.t1
0_699: scaffold5.g700.t1
0_700: scaffold5.g701.t1
0_701: scaffold5.g702.t1
0_702: scaffold5.g703.t1
0_703: scaffold5.g704.t1
0_704: scaffold5.g705.t1
0_705: scaffold5.g706.t1
0_706: scaffold5.g707.t1
0_707: scaffold5.g708.t1
0_708: scaffold5.g709.t1
0_709: scaffold5.g710.t1
0_710: scaffold5.g711.t1
0_711: scaffold5.g712.t1
0_712: scaffold5.g713.t1
0_713: scaffold5.g714.t1
0_714: scaffold5.g715.t1
0_715: scaffold5.g716.t1
0_716: scaffold5.g717.t1
0_717: scaffold5.g718.t1
0_718: scaffold5.g719.t1
0_719: scaffold5.g720.t1
0_720: scaffold5.g721.t1
0_721: scaffold5.g722.t1
0_722: scaffold5.g723.t1
0_723: scaffold5.g724.t1
0_724: scaffold5.g725.t1
0_725: scaffold5.g726.t1
0_726: scaffold5.g727.t1
0_727: scaffold5.g728.t1
0_728: scaffold5.g729.t1
0_729: scaffold5.g730.t1
0_730: scaffold5.g731.t1
0_731: scaffold5.g732.t1
0_732: scaffold5.g733.t1
0_733: scaffold5.g734.t1
0_734: scaffold5.g735.t1
0_735: scaffold5.g736.t1
0_736: scaffold5.g737.t1
0_737: scaffold5.g738.t1
0_738: scaffold5.g739.t1
0_739: scaffold5.g740.t1
0_740: scaffold5.g741.t1
0_741: scaffold5.g742.t1
0_742: scaffold5.g743.t1
0_743: scaffold5.g744.t1
0_744: scaffold5.g745.t1
0_745: scaffold5.g746.t1
0_746: scaffold5.g747.t1
0_747: scaffold5.g748.t1
0_748: scaffold5.g749.t1
0_749: scaffold5.g750.t1
0_750: scaffold5.g751.t1
0_751: scaffold5.g752.t1
0_752: scaffold5.g753.t1
0_753: scaffold5.g754.t1
0_754: scaffold5.g755.t1
0_755: scaffold5.g756.t1
0_756: scaffold5.g757.t1
0_757: scaffold5.g758.t1
0_758: scaffold5.g759.t1
0_759: scaffold5.g760.t1
0_760: scaffold5.g761.t1
0_761: scaffold5.g762.t1
0_762: scaffold5.g763.t1
0_763: scaffold5.g764.t1
0_764: scaffold5.g765.t1
0_765: scaffold5.g766.t1
0_766: scaffold5.g767.t1
0_767: scaffold5.g768.t1
0_768: scaffold5.g769.t1
0_769: scaffold5.g770.t1
0_770: scaffold5.g771.t1
0_771: scaffold5.g772.t1
0_772: scaffold5.g773.t1
0_773: scaffold5.g774.t1
0_774: scaffold5.g775.t1
0_775: scaffold5.g776.t1
0_776: scaffold5.g777.t1
0_777: scaffold5.g778.t1
0_778: scaffold5.g779.t1
0_779: scaffold5.g780.t1
0_780: scaffold5.g781.t1
0_781: scaffold5.g782.t1
0_782: scaffold5.g783.t1
0_783: scaffold5.g784.t1
0_784: scaffold5.g785.t1
0_785: scaffold5.g786.t1
0_786: scaffold5.g787.t1
0_787: scaffold5.g788.t1
0_788: scaffold5.g789.t1
0_789: scaffold5.g790.t1
0_790: scaffold5.g791.t1
0_791: scaffold5.g792.t1
0_792: scaffold5.g793.t1
0_793: scaffold5.g794.t1
0_794: scaffold5.g795.t1
0_795: scaffold5.g796.t1
0_796: scaffold5.g797.t1
0_797: scaffold5.g798.t1
0_798: scaffold5.g799.t1
0_799: scaffold5.g800.t1
0_800: scaffold5.g801.t1
0_801: scaffold5.g802.t1
0_802: scaffold5.g803.t1
0_803: scaffold5.g804.t1
0_804: scaffold5.g805.t1
0_805: scaffold5.g806.t1
0_806: scaffold5.g807.t1
0_807: scaffold5.g808.t1
0_808: scaffold5.g809.t1
0_809: scaffold5.g810.t1
0_810: scaffold5.g811.t1
0_811: scaffold5.g812.t1
0_812: scaffold5.g813.t1
0_813: scaffold5.g814.t1
0_814: scaffold5.g815.t1
0_815: scaffold5.g816.t1
0_816: scaffold5.g817.t1
0_817: scaffold5.g818.t1
0_818: scaffold5.g819.t1
0_819: scaffold5.g820.t1
0_820: scaffold5.g821.t1
0_821: scaffold5.g822.t1
0_822: scaffold5.g823.t1
0_823: scaffold5.g824.t1
0_824: scaffold5.g825.t1
0_825: scaffold5.g826.t1
0_826: scaffold5.g827.t1
0_827: scaffold5.g828.t1
0_828: scaffold5.g829.t1
0_829: scaffold5.g830.t1
0_830: scaffold5.g831.t1
0_831: scaffold5.g832.t1
0_832: scaffold5.g833.t1
0_833: scaffold5.g834.t1
0_834: scaffold5.g835.t1
0_835: scaffold5.g836.t1
0_836: scaffold5.g837.t1
0_837: scaffold5.g838.t1
0_838: scaffold5.g839.t1
0_839: scaffold5.g840.t1
0_840: scaffold5.g841.t1
0_841: scaffold5.g842.t1
0_842: scaffold5.g843.t1
0_843: scaffold5.g844.t1
0_844: scaffold5.g845.t1
0_845: scaffold5.g846.t1
0_846: scaffold5.g847.t1
0_847: scaffold5.g848.t1
0_848: scaffold5.g849.t1
0_849: scaffold5.g850.t1
0_850: scaffold5.g851.t1
0_851: scaffold5.g852.t1
0_852: scaffold5.g853.t1
0_853: scaffold5.g854.t1
0_854: scaffold5.g855.t1
0_855: scaffold5.g856.t1
0_856: scaffold5.g857.t1
0_857: scaffold5.g858.t1
0_858: scaffold5.g859.t1
0_859: scaffold5.g860.t1
0_860: scaffold5.g861.t1
0_861: scaffold5.g862.t1
0_862: scaffold5.g863.t1
0_863: scaffold5.g864.t1
0_864: scaffold5.g865.t1
0_865: scaffold5.g866.t1
0_866: scaffold5.g867.t1
0_867: scaffold5.g868.t1
0_868: scaffold5.g869.t1
0_869: scaffold5.g870.t1
0_870: scaffold5.g871.t1
0_871: scaffold5.g872.t1
0_872: scaffold5.g873.t1
0_873: scaffold5.g874.t1
